Product Name,Item Number,Store Categories,Detailed Product Description,Product Summary Overview,Size,minimum_quantity,Unit Price,minimum_quantityP2,tier_2_price,minimum_quantityP3,tier_3_price,multiple_of,Product Images,Quantity,MSRP,Sale Price,Ship Days,Is Active,Brand,Categories,Variations,Section,Sku,isImageAvailable
coasters S-3 asst. (WINE) white - black,19087,(All) Products Adams,"This stunning coaster set comes in the clean and crisp colors of white and black and measures 1"" x 4"" x 4"" each. They read, ""Wine, because it's not good to keep things bottled up"" and ""This may be the Wine talking... but I want more Wine"" and ""Wine: (n.) A Hug In A Glass"" and ""Good Friends, Good Wine, Good Times"". Each Coaster has an Epoxy finish to protect your furniture. Designed specifically to coordinate with today's popular colors and themes, this coaster set (Product Number 19087) may be just the decoration you are looking for. Adams&Co is committed to delivering their quality hand-crafted products to clients all over the nation. We carry products that include everything from traditional home decor, to religious and seasonal decor. Each is designed to give your home that one-of-a-kind feel and welcoming appearance.",In stock & shipping (checked Sept 19),4x4x.25 ,3,11,18,10,,,3,593473.jpg,1,22,,3,1,Adams & Company,Vintage Home-Kitchen & Linens,,Kitchen & Dining-Coasters,8.44796E+11,1
"14"" twister grass glitter wreath- out dimension 32""",C103,(All) Products Adams|(All) Christmas,"This glittery twister grass wreath features a 14"" diameter, and is perfect for starting your own wreath, or adding to a display. A simple green wreath with glitter, made of faux grass makes a perfect compliment to your Christmas decorations. Committed to delivering their quality hand-crafted products to clients all over the nation, Adams&Co carries products that include everything from traditional home decor, to religious and seasonal decor that will give your home that one-of-a-kind feel and welcoming appearance.",In stock & shipping (checked Sept 19),,2,20.95,10,19,,,2,361452.jpg,1,41.9,,3,1,Adams & Company,Christmas-Ornaments,,Wreaths & Garlands-Wreaths,8.44796E+11,1
twister grass glitter spray green ,C105,(All) Products Adams|(All) Christmas,"This 28"" Twister Grass Glitter Spray is an elegant Christmas time ornament designed for Christmas trees, wall, and table decor. The sparkling glitter is a great way to add a little shine and texture to your home! This Green Garland is flexible, making it even easier to customize the decor any way you wish. Committed to delivering their quality hand-crafted products to clients all over the nation, Adams&Co carries products that include everything from traditional home decor, to religious and seasonal decor that will give your home that one-of-a-kind feel and welcoming appearance.",In stock & shipping (checked Sept 19),"28"" ",6,5.95,120,5,,,6,421492.jpg,1,11.9,,3,1,Adams & Company,Christmas-Ornaments,,Floral & Vases-Sprays & Bunches,8.44796E+11,1
14x14 wood frame (FAMILY- A JOURNEY TO FOREVER),18330,(All) Products Adams|(All) Christmas,"This delicately detailed frame features a neutral color scheme that will blend in with any decor, and holds any 5"" by 7"" photo. Committed to delivering their quality hand-crafted products to clients all over the nation, Adams&Co carries products that include everything from traditional home decor, to religious and seasonal decor that will give your home that one-of-a-kind feel and welcoming appearance.",In stock & shipping (checked Sept 19),,2,12.95,12,12,,,2,279946.jpg,1,25.9,,3,1,Adams & Company,Farmhouse Home-Home Decor,,Frames & Table Decor-Framed Sayings,8.44796E+11,1
giant fabric glitter bow (pliable) silver-gold ,C150,(All) Products Adams|(All) Christmas,"This 29"" x 21"" Giant Fabric Glitter Bow is an elegant Christmas time ornament designed for Christmas trees, wall, and table decor. The sparkling glitter is a great way to add a little shine and texture to your home! This large Silver and Gold bow is a Best Seller. Committed to delivering their quality hand-crafted products to clients all over the nation, Adams&Co carries products that include everything from traditional home decor, to religious and seasonal decor that will give your home that one-of-a-kind feel and welcoming appearance.",In stock & shipping (checked Sept 19),"29"" x 21"" ",4,13.95,16,13,,,4,421517.jpg,1,27.9,,3,1,Adams & Company,Christmas-Ornaments,,"Wall Decor, Signs & Art-Wall Decor",8.44796E+11,1
fabric glitter bow (pliable) silver-gold ,C151,(All) Products Adams|(All) Christmas,"This 10"" x 16"" Fabric Glitter Bow is an elegant Christmas time ornament designed for Christmas trees, wall, and table decor. The sparkling glitter is a great way to add a little shine and texture to your home! This Silver and Gold bow is a Best Seller. Committed to delivering their quality hand-crafted products to clients all over the nation, Adams&Co carries products that include everything from traditional home decor, to religious and seasonal decor that will give your home that one-of-a-kind feel and welcoming appearance.",In stock & shipping (checked Sept 19),"10"" x 16"" ",6,4.5,60,4,,,6,421518.jpg,1,9,,3,1,Adams & Company,Christmas-Ornaments,,"Wall Decor, Signs & Art-Wall Decor",8.44796E+11,1
twister grass glitter wreath red ,C161,(All) Products Adams|(All) Christmas,"This 26"" Twister Grass Glitter Wreath is an elegant Christmas time ornament designed for Christmas trees, wall, and table decor. The sparkling glitter is a great way to add a little shine and texture to your home! This Red Wreath is a Best Seller. Committed to delivering their quality hand-crafted products to clients all over the nation, Adams&Co carries products that include everything from traditional home decor, to religious and seasonal decor that will give your home that one-of-a-kind feel and welcoming appearance.",In stock & shipping (checked Sept 19),"26"" ",2,20.95,10,19,,,2,421527.jpg,1,41.9,,3,1,Adams & Company,Christmas-Ornaments,,"Wall Decor, Signs & Art-Wall Decor",8.44796E+11,1
twister grass glitter spray red ,C162,(All) Products Adams|(All) Christmas,"This 28"" Twister Grass Glitter Spray is an elegant Christmas time ornament designed for Christmas trees, wall, and table decor. The sparkling glitter is a great way to add a little shine and texture to your home! This Red Spray is small, and allows you to place it anywhere its needed. Committed to delivering their quality hand-crafted products to clients all over the nation, Adams&Co carries products that include everything from traditional home decor, to religious and seasonal decor that will give your home that one-of-a-kind feel and welcoming appearance.",In stock & shipping (checked Sept 19),"28"" ",6,5.95,120,5,,,6,421528.jpg,1,11.9,,3,1,Adams & Company,Christmas-Ornaments,,Floral & Vases-Sprays & Bunches,8.44796E+11,1
wire glitter ribbon red ,C167,(All) Products Adams|(All) Christmas,"This 48"" x 1"" Wire Glitter Ribbon is an elegant Christmas time ornament designed for Christmas trees, wall, and table decor. The sparkling glitter is a great way to add a little shine and texture to your home! This Red Wire Ribbon is more durable and flexible than regular ribbon. It can be twisted and turned to get that perfect look with ease! Committed to delivering their quality hand-crafted products to clients all over the nation, Adams&Co carries products that include everything from traditional home decor, to religious and seasonal decor that will give your home that one-of-a-kind feel and welcoming appearance.",In stock & shipping (checked Sept 19),"48"" x 1"" ",12,2.25,144,2,,,12,421532.jpg,1,4.5,,3,1,Adams & Company,Christmas-Ornaments,,"Wall Decor, Signs & Art-Wall Decor",8.44796E+11,1
wire glitter ribbon gold-silver ,C170,(All) Products Adams|(All) Christmas,"This 48"" x 1"" Wire Glitter Ribbon is an elegant Christmas time ornament designed for Christmas trees, wall, and table decor. The sparkling glitter is a great way to add a little shine and texture to your home! This Gold/Silver Wire Ribbon is more durable and flexible than regular ribbon. It can be twisted and turned to get that perfect look with ease! Committed to delivering their quality hand-crafted products to clients all over the nation, Adams&Co carries products that include everything from traditional home decor, to religious and seasonal decor that will give your home that one-of-a-kind feel and welcoming appearance.",In stock & shipping (checked Sept 19),"48"" x 1"" ",12,2.25,144,2,,,12,421535.jpg,1,4.5,,3,1,Adams & Company,Christmas-Ornaments,,"Wall Decor, Signs & Art-Wall Decor",8.44796E+11,1
twister grass glitter garland white ,C184,(All) Products Adams|(All) Christmas,"This strand of white, glittery twister grass can be used as an accent in an arrangement, or as fill in a garland. A simple sprig of faux grass that is twisted into an almost wreath-like texture. This elegant accent contains glitter and will compliment any winter decor. Committed to delivering their quality hand-crafted products to clients all over the nation, Adams&Co carries products that include everything from traditional home decor, to religious and seasonal decor that will give your home that one-of-a-kind feel and welcoming appearance.",In stock & shipping (checked Sept 19),5' ,3,17.95,60,16,,,3,421547.jpg,1,35.9,,3,1,Adams & Company,Christmas-Ornaments,,Home Decor-Home Decor,8.44796E+11,1
twister grass glitter wreath (inner 13) green-red ,C195,(All) Products Adams|(All) Christmas,"This 26"" Twister Grass Glitter Wreath is an elegant Christmas time ornament designed for Christmas trees, wall, and table decor. The sparkling glitter is a great way to add a little shine and texture to your home! This Green and Red Wreath is a Best Seller. Committed to delivering their quality hand-crafted products to clients all over the nation, Adams&Co carries products that include everything from traditional home decor, to religious and seasonal decor that will give your home that one-of-a-kind feel and welcoming appearance.",In stock & shipping (checked Sept 19),"26"" ",2,20.95,10,19,,,2,421549.jpg,1,41.9,,3,1,Adams & Company,Christmas-Ornaments,,Wreaths & Garlands-Wreaths,8.44796E+11,1
twister grass glitter garland green-red ,C196,(All) Products Adams|(All) Christmas,"This 5' Twister Grass Glitter Garland is Green and Red and is flexible, making it even easier to customize the decor any way you wish. Committed to delivering their quality hand-crafted products to clients all over the nation, Adams&Co carries products that include everything from traditional home decor, to religious and seasonal decor that will give your home that one-of-a-kind feel and welcoming appearance.",In stock & shipping (checked Sept 19),5' ,3,17.95,60,16,,,3,421550.jpg,1,35.9,,3,1,Adams & Company,Christmas-Ornaments,,Home Decor-Home Decor,8.44796E+11,1
"20"" pine magnolia platinum wreath ",C289,(All) Products Adams|(All) Christmas,"This 20"" Pine Magnolia Wreath is a beautiful, decorative home decor piece designed to bring the Christmas Spirit into your home and onto your walls and shelves! Along with the Christmas theme, This C289 Platinum 20"" Pine Magnolia Wreath is an artificial indoor home decor accessory designed to bring a little piece of outside beauty into your home! Now you can get the beauty of real flowers and branches in a maintenance free form. Committed to delivering their quality hand-crafted products to clients all over the nation, Adams&Co carries products that include everything from traditional home decor, to religious and seasonal decor that will give your home that one-of-a-kind feel and welcoming appearance.",In stock & shipping (checked Sept 19),,1,41.95,4,38,,,1,506803.jpg,1,83.9,,3,1,Adams & Company,Christmas-Wreaths,,Wreaths & Garlands-Wreaths,8.44796E+11,1
