13x32x.25 wood tag (WDFR) multi color,12014,(All) Closeout Products,"This 12014 13x32x.25 Wood Tag (Wash, Dry, Fold, Repeat) - Multi-Color features a beautiful, yet simplistic, composition that appeals to the minimalist designer with its subtle design elements; but also appeals to the extravagant designer with its bold fonts and easy-to-read text. If you are searching for sensible ""Everyday"" home decor pieces, look no further. This Everyday Collection 12014 13x32x.25 Wood Tag (Wash, Dry, Fold, Repeat) combines a miniature gift tag and a hanging wood sign into a life-sized hanging tag that’s ideal for your homes walls. The 12014 13x32x.25 Wood Tag comes ready to hang; so you can place it any way your heart desires the minute it arrives! This Tag is different from a sign, so it gives your home an appearance that's unique and elegant. The Tag is White and reads ""Wash, Dry, Fold, Repeat"" in Tiffany text. Other unique products range from traditional home decor, to seasonal decor that will give your home that one-of-a-kind feel and welcoming appearance.",Closeout Price,9.975,,,,,2,19.95,8,17.955,,,2,Adams400,Adams160,511560.jpg,511560.jpg,,,Adams800,511560.jpg,
12x12x1.5 wood shdw bx sign (BRIGHT) wh/bl,15009,(All) Closeout Products,"This stunning wooden shadow box sign comes in the clean and crisp colors of white and blue and measures 12"" x 12"" x 1.5"". It reads ""Always lookâ¦ on the brightâ¦ side of life."" Designed specifically to coordinate with today's popular colors and th",Closeout Price,6.5,,,,,2,13,12,11.7,,,2,Adams400,Adams160,593389.jpg,593389.jpg,,,Adams800,593389.jpg,
11x9.25x1.5 wood shdw bx frame wh/gr (4x6),15015,(All) Closeout Products,"This stunning wooden picture frame comes in the clean and crisp colors of white and green and measures 11"" x 10"" x 1.5"". Designed specifically to coordinate with today's popular colors and themes, this wooden picture frame (Product Number 15015) may be ju",Closeout Price,6.5,,,,,2,13,12,11.7,,,2,Adams400,Adams160,593395.jpg,593395.jpg,,,Adams800,593395.jpg,
60x.5 wood bead garland natural ,15043,(All) Closeout Products,"This stunning wood bead garland comes in the clean and crisp colors of natural and measures 62"" x .5""x .5"". Designed specifically to coordinate with today's popular colors and themes, this garland (Product Number 15043) may be just the decoration you are ",Closeout Price,5.125,,,,,6,10.25,72,9.225,,,6,Adams400,Adams160,593423.jpg,593423.jpg,,,Adams800,593423.jpg,
32x1 wood bead garland varied wh/cr ,15045,(All) Closeout Products,"This stunning wood bead garland comes in the clean and crisp colors of white and cream, and measures 1"" x 36"" x 1"". Designed specifically to coordinate with today's popular colors and themes, this garland (Product Number 15045) may be just the decoration ",Closeout Price,4.5,,,,,6,9,72,8.1,,,6,Adams400,Adams160,593425.jpg,593425.jpg,,,Adams800,593425.jpg,
15.5x8x.5 wood cutting board (FRESH) bk/wh/gy,15060,(All) Closeout Products,"This stunning wood cutting board comes in the clean and crisp colors of black, white, and gray and measures 1"" x 15"" x 8"". It reads ""Fresh baked"" served daily. Designed specifically to coordinate with today's popular colors and themes, this cutting board ",Closeout Price,3.5,,,,,2,7,16,6.3,,,2,Adams400,Adams160,593435.jpg,593435.jpg,,,Adams800,593435.jpg,
5x5x2 sm. blank block oatmeal ,16008,(All) Closeout Products,"With beveled edges, this 5"" x 5"" x 2"" small blank block (oatmeal) features a beautiful, and minimalist design that is ideal for the ""Everyday"" home decor. This Everyday Collection oatmeal-colored, blank block is a small square designed for the imagination",Closeout Price,1.5,,,,,12,3,48,2.7,,,12,Adams400,Adams160,420795.jpg,420795.jpg,,,Adams800,420795.jpg,
6x5x2 med. blank block oatmeal ,16012,(All) Closeout Products,"With beveled edges, this medium wooden block comes blank, allowing for customization to match your decor or a unique gift for any occasion. Use your own genius to create the decoration of your choice. With this oatmeal-colored blank wooden block, the sky'",Closeout Price,1.75,,,,,8,3.5,48,3.15,,,8,Adams400,Adams160,420796.jpg,420796.jpg,,,Adams800,420796.jpg,
7x4x2 lg. blank block oatmeal ,16016,(All) Closeout Products,"With beveled edges, this large, blank wooden block is designed to be a perfect, customizable addition to any room and any decor. Use your own genius to create the decoration of your choice. With this large, oatmeal-colored blank wooden block, the sky's th",Closeout Price,2.125,,,,,8,4.25,48,3.825,,,8,Adams400,Adams160,420798.jpg,420798.jpg,,,Adams800,420798.jpg,
6x6x1.5 wood sign (PRD FMLY SLDR) wh/bl,18833,(All) Closeout Products,"This unique wooden sign comes in the clean and crisp colors of white and blue, and measures 6""x 6""x 1.5"". It reads ""Proud family of a U.S. Soldier."" Designed specifically to coordinate with today's popular colors and themes, this wooden sign (Product Numb",Closeout Price,2.625,,,,,2,5.25,24,4.725,,,2,Adams400,Adams160,529094.jpg,529094.jpg,,,Adams800,529094.jpg,
