FATHER CHRISTMS AT THE MANGER,SN6816,All Christmas,"hand painted resin. 10 1/2"" x 5"".",,,,,,,2,24,,,,,2,Bethany400,Bethany160,SN6816-1.jpg,SN6816-1.jpg,,,Bethany800,SN6816-1.jpg
PLATINUM CHRISTMAS GARLAND 7',LC2930,All Christmas|Garland,"Pressed Paper, Glitter and Ribbon",,,,,7',,3,15.55,,,,,3,Bethany400,Bethany160,LC2930.jpg,LC2930.jpg,,,Bethany800,LC2930.jpg
SANTA & REINDEER GARLAND PLAT,LC3566,All Christmas|Garland,"Pressed paper, glitter and flocking.",,,,,8? Length,,4,17.5,,,,,4,Bethany400,Bethany160,LC3566.jpg,LC3566.jpg,,,Bethany800,LC3566.jpg
SANTA & REINDEER GARLAND TRAD,LC3567,All Christmas|Garland,"Pressed paper, glitter and flocking.",,,,,8? Length,,4,17.5,,,,,4,Bethany400,Bethany160,LC3567.jpg,LC3567.jpg,,,Bethany800,LC3567.jpg
FROSTED PINE GARLAND,LC6408,All Christmas|Garland,flocked pvc with natural pinecones. 6' length.,,,,,,,6,42,,,,,6,Bethany400,Bethany160,LC6408-1.jpg,LC6408-1.jpg,,,Bethany800,LC6408-1.jpg
SPARSE NEEDLE PINE GARLAND,LC6412,All Christmas|Garland,flocked pvc with natural pinecones. 6' length.,,,,,,,6,17,,,,,6,Bethany400,Bethany160,LC6412-1.jpg,LC6412-1.jpg,,,Bethany800,LC6412-1.jpg
TRAD GARLAND W/BERRIES & TWIGS,LC6414,All Christmas|Garland,"pinecones, twigs and flocked pvc. 6' length.",,,,,,,6,33,,,,,6,Bethany400,Bethany160,LC6414-1.jpg,LC6414-1.jpg,,,Bethany800,LC6414-1.jpg
OH HOLY NIGHT SIGN GOLD GLTRD,LC6418,All Christmas|Garland,"mdf and glitter. 12 1/4"" x 26 1/2"".",,,,,,,4,9.6,,,,,4,Bethany400,Bethany160,LC6418-1.jpg,LC6418-1.jpg,,,Bethany800,LC6418-1.jpg
MULTI COLORED XMAS GARLAND,LG0736,All Christmas|Garland,glass. comes in a vintage style box. 6 ft.,,,,,"4""",,3,22.3,,,,,3,Bethany400,Bethany160,LG0736.jpg,LG0736.jpg,,,Bethany800,LG0736.jpg
GORGEOUS PASTL GLSS GARLND/BX,LG0744,All Christmas|Garland,Glass beads with wire hooks on the ends. Comes in vintage style box.,,,,,6? Length,,6,19,,,,,6,Bethany400,Bethany160,LG0744.jpg,LG0744.jpg,,,Bethany800,LG0744.jpg
