BALL VASE,70014,Black on Black - Native,Black On Black - A contemporary rendition inspired by the classic Santa Clara pottery.,,,,,4 x 4 x 5.5 in,,1,15.00,,,,,1,cedarmesa400,cedarmesa160,70014.jpg,70014.jpg,,,cedarmesa800,70014.jpg
WESTWATER VASE,70015,Black on Black - Native,Black On Black - A contemporary rendition inspired by the classic Santa Clara pottery.,,,,,4 x 4 x 5.5 in,,1,15.00,,,,,1,cedarmesa400,cedarmesa160,70015.jpg,70015.jpg,,,cedarmesa800,70015.jpg
MOKI MINIATURE,70016,Black on Black - Native,Black on Black - A contemporary rendition inspired by the classic Santa Clara pottery.,,,,,2.5 x 2.5 x 2.5 in,,1,7.25,,,,,1,cedarmesa400,cedarmesa160,70016.jpg,70016.jpg,,,cedarmesa800,70016.jpg
CHIMNEY JAR,70019,Black on Black - Native,Black on Black - A contemporary rendition inspired by the classic Santa Clara pottery.,,,,,7 x 7 x 12 in,,1,34.00,,,,,1,cedarmesa400,cedarmesa160,70019.jpg,70019.jpg,,,cedarmesa800,70019.jpg
Wedding Vase,70023,Black on Black - Native,"A contemporary rendition inspired by the classic Santa Clara pottery. ?·<span>Learn about the legend of the?·</span><strong><a href=""http://www.cmpottery.com/wedding"">Wedding Vase</a></strong><span>.</span><span>?·</span></p>",,,,,4.5 x 4 x 5.5 in,,1,15.00,,,,,1,cedarmesa400,cedarmesa160,70023.jpg,70023.jpg,,,cedarmesa800,70023.jpg
WEDDING VASE,70025,Black on Black - Native,<p>Wedding Vases are not glazed inside.</p></div>,,,,,5.5 x 5 x 8 in,,1,26.00,,,,,1,cedarmesa400,cedarmesa160,70025.jpg,70025.jpg,,,cedarmesa800,70025.jpg
MUSTANG MESA BOWL,70027,Black on Black - Native,Black on Black - A contemporary rendition inspired by the classic Santa Clara pottery.,,,,,7.5 x 7.5 x 6 in,,1,28.00,,,,,1,cedarmesa400,cedarmesa160,70027.jpg,70027.jpg,,,cedarmesa800,70027.jpg
NAVAJO PETAL VASE,70039,Black on Black - Native,Black on Black - A contemporary rendition inspired by the classic Santa Clara pottery.,,,,,3.5 x 3.5 x 6.5 in,,1,15.00,,,,,1,cedarmesa400,cedarmesa160,70039.jpg,70039.jpg,,,cedarmesa800,70039.jpg
BUD VASE,70050,Black on Black - Native,Black on Black - A contemporary rendition inspired by the classic Santa Clara pottery.,,,,,3 x 3 x 8 in,,1,15.00,,,,,1,cedarmesa400,cedarmesa160,70050.jpg,70050.jpg,,,cedarmesa800,70050.jpg
CEDAR MESA JUG,70052,Black on Black - Native,Black on Black -?·<span>?·A contemporary rendition inspired by the classic Santa Clara pottery.</span>,,,,,8.5 x 8.5 x 9.5 in,,1,34.00,,,,,1,cedarmesa400,cedarmesa160,70052.jpg,70052.jpg,,,cedarmesa800,70052.jpg
WEDDING VASE,70054,Black on Black - Native,<p>Wedding Vases are not glazed.</p></div>,,,,,2.75 x 2 x 3 in,,1,7.75,,,,,1,cedarmesa400,cedarmesa160,70054.jpg,70054.jpg,,,cedarmesa800,70054.jpg
MOKI MINIATURE,70060,Black on Black - Native,Black on Black - A contemporary rendition inspired by the classic Santa Clara pottery.,,,,,3.5 x 3.5 x 2.75 in,,1,7.75,,,,,1,cedarmesa400,cedarmesa160,70060.jpg,70060.jpg,,,cedarmesa800,70060.jpg
LARGE WEDDING VASE,70065,Black on Black - Native,<p>Wedding Vases are not glazed.</p></div>,,,,,7.5 x 7 x 12 in,,1,43.00,,,,,1,cedarmesa400,cedarmesa160,70065.jpg,70065.jpg,,,cedarmesa800,70065.jpg
