"RESIN SHEEP OFF WHITE 10""X3""X6.25""",10173,(All) Craft Outlet Products View,"WHITE UNIQUE RESIN SHEEP. WILL MAKE A GREAT ACCENT PIECE FOR YOUR DECOR IN ANY HOME/OFFICE

DIMS: 10""X3""X6.25""",,,,,"10""X3""X6.25""",,2,12.5,6,11.95,12,11.5,2,CraftOutlet400,CraftOutlet160,10173.jpg,10173.jpg,,,CraftOutlet800,10173.jpg
"HOME SWEET HOME BURLAP WOODEN SIGN 12"" X 0.5"" X 9""",31178,(All) Craft Outlet Products View,HOME SWEET HOME BURLAP WOODEN SIGN,,,,,"12"" X 0.5"" X 9""",,3,8.5,12,7.5,,,3,CraftOutlet400,CraftOutlet160,31178.jpg,31178.jpg,,,CraftOutlet800,31178.jpg
P/M AMERICANA EGGS BAG OF 6,31308,(All) Craft Outlet Products View,P/M AMERICANA EGGS BAG OF 6,,,,,"2.25 X 3.25""",,2,10.5,12,9.5,,,2,CraftOutlet400,CraftOutlet160,31308.jpg,31308.jpg,,,CraftOutlet800,31308.jpg
Brown Sitting Bunny  W/Carrot 2 Assrt,31310,(All) Craft Outlet Products View,Brown Sitting Bunny W/Carrot 2 Assrt,,,,,24.5 X 4.5 X 12,,6,8.25,24,7.25,,,6,CraftOutlet400,CraftOutlet160,31310.jpg,31310.jpg,,,CraftOutlet800,31310.jpg
"4.75"" SAILER BEAR",B11511,(All) Craft Outlet Products View,"4.75"" SAILER BEAR",,,,,"4.75""DIM",,12,2.5,72,2.25,,,,CraftOutlet400,CraftOutlet160,b11511-_1.jpg,b11511-_1.jpg,,,CraftOutlet800,b11511-_1.jpg
4.5in. JOINTED TEDDY BEAR,B13184,(All) Craft Outlet Products View,"FUZZY TAN 4.5"". JOINTED TEDDY BEAR WITH LARGE RED BOW",,,,,4.5,,12,1.85,72,1.5,144,1.35,12,CraftOutlet400,CraftOutlet160,b13184_mini_bear_.jpg,b13184_mini_bear_.jpg,,,CraftOutlet800,b13184_mini_bear_.jpg
"9.5"" DARK BROWN JOINTED BEAR",B60030,(All) Craft Outlet Products View,"9.5"" DARK BROWN JOINTED BEAR",,,,,"9.5""DIM",,6,9.95,24,8.95,,,,CraftOutlet400,CraftOutlet160,b60030_2.jpg,b60030_2.jpg,,,CraftOutlet800,b60030_2.jpg
"14"" BROWN BEAR , JOINTED",B65414,(All) Craft Outlet Products View,"14"" BROWN BEAR , JOINTED",,,,,"14""",,12,9.95,,,,,,CraftOutlet400,CraftOutlet160,b65414_1.jpg,b65414_1.jpg,,,CraftOutlet800,b65414_1.jpg
"16"" LIGHT TAN BEAR, JOINTED",B9196-16,(All) Craft Outlet Products View,"16"" LIGHT JOINTED TAN TEDDY BEAR",,,,,"16""",,3,12.95,,,,,,CraftOutlet400,CraftOutlet160,b9196.jpg,b9196.jpg,,,CraftOutlet800,b9196.jpg
"018763 6.75"" P/M BROWN RABBIT,NO BOW",E30157,(All) Craft Outlet Products View,"6.75"" P/M BROWN RABBIT",,,,,6.75'',,3,5.75,12,5.25,,,3,CraftOutlet400,CraftOutlet160,e30157.jpg,e30157.jpg,,,CraftOutlet800,e30157.jpg
"  23"" FABRIC  WITCH",30240F,(All) Craft Outlet Products View,,,,,,,,2,12.95,6,12.5,16,11.95,2,CraftOutlet400,CraftOutlet160,30240fnew.jpg,30240fnew.jpg,,,CraftOutlet800,30240fnew.jpg
018086 WOODEN/METAL  SLEIGH (LG),20832,(All) Craft Outlet Products View,"Wooden/Metal Sleigh with pull hemp rope 20""X7""X6""H
2PC/$15.25EA
6PC/$14.25EA",,,,,"20""X7""X6""H",,2,15.25,6,14.25,,,2,CraftOutlet400,CraftOutlet160,,,,,CraftOutlet800,
"5.5"" X 5""H P/M SHEEP LARGE",30108,(All) Craft Outlet Products View|Barn Farm Animals,"This large Papier Mache sheep has large googly eyes and is polka-dotted. This item measures 5.5"" tall.",,,,,"5.5"" L X 5""H",,6,3.95,12,3.25,36,2.95,6,CraftOutlet400,CraftOutlet160,30108.jpg,30108.jpg,,,CraftOutlet800,30108.jpg
"16"" P/M STANDING BUNNY W/EGGS & FLOWERS",30113,(All) Craft Outlet Products View|Bunnies,"This 16"" standing bunny is made from Papier Mache and holds a small rattan basket of eggs and tin flowers in the other hand.",,,,,"18"" H",,2,11.95,6,10.95,18,9.95,2,CraftOutlet400,CraftOutlet160,30113.jpg,30113.jpg,,,CraftOutlet800,30113.jpg
P/M BUNNY  4 X 3.25 X 8 H,30956,(All) Craft Outlet Products View|Bunnies,"CUTE 4"" PAPER MACHE BUNNY HEAD GREAT TO DECORATE WITH OUR OTHER COLLECTION OF BUNNIES",,,,,"4""L X 3.25""W X 8""H",,6,5.75,24,5.25,,,6,CraftOutlet400,CraftOutlet160,30956.jpg,30956.jpg,,,CraftOutlet800,30956.jpg
"TIN STAR W/WIRE HOLDER, 10.5""BLK",20519,(All) Craft Outlet Products View|Decorative Tin,"VERY UNIQUE BLACK TIN STAR SHAPED CANDLE HOLDER IS GREAT FOR ANY HOLIDAY OR EVERYDAY DECOR AROUND YOUR HOME OR OFFICE. GREAT TO PAIR WITH MULTI COLORED STAR CANDLE HOLDERS. THIS CANDLE HOLDER STANDS AT 10.5"" TALL.

DIMS: 8 x 8 x 10.5",,,,,8 x 8 x 10.5,,6,4.25,18,3.85,,,6,CraftOutlet400,CraftOutlet160,20516_20519.jpg,20516_20519.jpg,,,CraftOutlet800,20516_20519.jpg
"2.875"" SCREW ON LID, NO HOLE, GARVN.",T00916,(All) Craft Outlet Products View|Decorative Tin,"This lid screws on any regular sized jar and measures 2.75"" long in diameter. It has a natural galvanized finish.",,,,,"  2.875"" DIMS",,24,1.15,120,0.95,480,0.9,24,CraftOutlet400,CraftOutlet160,T00916.jpg,T00916.jpg,Tin,,CraftOutlet800,T00916.jpg
"2.875"" SCREW ON RUSTIC LID",T00917,(All) Craft Outlet Products View|Decorative Tin,"This lid screws on any regular sized jar and measures 2.75"" long in diameter. It has a natural Rusty finish.",,,,,"  2.875"" DIMS",,24,1.15,120,0.95,480,0.9,24,CraftOutlet400,CraftOutlet160,T00917.jpg,T00917.jpg,Tin,,CraftOutlet800,T00917.jpg
"2.875"" SCREW ON LID, BLACK",T00918,(All) Craft Outlet Products View|Decorative Tin,"This lid screws on any regular sized jar and measures 2.75"" long in diameter. It has a black finish.",,,,,"  2.875"" DIMS",,24,1.15,120,0.95,480,0.9,24,CraftOutlet400,CraftOutlet160,T00918.jpg,T00918.jpg,Tin,,CraftOutlet800,T00918.jpg
"8""H. RUSTIC TIN  OIL LAMP",T0093,(All) Craft Outlet Products View|Decorative Tin,"Rusty Tin Oil lantern measures 8"" tall and has a moving wick inside of glass orb. Fully functional or could be used as a display. ",,,,,"5""L X 3.5""W X 8""H",,4,10.75,24,9.25,,,4,CraftOutlet400,CraftOutlet160,T0093.jpg,T0093.jpg,Tin,,CraftOutlet800,T0093.jpg
"3.25"" Rustic lid, no hole",T0147,(All) Craft Outlet Products View|Decorative Tin,"This lid screws on any wide-mouth  jar and measures 3.25"" long in diameter. It has a natural Rusty finish.",,,,,"3.5""L X 3.5""W X 1""H",,24,1.75,120,1.45,,,24,CraftOutlet400,CraftOutlet160,T0147.jpg,T0147.jpg,Tin,,CraftOutlet800,T0147.jpg
"3.25"" Black lid, no hole",T0148,(All) Craft Outlet Products View|Decorative Tin,"This lid screws on any wide-mouth jar and measures 3.25"" long in diameter. It has a painted black finish.",,,,,"3.5""L X 3.5""W X 1""H",,24,1.75,120,1.45,,,24,CraftOutlet400,CraftOutlet160,T0148.jpg,T0148.jpg,Tin,,CraftOutlet800,T0148.jpg
"3.25"" Natural lid, no hole",T0149,(All) Craft Outlet Products View|Decorative Tin,"This lid screws on any wide-mouth jar and measures 3.25"" long in diameter. It has a natural galvanized finish. ",,,,,"3.5""L X 3.5""W X 1""H",,24,1.75,120,1.45,,,24,CraftOutlet400,CraftOutlet160,T0149.jpg,T0149.jpg,Tin,,CraftOutlet800,T0149.jpg
"3.25"" BLACK LID W/HANDLE",T0245,(All) Craft Outlet Products View|Decorative Tin,"This black lid is perfect for any wide-mouth container, jar, or candle. It features a small welded on handle to lift from.",,,,,"3.5""L X 3.5""W X 1.75""H",,24,1.8,120,1.5,,,24,CraftOutlet400,CraftOutlet160,T0245.jpg,T0245.jpg,Tin,,CraftOutlet800,T0245.jpg
"3.25"" RUSTIC LID W/HANDLE",T0254,(All) Craft Outlet Products View|Decorative Tin,"This rustic lid measures 3.25"" D and is perfect for any wide-mouth container, jar, or candle. It features a small welded on handle to lift from.",,,,,"3""L X 3""W X 1""H",,24,1.8,120,1.5,480,0.95,24,CraftOutlet400,CraftOutlet160,T0254.jpg,T0254.jpg,Tin,,CraftOutlet800,T0254.jpg
SMALL RUSTIC SCREW ON LID W/HOLE,T0255,(All) Craft Outlet Products View|Decorative Tin,"Small Rusty lid with hole measures 2.75""  and has a hole placed in the middle of the lid for a screw or nail to easily pass through.",,,,,"2.75""H",,24,1.5,120,1.25,,,24,CraftOutlet400,CraftOutlet160,T0255.jpg,T0255.jpg,Tin,,CraftOutlet800,T0255.jpg
SMALL BLACK SCREW ON LID W/HOLE,T0256,(All) Craft Outlet Products View|Decorative Tin,"Small Black lid with hole measures 2.75"" and has a hole placed in the middle of the lid for a screw or nail to easily pass through.",,,,,"2.5""L X 2.5""W X 1""H",,24,1.5,120,1.25,,,24,CraftOutlet400,CraftOutlet160,T0256.jpg,T0256.jpg,,,CraftOutlet800,T0256.jpg
SML GOLD SCREW ON LID W/HOLE,T0257,(All) Craft Outlet Products View|Decorative Tin,"Small gold lid with hole measures 2.75""  and has a hole placed in the middle of the lid for a screw or nail to easily pass through.",,,,,"2.5""L X 2.5""W X 1""H",,24,1.15,120,1,,,24,CraftOutlet400,CraftOutlet160,T0257.jpg,T0257.jpg,Tin,,CraftOutlet800,T0257.jpg
S/3 NAT GARDEN TOOLS LRG,T0261,(All) Craft Outlet Products View|Decorative Tin,Set of 3 mini Rusty Garden Tools. Great for any garden display.,,,,,,,24,1.8,48,1.55,,,24,CraftOutlet400,CraftOutlet160,T0261.jpg,T0261.jpg,,,CraftOutlet800,T0261.jpg
S/3 RUSTIC MINI GARDEN TOOLS,T0269,(All) Craft Outlet Products View|Decorative Tin,SET OF RUSTIC MINI GARDEN TOOLS WITH WOOD HANDLES,,,,,"1.5""L X 4""H",,24,1.25,72,1,,,24,CraftOutlet400,CraftOutlet160,T0269.jpg,T0269.jpg,,,CraftOutlet800,T0269.jpg
S/3 MINI NATURAL GARDEN TOOLS,T0270,(All) Craft Outlet Products View|Decorative Tin,SET OF 3 MINI NATURAL GARDEN TOOLS WITH WOOD HANDLES,,,,,"1.5""L X 4""H",,24,1.25,72,1,,,24,CraftOutlet400,CraftOutlet160,T0270.jpg,T0270.jpg,,,CraftOutlet800,T0270.jpg
"=T0146 3""H X1.75"" BLACK DECORATIVE OIL LAMP",T0303,(All) Craft Outlet Products View|Decorative Tin,"DECORATIVE BLACK TIN OIL LAMP. MEASURES AT 3"" X 1.75''.",,,,,"1.75""L X 3""H",,12,3.9,72,3.3,,,12,CraftOutlet400,CraftOutlet160,T0303.jpg,T0303.jpg,,,CraftOutlet800,T0303.jpg
"  2""X2.5"" TIN WATERING CAN",T0060,(All) Craft Outlet Products View|Buckets & Pails|Decorative Tin,DECORATIVE RUSTIC TIN WATERING CAN. STANDS AT 2'' 2.5'' TALL.,,,,,"4.5""L X 2""W X 2.5""H",,12,1.15,72,0.95,,,12,CraftOutlet400,CraftOutlet160,T0060.jpg,T0060.jpg,,,CraftOutlet800,T0060.jpg
"  2.5""MINI WATERING CAN",T0061,(All) Craft Outlet Products View|Buckets & Pails|Decorative Tin,"This small 2.5"" tall Mini Watering Can is made from rusty metal.",,,,,"4.5""L X 2""W X 2.5""H",,24,1.8,72,1.55,,,24,CraftOutlet400,CraftOutlet160,T0061.jpg,T0061.jpg,,,CraftOutlet800,T0061.jpg
"  11"" 2 TONE FLOWER BUCKET",T0151,(All) Craft Outlet Products View|Buckets & Pails|Decorative Tin,This 2 tone Flower Bucket with Rusty and Galvanized Tin.,,,,,"7""L X 5.75""W X 11""H",,6,9.55,24,8.25,,,6,CraftOutlet400,CraftOutlet160,T0151.jpg,T0151.jpg,,,CraftOutlet800,T0151.jpg
"  13"" NAT FLWR BUCKET",T0265,(All) Craft Outlet Products View|Buckets & Pails|Decorative Tin,"Shiny Galvanized Flower tin bucket stands 13"" tall and is perfect for any floral arrangement!",,,,,8.5X7X13.5,,6,9.55,24,8.45,,,6,CraftOutlet400,CraftOutlet160,T0265.jpg,T0265.jpg,,,CraftOutlet800,T0265.jpg
"9"" RUSTIC FLWR POT",T0266,(All) Craft Outlet Products View|Buckets & Pails|Decorative Tin,"Rusty Flower tin bucket stands 9"" tall and is perfect for any floral arrangement!",,,,,"6""L X 5""W X 9""H",,12,5.25,48,4.35,,,12,CraftOutlet400,CraftOutlet160,T0266.jpg,T0266.jpg,,,CraftOutlet800,T0266.jpg
"6.25""X4.5""X3.125""MED BLACK TUB",T0281,(All) Craft Outlet Products View|Buckets & Pails|Decorative Tin,"DECORATIVE MEDIUM SIZE BLACK TUB. STANDS AT 6.25""X4.5""X3.125"".",,,,,"6.25""L X 4.5""W X 3.125""H",,12,3.55,36,3,,,12,CraftOutlet400,CraftOutlet160,T0281.jpg,T0281.jpg,,,CraftOutlet800,T0281.jpg
"TIN STAR BUCKET OFFWT S/2 11"" & 9""",20800,(All) Craft Outlet Products View|Buckets & Pails|Decorative Tin,"Off White Tin Star Bucket comes in a nestled set of 2. Each has a wooden handle and can be used together to display or separately.  They measures approximately 11"" and 9"" long.",,,,,"11""L X 11""W X 2.5""H",,2,13.5,6,12.5,,,2,CraftOutlet400,CraftOutlet160,20800.jpg,20800.jpg,Tin,,CraftOutlet800,20800.jpg
"TIN STAR BUCKET, BLACK S/2 11""& 9""",20801,(All) Craft Outlet Products View|Buckets & Pails|Decorative Tin,"Set of 2 nestled Tin Star Pails with handles. Made from Tin they also have wooden handles and measure approximately 11"" and 9"" each. ",,,,,"11""L X 11""W X 2.5""H",,2,13.5,6,12.5,,,2,CraftOutlet400,CraftOutlet160,20801.jpg,20801.jpg,Tin,,CraftOutlet800,20801.jpg
"TIN STAR BUCKET, RED S/2 11"" & 9""",20803,(All) Craft Outlet Products View|Buckets & Pails|Decorative Tin,"This nestled set of 2 Tin Star pails are painted Barn Red. They measure approximately 9"" and 11"" and have a move-able wooden handle. ",,,,,"11""L X 11""W X 2.5""H",,2,13.5,6,12.5,,,2,CraftOutlet400,CraftOutlet160,20803_1.jpg,20803_1.jpg,Tin,,CraftOutlet800,20803_1.jpg
"15"" RUSTIC FLWR BUCKET",T0015,(All) Craft Outlet Products View|Buckets & Pails|Decorative Tin,"Rusty flower bucket measures 15"" tall and is perfect for any floral arrangement",,,,,"8""L X 9""W X 15""H",,4,13.15,16,11.2,,,4,CraftOutlet400,CraftOutlet160,T0015.jpg,T0015.jpg,Tin,,CraftOutlet800,T0015.jpg
"8"" BLACK TIN OIL LANTER",T0054,(All) Craft Outlet Products View|Buckets & Pails|Decorative Tin,"Black Tin Oil lantern measures 8"" tall and has a moving wick inside of glass orb. Fully functional or could be used as a display. ",,,,,"4.5""L X 5""W X 8""H",,4,10.75,24,9.15,,,4,CraftOutlet400,CraftOutlet160,T0054.jpg,T0054.jpg,Tin,,CraftOutlet800,T0054.jpg
"4.5"" RUSTIC MINI WALL BUCKET",T0076,(All) Craft Outlet Products View|Buckets & Pails|Decorative Tin,"This 4"" Rusty Mini Wall Pocket is great for small floral arrangements and has a long tin metal hanger to hang. ",,,,,"4.5""L X 2""W X 5""H",,12,2.7,48,2.3,,,12,CraftOutlet400,CraftOutlet160,T0076.jpg,T0076.jpg,Tin,,CraftOutlet800,T0076.jpg
"7"" RUSTIC BUCKET,OVAL",T0081,(All) Craft Outlet Products View|Buckets & Pails|Decorative Tin,"Small Rustic Oval Bucket stands 7"" tall and is great to use as a container. ",,,,,"6""L X 3.5""W X 7.5""H",,12,4.75,36,4.05,,,12,CraftOutlet400,CraftOutlet160,T0081.jpg,T0081.jpg,Tin,,CraftOutlet800,T0081.jpg
