Brass Double Pod Necklace,15039-B,(All) HomArt Products,Textured metal slightly concave in the form of organic pods and leaves. Adjustable chain on the necklace.,In Stock,,,,0.25 x 1.25 x 12.5,,2,12,,,,,2,HomArt400,HomArt160,15039-B.JPG,15039-B.JPG,6.47E+11,,HomArt800,15039-B.JPG
Hilo Brass Bicone and Wood Trapezoid Pendant,15081-B,(All) HomArt Products,"Statement-making brass bicone beads get a geometric play when paired with multiple forms and earthen materials of lava, wood and leather. Each pendant features an adjustable soft leather cord. 1x2.5 pendant on 24 cord",In Stock,,,,24.0 x 1.0 x 2.5,,2,13.7,,,,,2,HomArt400,HomArt160,15081-B.JPG,15081-B.JPG,6.47E+11,,HomArt800,15081-B.JPG
Nomad Reclaimed Wood Wheel Mirror - Natural,2665-207,(All) HomArt Products,,In Stock,,,,,,1,398,,,,,1,HomArt400,HomArt160,2665-207.JPG,2665-207.JPG,6.47E+11,,HomArt800,2665-207.JPG
Paper Feathers - Box of 12 - White,30030-6,(All) HomArt Products,"Looking just like the real thing our Paper Feathers make great bookmarks, tabletop gifts or decorative accent objects. Available in sets of 12 and in Aqua, Silver, White and Copper.",In Stock,,,,3.5 x 1.0 x 8.25,,1,3.95,24,3.4,,,1,HomArt400,HomArt160,30030-6.jpg,30030-6.jpg,6.47E+11,,HomArt800,30030-6.jpg
Bijou Wall Bar - 32 in - Nickel,5818-18,(All) HomArt Products,"A unique and versatile take on the traditional wall hook, the Bijou Hook will be your go-to hardware for hanging anything from terrariums to lanterns.",In Stock,,,,32.0 x 2.0 x 3.0,,2,18,8,16.8,,,2,HomArt400,HomArt160,5818-18.jpg,5818-18.jpg,6.47E+11,,HomArt800,5818-18.jpg
Glass Votive - Dark Blue,8739-10,(All) HomArt Products,,,,,,2.75 x 2.75 x 3.0,,2,4,8,3.75,,,2,HomArt400,HomArt160,8739-10.JPG,8739-10.JPG,6.47E+11,,HomArt800,8739-10.JPG
"Poodle Ornament, Felt",95133-6,(All) HomArt Products,,,,,,5.0 x 3.0 x 4.0,,6,5.75,24,5.3,,,6,HomArt400,HomArt160,95133-6.JPG,95133-6.JPG,6.47E+11,,HomArt800,95133-6.JPG
Branch Wishbone Embroidered Hat,OFA-01HAT,(All) HomArt Products,"Six-panel organic cotton construction features an embroidered graphic, curved brim and adjustable brass strapback closure. One size fits all.",,,,,,,4,15,,,,,4,HomArt400,HomArt160,ALP-01HAT.JPG,ALP-01HAT.JPG,6.47E+11,,HomArt800,ALP-01HAT.JPG
Lightweight Logo Pullover Hoodie Bone - Lrg,OFA-01HL,(All) HomArt Products,Lightweight hooded sweatshirt made from organic cotton with our embroidered branch wishbone logo embroidered on left shoulder.,,,,,,,2,32.5,,,,,2,HomArt400,HomArt160,ALP-01HL.JPG,ALP-01HL.JPG,6.47E+11,,HomArt800,ALP-01HL.JPG
Lightweight Logo Pullover Hoodie Bone - XL,OFA-01HXL,(All) HomArt Products,Lightweight hooded sweatshirt made from organic cotton with our embroidered branch wishbone logo embroidered on left shoulder.,,,,,,,2,32.5,,,,,2,HomArt400,HomArt160,OFA-01HXL.JPG,OFA-01HXL.JPG,6.47E+11,,HomArt800,OFA-01HXL.JPG
Beauty That Comes White Pocket T-shirt - Lrg,OFA-01TL,(All) HomArt Products,Pigment-dyed unisex t-shirt made from organic cotton features minimal but impactful screen printed text. Available in 3 sizes. ,,,,,,,2,19,,,,,2,HomArt400,HomArt160,ALP-01TL.JPG,ALP-01TL.JPG,6.47E+11,,HomArt800,ALP-01TL.JPG
Beauty That Comes White Pocket T-shirt - Med,OFA-01TM,(All) HomArt Products,Pigment-dyed unisex t-shirt made from organic cotton features minimal but impactful screen printed text. Available in 3 sizes. ,,,,,,,2,19,,,,,2,HomArt400,HomArt160,ALP-01TM.JPG,ALP-01TM.JPG,6.47E+11,,HomArt800,ALP-01TM.JPG
Beauty That Comes White Pocket T-shirt - Sm,OFA-01TS,(All) HomArt Products,Pigment-dyed unisex t-shirt made from organic cotton features minimal but impactful screen printed text. Available in 3 sizes. ,,,,,,,2,19,,,,,2,HomArt400,HomArt160,ALP-01TS.JPG,ALP-01TS.JPG,6.47E+11,,HomArt800,ALP-01TS.JPG
Beauty That Comes White Pocket T-shirt - XL,OFA-01TXL,(All) HomArt Products,Pigment-dyed unisex t-shirt made from organic cotton features minimal but impactful screen printed text. Available in 3 sizes. ,,,,,,,2,19,,,,,2,HomArt400,HomArt160,OFA-01TXL.JPG,OFA-01TXL.JPG,6.47E+11,,HomArt800,OFA-01TXL.JPG
Everything Will Be OK Embroidered Hat,OFA-02HAT,(All) HomArt Products,"Six-panel organic cotton construction features an embroidered graphic, curved brim and adjustable brass strapback closure. One size fits all.",,,,,,,4,15,,,,,4,HomArt400,HomArt160,ALP-02HAT.JPG,ALP-02HAT.JPG,6.47E+11,,HomArt800,ALP-02HAT.JPG
Lightweight Logo Pullover Hoodie Sand - Lrg,OFA-02HL,(All) HomArt Products,Heavyweight hooded sweatshirt made from organic cotton with our embroidered branch wishbone logo embroidered on left shoulder.,,,,,,,2,32.5,,,,,2,HomArt400,HomArt160,ALP-02HL.JPG,ALP-02HL.JPG,6.47E+11,,HomArt800,ALP-02HL.JPG
Lightweight Logo Pullover Hoodie Sand - Med,OFA-02HM,(All) HomArt Products,Lightweight hooded sweatshirt made from organic cotton with our embroidered branch wishbone logo embroidered on left shoulder.,,,,,,,2,32.5,,,,,2,HomArt400,HomArt160,ALP-02HM.JPG,ALP-02HM.JPG,6.47E+11,,HomArt800,ALP-02HM.JPG
Lightweight Logo Pullover Hoodie Sand - Sm,OFA-02HS,(All) HomArt Products,Lightweight hooded sweatshirt made from organic cotton with our embroidered branch wishbone logo embroidered on left shoulder.,,,,,,,2,32.5,,,,,2,HomArt400,HomArt160,ALP-02HS.JPG,ALP-02HS.JPG,6.47E+11,,HomArt800,ALP-02HS.JPG
Lightweight Logo Pullover Hoodie Sand - XL,OFA-02HXL,(All) HomArt Products,Heavyweight hooded sweatshirt made from organic cotton with our embroidered branch wishbone logo embroidered on left shoulder.,,,,,,,2,32.5,,,,,2,HomArt400,HomArt160,OFA-02HXL.JPG,OFA-02HXL.JPG,6.47E+11,,HomArt800,OFA-02HXL.JPG
We Have Changed The Dancers White T-shirt - Med,OFA-02TM,(All) HomArt Products,Pigment-dyed unisex t-shirt made from organic cotton features minimal but impactful screen printed text. Available in 3 sizes. ,,,,,,,2,19,,,,,2,HomArt400,HomArt160,ALP-02TM.JPG,ALP-02TM.JPG,6.47E+11,,HomArt800,ALP-02TM.JPG
We Have Changed The Dancers White T-shirt - Sm,OFA-02TS,(All) HomArt Products,Pigment-dyed unisex t-shirt made from organic cotton features minimal but impactful screen printed text. Available in 3 sizes. ,,,,,,,2,19,,,,,2,HomArt400,HomArt160,ALP-02TS.JPG,ALP-02TS.JPG,6.47E+11,,HomArt800,ALP-02TS.JPG
