Outdoor Citronella Torch Holder,4200,(All) J&J Wire Products,"J&J Wire has designed a great new product that will help you and your company enjoy the evening with our outdoor citronella torch holder.  Purchase your favorite citronella canister, insert into the holder, light the torch and keep the bugs at a safe distance. This product is proudly made in America by skilled craftsmen.  Constructed of iron rod with a black finish that has been powder-coated for use outdoors.  Each holder arrives in two pieces for easy storage.   Easy assembly required.  Sold retail in sets of three.  54 3/4″ Tall",,,,,"39"" T",,1,11.9,,,,,1,jjwire400,jjwire160,Outdoor-Citronella-Torch-Holder-3-e1494874776762.jpg,Outdoor-Citronella-Torch-Holder-3-e1494874776762.jpg,,,jjwire800,Outdoor-Citronella-Torch-Holder-3-e1494874776762.jpg
Deck mounted Citronella Torch Holder,4205,(All) J&J Wire Products,Sutter Creek torch holder for wood decks. Keep bugs away using a metal citronella canister. Safety and look are the key to this product. Shop outdoor decor at J&J Wire. Retail – Sold in sets of three. Wholesale – Sold individually,,,,,"27"" T",,1,9.85,,,,,1,jjwire400,jjwire160,Wood-Deck-Tiki-Torch-Holder.jpg,Wood-Deck-Tiki-Torch-Holder.jpg,,,jjwire800,Wood-Deck-Tiki-Torch-Holder.jpg
"Set of three, 1 lg, 2 med Outdoor Planters",5025,(All) J&J Wire Products,,,,,,,,1,40.15,,,,,1,jjwire400,jjwire160,2017-05-02-14.11.40-copy.jpg,2017-05-02-14.11.40-copy.jpg,,,jjwire800,2017-05-02-14.11.40-copy.jpg
Indoor/Outdoor Patio Planters - 3/set,5120,(All) J&J Wire Products,,,,,,,,1,20,,,,,1,jjwire400,jjwire160,DSC_1417.jpg,DSC_1417.jpg,,,jjwire800,DSC_1417.jpg
Sewing Machine Spool Rack,250,(All) J&J Wire Products|Around the Home,,,,,,"18 1/2"" T",,1,13.05,,,,,1,jjwire400,jjwire160,250.jpg,250.jpg,,,jjwire800,250.jpg
Over Door Four Hook Coat Rack,254,(All) J&J Wire Products|Around the Home,,,,,,"16"" W",,1,14.7,,,,,1,jjwire400,jjwire160,254.jpg,254.jpg,,,jjwire800,254.jpg
Tall 3 Leg Holder for #466/#414 Glass,410,(All) J&J Wire Products|Around the Home,,,,,,"11""T",,1,7.55,,,,,1,jjwire400,jjwire160,410.jpg,410.jpg,,,jjwire800,410.jpg
Cylinder Glass Vase - Imported,414,(All) J&J Wire Products|Around the Home,,,,,,12/BX,,1,49.1,,,,,1,jjwire400,jjwire160,414s.jpg,414s.jpg,,,jjwire800,414s.jpg
Mitten Dryer,428,(All) J&J Wire Products|Around the Home,,,,,,"28 1/2"" T",,1,10.95,,,,,1,jjwire400,jjwire160,4282.jpg,4282.jpg,,,jjwire800,4282.jpg
Medium Cross Stake,471,(All) J&J Wire Products|Around the Home,,,,,,"27 1/4"" T",,1,10.75,,,,,1,jjwire400,jjwire160,471.jpg,471.jpg,,,jjwire800,471.jpg
Large Cross Stake,472,(All) J&J Wire Products|Around the Home,,,,,,"39"" T",,1,14.35,,,,,1,jjwire400,jjwire160,472.jpg,472.jpg,,,jjwire800,472.jpg
"Exterior Door (1 3/4"" W) Wreath Hldr",474,(All) J&J Wire Products|Around the Home,,,,,,"12 3/4"" T",,1,2.8,,,,,1,jjwire400,jjwire160,474.jpg,474.jpg,,,jjwire800,474.jpg
Freestanding Plant Stand w/3 Shelves,482,(All) J&J Wire Products|Around the Home,,,,,,"39""T21""W",,2,41.55,,,,,2,jjwire400,jjwire160,482.jpg,482.jpg,Oversize box required for this item when shipping which will make shipping cost extra. ,,jjwire800,482.jpg
Heart Calendar Holder,507,(All) J&J Wire Products|Around the Home,,,,,,"14 1/2"" L",,1,5.4,,,,,1,jjwire400,jjwire160,507.jpg,507.jpg,,,jjwire800,507.jpg
Victorian Calendar Holder,508,(All) J&J Wire Products|Around the Home,,,,,,"14 1/2"" L",,1,4.65,,,,,1,jjwire400,jjwire160,508.jpg,508.jpg,,,jjwire800,508.jpg
Victorian Heart Top Spool Rack,513,(All) J&J Wire Products|Around the Home,,,,,,"16"" T",,1,10.95,,,,,1,jjwire400,jjwire160,513.jpg,513.jpg,,,jjwire800,513.jpg
Infant Sized Dress Form,552,(All) J&J Wire Products|Around the Home,,,,,,"18""T",,1,10.1,,,,,1,jjwire400,jjwire160,552.jpg,552.jpg,,,jjwire800,552.jpg
Multi Heart Five Hook Coat Rack,633,(All) J&J Wire Products|Around the Home,,,,,,"16"" L",,1,11.8,,,,,1,jjwire400,jjwire160,633.jpg,633.jpg,,,jjwire800,633.jpg
Three Hook Coat Rack,635,(All) J&J Wire Products|Around the Home,,,,,,"18"" L",,1,14.5,,,,,1,jjwire400,jjwire160,635.jpg,635.jpg,,,jjwire800,635.jpg
Five Hook Coat Rack,636,(All) J&J Wire Products|Around the Home,,,,,,"34"" L",,1,23.9,,,,,1,jjwire400,jjwire160,636.jpg,636.jpg,,,jjwire800,636.jpg
Large Crock and/or Plant  Stand (OS),667,(All) J&J Wire Products|Around the Home,,,,,,"45"" T",,1,35.45,,,,,1,jjwire400,jjwire160,667.jpg,667.jpg,Oversize box required for this item when shipping which will make shipping cost extra. ,,jjwire800,667.jpg
Large Shepherd Hook Garden Stake,676,(All) J&J Wire Products|Around the Home,,,,,,"70"" T",,6,12.25,,,,,6,jjwire400,jjwire160,676.jpg,676.jpg,Oversize box required for this item when shipping which will make shipping cost extra. ,,jjwire800,676.jpg
"Mailbox Holder For 6"" Pots",698,(All) J&J Wire Products|Around the Home,,,,,,"7 3/4""T",,1,5.15,,,,,1,jjwire400,jjwire160,698.jpg,698.jpg,,,jjwire800,698.jpg
Small Yard Flag Holder,717,(All) J&J Wire Products|Around the Home,,,,,,"35"" T",,1,6.5,,,,,1,jjwire400,jjwire160,717.jpg,717.jpg,Oversize box required for this item when shipping which will make shipping cost extra. ,,jjwire800,717.jpg
"Long Mailbox Holder for 6"" Pots",772,(All) J&J Wire Products|Around the Home,,,,,,"19 1/4"" T",,1,6.55,,,,,1,jjwire400,jjwire160,772.jpg,772.jpg,,,jjwire800,772.jpg
Wood or Magazine Rack,778,(All) J&J Wire Products|Around the Home,,,,,,"11 1/2"" L",,1,23.9,,,,,1,jjwire400,jjwire160,778.jpg,778.jpg,,,jjwire800,778.jpg
Gothic Window Coat Rack (OS) ,831,(All) J&J Wire Products|Around the Home,,,,,,"28""W",,1,19.2,,,,,1,jjwire400,jjwire160,831.jpg,831.jpg,Oversize box required for this item when shipping which will make shipping cost extra. ,,jjwire800,831.jpg
