Booklet-Power of the Cross,48006,(All) Lighthouse Products,,,,,,"Product Size: Various""",,1,0.15,,,,,1,Lighthouse400,Lighthouse160,48006.jpg,48006.jpg,Verse: Various,,Lighthouse800,48006.jpg,
Booklet-We All Need Hope,48007,(All) Lighthouse Products,,,,,,"Product Size: Various""",,1,0.15,,,,,1,Lighthouse400,Lighthouse160,48007.jpg,48007.jpg,Verse: Various,,Lighthouse800,48007.jpg,
Bookmark w/Ribbon-A Servant's Heart,51203,(All) Lighthouse Products,,,,,,"Product Size: 1 3/4"" x 5 3/4""",,12,0.65,,,,,12,Lighthouse400,Lighthouse160,51203.jpg,51203.jpg,Verse: 1 Samuel 12:20,,Lighthouse800,51203.jpg,
Christmas Ornament-Resin-Heart w/Gold Heart-Everlasting Love,12110,(All) Lighthouse Products|Christmas,"Printed Scripture and gold heart accent, ribbon to hang.",,,,,"4"" x 3 1/8""",,3,5,,,,,3,Lighthouse400,Lighthouse160,12110.jpg,12110.jpg,Hand-cast resin  -  Scripture Reference: John 3:16,,Lighthouse800,12110.jpg,
"Christmas Ornament-Resin-Stone-Nail-Jesus, Savior-Lord-King",12113,(All) Lighthouse Products|Christmas,"Nail with printed Scripture; 3  hanging charms: manger, cross, crown; ribbon to hang.",,,,,"4 3/4"" x 2 1/8""",,3,5,,,,,3,Lighthouse400,Lighthouse160,12113.jpg,12113.jpg,Hand-cast resin  -  Scripture Reference: Luke 2:11,,Lighthouse800,12113.jpg,
Christmas Ornament-Resin-Baby Jesus on Bible-The Word,12119,(All) Lighthouse Products|Christmas,"Bronzelike finish and printed Scripture on Bible, ribbon to hang.",,,,,"3 1/2"" x 2"" x 1 1/2""",,3,4.5,,,,,3,Lighthouse400,Lighthouse160,12119.jpg,12119.jpg,Hand-cast resin  -  Scripture Reference: Luke 2:10-11,,Lighthouse800,12119.jpg,
Christmas Ornament-Resin-Silver-Snowflake-Believe,12175,(All) Lighthouse Products|Christmas,"Silver metallic finish, suspended circle with title, printed Scripture on back, ribbon to hang.",,,,,"4 1/2"" x 4 1/2""",,6,4.5,,,,,6,Lighthouse400,Lighthouse160,12175.jpg,12175.jpg,Hand-cast resin  -  Scripture Reference: Luke 1:37,,Lighthouse800,12175.jpg,
Christmas Ornament-Resin-Silver-Snowflake-Jesus,12176,(All) Lighthouse Products|Christmas,"Silver metallic finish, suspended circle with title, printed Scripture on back, ribbon to hang.",,,,,"4 1/2"" x 4 1/2""",,6,4.5,,,,,6,Lighthouse400,Lighthouse160,12176.jpg,12176.jpg,Hand-cast resin  -  Scripture Reference: Luke 2:32,,Lighthouse800,12176.jpg,
Christmas Ornament-Resin-Silver-Snowflake-Peace,12177,(All) Lighthouse Products|Christmas,"Silver metallic finish, suspended circle with title, printed Scripture on back, ribbon to hang.",,,,,"4 1/2"" x 4 1/2""",,6,4.5,,,,,6,Lighthouse400,Lighthouse160,12177.jpg,12177.jpg,Hand-cast resin  -  Scripture Reference: 2 Thess 1:2,,Lighthouse800,12177.jpg,
Christmas Ornament-Resin-Silver-Snowflake-Rejoice,12178,(All) Lighthouse Products|Christmas,"Silver metallic finish, suspended circle with title, printed Scripture on back, ribbon to hang.",,,,,"4 1/2"" x 4 1/2""",,6,4.5,,,,,6,Lighthouse400,Lighthouse160,12178.jpg,12178.jpg,Hand-cast resin  -  Scripture Reference: Luke 2:14,,Lighthouse800,12178.jpg,
Christmas Ornament-MDF-Tag-Jesus,12361,(All) Lighthouse Products|Christmas,"Tag shape with colorful printed Scripture and title, ribbon to hang.",,,,,"2 3/4"" x 5""",,6,3,,,,,6,Lighthouse400,Lighthouse160,12361.jpg,12361.jpg,MDF  -  Scripture Reference: Matt. 12:21,,Lighthouse800,12361.jpg,
Christmas Ornament-MDF-Tag-Believe,12362,(All) Lighthouse Products|Christmas,"Tag shape with colorful printed Scripture and title, ribbon to hang.",,,,,"2 3/4"" x 5""",,6,3,,,,,6,Lighthouse400,Lighthouse160,12362.jpg,12362.jpg,MDF  -  Scripture Reference: John 3:16,,Lighthouse800,12362.jpg,
Christmas Ornament-MDF-Tag-Rejoice,12363,(All) Lighthouse Products|Christmas,"Tag shape with colorful printed Scripture and title, ribbon to hang.",,,,,"2 3/4"" x 5""",,6,3,,,,,6,Lighthouse400,Lighthouse160,12363.jpg,12363.jpg,MDF  -  Scripture Reference: Isaiah 9:6?``,,Lighthouse800,12363.jpg,
Christmas Ornament-MDF-Tag-Hope,12364,(All) Lighthouse Products|Christmas,"Tag shape with colorful printed Scripture and title, ribbon to hang.",,,,,"2 3/4"" x 5""",,6,3,,,,,6,Lighthouse400,Lighthouse160,12364.jpg,12364.jpg,MDF  -  Scripture Reference: Luke 2:10-11,,Lighthouse800,12364.jpg,
Christmas Ornament-MDF-Tag-Faith,12365,(All) Lighthouse Products|Christmas,"Tag shape with colorful printed Scripture and title, ribbon to hang.",,,,,"2 3/4"" x 5""",,6,3,,,,,6,Lighthouse400,Lighthouse160,12365.jpg,12365.jpg,MDF  -  Scripture Reference: Luke 1:37,,Lighthouse800,12365.jpg,
Christmas Ornament-MDF-Tag-Joy,12366,(All) Lighthouse Products|Christmas,"Tag shape with colorful printed Scripture and title, ribbon to hang.",,,,,"2 3/4"" x 5""",,6,3,,,,,6,Lighthouse400,Lighthouse160,12366.jpg,12366.jpg,MDF  -  Scripture Reference: Rom 15:13,,Lighthouse800,12366.jpg,
Christmas Advent Calendar-Paper-ABC's of Christmas,12501,(All) Lighthouse Products|Christmas,"ABC's of Christmas Advent calendar, each letter leads you verse-by-verse to Christ's birth.",,,,,"12"" x 12""",,12,3,,,,,12,Lighthouse400,Lighthouse160,12501.jpg,12501.jpg,Paper  -  Scripture Reference: Various,,Lighthouse800,12501.jpg,
Christmas Ornament-Glass-Clear/White-Heart-Reflecting God's Love-Jesus,12571,(All) Lighthouse Products|Christmas,"Clear front with title, printed Scripture inside, glitter back, ribbon to hang",,,,,"3 1/2"" x 3 1/2""",,3,5,,,,,3,Lighthouse400,Lighthouse160,12571.jpg,12571.jpg,Glass  -  Scripture Reference: Luke 2:10-11,,Lighthouse800,12571.jpg,
Christmas Ornament-Glass-Clear/White-Heart-Reflecting God's Love-Believe,12572,(All) Lighthouse Products|Christmas,"Clear front with title, printed Scripture inside, glitter back, ribbon to hang",,,,,"3 1/2"" x 3 1/2""",,3,5,,,,,3,Lighthouse400,Lighthouse160,12572.jpg,12572.jpg,Glass  -  Scripture Reference: John 3:16,,Lighthouse800,12572.jpg,
