"Mason Jar W/Wire Holder: 7""H",MK-10-070Pl,(All) Market Street Wholesale,,,,,,,,2,5.5,,,,,2,olivias400,olivias160,IHF-1034.jpg,IHF-1034.jpg,,,olivias800,IHF-1034.jpg
"Mercury Glass Candlestick Antique: 6""H X 3.5""W",MK-15-010,(All) Market Street Wholesale|Candle Holders,"Small ""antique bronze colored"" mercury glass decorative candle holder.
6""Hx3.5""W
Material: Glass
Color: Black and Gold
 SKU:MK-15-010",,,,,,,1,11,,,,,1,olivias400,olivias160,MK-15-010__97905.1508258981.jpg,MK-15-010__97905.1508258981.jpg,,,olivias800,MK-15-010__97905.1508258981.jpg
"Vintage Taper Candle Holder, Ant. Brass: 2.5""H X 4""W",MK-30-636,(All) Market Street Wholesale|Candle Holders,"This 2.5in x 4in. antique style candle holder with distressed metal finish. Compliments antique, vintage, primitive and country style decors.
Handle is spiraled metal.
2.5""Hx4""W
Small Candle Holder Only
Material: Metal
This 2.5in x 4in. candle holder has been made with an antique brass finish for an aged look.
Color: brown
 SKU:MK-30-636",,,,,,,1,2.25,,,,,1,olivias400,olivias160,MK-30-636__21453.1508259014.jpg,MK-30-636__21453.1508259014.jpg,,,olivias800,MK-30-636__21453.1508259014.jpg
Vintage Metal Bucket W/Handle,IHF-1029,(All) Market Street Wholesale|Decor,"Vintage-style bucket with a folding handle.
Perfect for farmhouse decorating with a rustic look.
Material: Metal
Vintage-style bucket with a folding handle.
Color: gray
 SKU:IHF-1029",,,,,,,1,16.7,,,,,1,olivias400,olivias160,IHF-1029__90806.1508258733.jpg,IHF-1029__90806.1508258733.jpg,,,olivias800,IHF-1029__90806.1508258733.jpg
"Iron 4 Hook Bar: 4""H X 24""W X 3.25""D",MK-30-510,(All) Market Street Wholesale|Decor,"Decorative antique wall hook with four coat hooks. Perfect for coats, jackets, handbags, or anything else!
4""Hx24""Wx3.25""D
Material: Metal
Color: brown
 SKU:MK-30-510",,,,,,,1,13.75,,,,,1,olivias400,olivias160,MK-30-510__89466.1508259008.jpg,MK-30-510__89466.1508259008.jpg,,,olivias800,MK-30-510__89466.1508259008.jpg
Wood Rooster Sign W/Burlap,MK-80-126,(All) Market Street Wholesale|Decor,"Black chalkboard plaque shaped as a rooster, hung on wire. Perfect for any Country style décor.
13""Hx10""Wx.5""D
Material: Wood
Color: tan
 SKU:MK-80-126",,,,,,,1,8,,,,,1,olivias400,olivias160,MK-80-126__03180.1508259020.jpg,MK-80-126__03180.1508259020.jpg,,,olivias800,MK-80-126__03180.1508259020.jpg
"Fresca Salt & Pepper: 3""H",MK-364-010,(All) Market Street Wholesale,"Salt and Pepper shakers with a bright and colorful floral design. Part of the Fresca Collection. Other item shown in picture also available, sold seperatley.
3""H
Material: Ceramic
Color: green
 SKU:MK-364-010",,,,,,,1,5,,,,,1,olivias400,olivias160,MK-364-010__65914.1508259016.jpg,MK-364-010__65914.1508259016.jpg,,,olivias800,MK-364-010__65914.1508259016.jpg
Wood Nautical Napkin Ring: 3 Asst,MK-30-121,"(All) Market Street Wholesale|Kitchen, Dining, & Tabletop","Set of 3 - Nautical napkin rings made of wood. Three assorted styles.
Measures
Each set includes two shells and one turtle.
Material: Wood
Color: Brown, Tan and Cream
 SKU:MK-30-121",,,,,,,1,6,,,,,1,olivias400,olivias160,MK-30-121__82098.1508258995.jpg,MK-30-121__82098.1508258995.jpg,,,olivias800,MK-30-121__82098.1508258995.jpg
Fabric Flower Napkin Ring: 3 Asst,MK-30-120,"(All) Market Street Wholesale|Kitchen, Dining, & Tabletop","Set of 3 - Burlap and fabric napkin rings in tan color. Three assorted styles.
Measures
Set includes three styles.
Material: Fabric
Color: Tan and Cream
 SKU:MK-30-120",,,,,,,1,6,,,,,1,olivias400,olivias160,MK-30-120__45604.1508258995.jpg,MK-30-120__45604.1508258995.jpg,,,olivias800,MK-30-120__45604.1508258995.jpg
Ant Brass Fleur De Lis Napkin Ring,MK-30-107,"(All) Market Street Wholesale|Kitchen, Dining, & Tabletop","Fleur De Lis shaped napkin ring in an antique gold color
Measures
Material: Metal
Color: yellow
 SKU:MK-30-107",,,,,,,1,2,,,,,1,olivias400,olivias160,MK-30-107__33217.1508258995.jpg,MK-30-107__33217.1508258995.jpg,,,olivias800,MK-30-107__33217.1508258995.jpg
Burl Watering Can Napkin Ring,MK-30-105,"(All) Market Street Wholesale|Kitchen, Dining, & Tabletop","Watering Can shaped napkin ring in a distressed dark red and brown color
Measures
Material: Metal
Color: brown
 SKU:MK-30-105",,,,,,,1,2,,,,,1,olivias400,olivias160,MK-30-105__21234.1508258994.jpg,MK-30-105__21234.1508258994.jpg,,,olivias800,MK-30-105__21234.1508258994.jpg
Burl Moose Napkin Ring,MK-30-104,"(All) Market Street Wholesale|Kitchen, Dining, & Tabletop","Moose shaped napkin ring in a distressed dark red and brown color
Measures
Material: Metal
Color: brown
 SKU:MK-30-104",,,,,,,1,2,,,,,1,olivias400,olivias160,MK-30-104__46181.1508258994.jpg,MK-30-104__46181.1508258994.jpg,,,olivias800,MK-30-104__46181.1508258994.jpg
Ant Pewter Oval Napkin Ring,MK-30-102,"(All) Market Street Wholesale|Kitchen, Dining, & Tabletop","Round napkin ring with an antique pewter finish.
Measures
Material: Metal
Color: brown
 SKU:MK-30-102",,,,,,,1,2,,,,,1,olivias400,olivias160,MK-30-102__87922.1508258994.jpg,MK-30-102__87922.1508258994.jpg,,,olivias800,MK-30-102__87922.1508258994.jpg
Ant Pewter Round Napkin Ring,MK-30-101,"(All) Market Street Wholesale|Kitchen, Dining, & Tabletop","Round napkin ring with an antique bronze finish.
Measures
Material: Metal
Color: brown
 SKU:MK-30-101",,,,,,,1,2,,,,,1,olivias400,olivias160,MK-30-101__38229.1508258994.jpg,MK-30-101__38229.1508258994.jpg,,,olivias800,MK-30-101__38229.1508258994.jpg
Soap Dish Ant Brown,MK-30-408,(All) Market Street Wholesale|Market Street (All),"Primitive style antique brown wire soap dish with a wire basket exterior and a clear glass interior.
15""Hx4.5""Wx6""L
Material: Metal
Color: brown
 SKU:MK-30-408",,,,,,,1,10.5,,,,,1,olivias400,olivias160,MK-30-408__24368.1508259001.jpg,MK-30-408__24368.1508259001.jpg,,,olivias800,MK-30-408__24368.1508259001.jpg
"Beverage Napkin Holder: 5.5""Sq X 2.5""H",MK-30-200,(All) Market Street Wholesale|Market Street (All),"Vintage wire napkin holder for beverage size napkins.
5.5""SQx2.5""H
Material: Metal
Color: brown
 SKU:MK-30-200",,,,,,,1,4.5,,,,,1,olivias400,olivias160,MK-30-200__46141.1508258996.jpg,MK-30-200__46141.1508258996.jpg,,,olivias800,MK-30-200__46141.1508258996.jpg
"Luncheon Napkin Holder: 7""Sq X 3""H",MK-30-201,(All) Market Street Wholesale|Market Street (All),"Vintage wire napkin holder for regular square size napkins.
7""SQx3""H
Material: Metal
Color: brown
 SKU:MK-30-201",,,,,,,1,6.75,,,,,1,olivias400,olivias160,MK-30-201__07431.1508258996.jpg,MK-30-201__07431.1508258996.jpg,,,olivias800,MK-30-201__07431.1508258996.jpg
"Berry Vine Bowl: 3.5""H X 6""D",MK-50-015,(All) Market Street Wholesale|Market Street (All),"Salt and Pepper shakers featuring a red berry vine and star design. Part of the Berry Vine Collection. Other items shown in picture also available, sold seperatley.
3.5""Hx6""D
Material: Ceramic
Color: red & white
 SKU:MK-50-015",,,,,,,1,6.5,,,,,1,olivias400,olivias160,MK-50-015__11337.1508259016.jpg,MK-50-015__11337.1508259016.jpg,,,olivias800,MK-50-015__11337.1508259016.jpg
"Fresca Spoon Rest: 1.5""H X 8""L",MK-364-020,(All) Market Street Wholesale|Market Street (All),"Spoon Rest with a bright and colorful floral design. Part of the Fresca Collection. Other item shown in picture also available, sold seperatley.
1.5""Hx8""L
Material: Ceramic
Color: green
 SKU:MK-364-020",,,,,,,1,5.5,,,,,1,olivias400,olivias160,MK-364-020__75472.1508259016.jpg,MK-364-020__75472.1508259016.jpg,,,olivias800,MK-364-020__75472.1508259016.jpg
Luncheon Napkin Holderant Brown,MK-30-410,(All) Market Street Wholesale|Market Street (All),"Antique wire napkin holder with chicken décor
7.25""SQx2.5""H
Material: Metal
Color: brown
 SKU:MK-30-410",,,,,,,1,6,,,,,1,olivias400,olivias160,MK-30-410__01386.1508259001.jpg,MK-30-410__01386.1508259001.jpg,,,olivias800,MK-30-410__01386.1508259001.jpg
"Berry Vine Mug: 4.5""H X 4""D",MK-50-001,(All) Market Street Wholesale|Market Street (All),"Coffee mug featuring a red berry vine and star design. Part of the Berry Vine Collection. Other items shown in picture also available, sold seperatley.
4.5""Hx4""D
Material: Ceramic
Color: red & white
  SKU:MK-50-001",,,,,,,1,5.25,,,,,1,olivias400,olivias160,MK-50-001__48571.1508259016.jpg,MK-50-001__48571.1508259016.jpg,,,olivias800,MK-50-001__48571.1508259016.jpg
"Berry Vine Salad Plate: 8"" Dia",MK-50-005,(All) Market Street Wholesale|Market Street (All),"Round plate featuring a red berry vine and star design. Part of the Berry Vine Collection. Other items shown in picture also available, sold seperatley.
8""DIA
Material: Ceramic
Color: red & white
 SKU:MK-50-005",,,,,,,1,6,,,,,1,olivias400,olivias160,MK-50-005__78225.1508259016.jpg,MK-50-005__78225.1508259016.jpg,,,olivias800,MK-50-005__78225.1508259016.jpg
"Fresca Bowl: 3.5""H X 6""D",MK-364-015,(All) Market Street Wholesale|Market Street (All),"Bowl with a bright and colorful floral design. Part of the Fresca Collection. Other item shown in picture also available, sold seperatley.
3.5""Hx6""D
Material: Ceramic
Color: green
 SKU:MK-364-015",,,,,,,1,6,,,,,1,olivias400,olivias160,MK-364-015__31113.1508259016.jpg,MK-364-015__31113.1508259016.jpg,,,olivias800,MK-364-015__31113.1508259016.jpg
"Napkin Holder Ant Brown: 4""H X 5.5""W X 15""D",MK-30-409,(All) Market Street Wholesale|Market Street (All),"Country style wire rooster napkin holder in antique brown color.
4""Hx5.5""Wx15""D
Material: Metal
Color: brown
 SKU:MK-30-409",,,,,,,1,4.5,,,,,1,olivias400,olivias160,MK-30-409__96843.1508259001.jpg,MK-30-409__96843.1508259001.jpg,,,olivias800,MK-30-409__96843.1508259001.jpg
"Fresca Dessert Plate: 8"" Dia",MK-364-005,(All) Market Street Wholesale|Market Street (All),"Plate with a bright and colorful floral design. Part of the Fresca Collection. Other item shown in picture also available, sold seperatley.
8""DIA
Material: Ceramic
Color: green
 SKU:MK-364-005",,,,,,,1,6,,,,,1,olivias400,olivias160,MK-364-005__21996.1508259016.jpg,MK-364-005__21996.1508259016.jpg,,,olivias800,MK-364-005__21996.1508259016.jpg
"Beverage Napkin Holder: 5.5""Sq X 2.5""H",MK-30-202,(All) Market Street Wholesale|Market Street (All),"Vintage wire napkin holder for beverage size napkins.
5.5""SQx2.5""H
Material: Metal
Color: brown
 SKU:MK-30-202",,,,,,,1,4.5,,,,,1,olivias400,olivias160,MK-30-202__82003.1508258996.jpg,MK-30-202__82003.1508258996.jpg,,,olivias800,MK-30-202__82003.1508258996.jpg
"Fresca Mug: 3.5""H X 4.5""D",MK-364-001,(All) Market Street Wholesale|Market Street (All),"Coffee mug with a bright and colorful floral design. Part of the Fresca Collection. Other item shown in picture also available, sold seperatley.
3.5""Hx4.5""D
Material: Ceramic
Color: green
 SKU:MK-364-001",,,,,,,1,5.5,,,,,1,olivias400,olivias160,MK-364-001__89626.1508259016.jpg,MK-364-001__89626.1508259016.jpg,,,olivias800,MK-364-001__89626.1508259016.jpg
"Luncheon Napkin Holder: 7""Sq X 3""H",MK-30-203,(All) Market Street Wholesale|Market Street (All),"Vintage wire napkin holder for regular square size napkins.
7""SQx3""H
Material: Metal
Color: brown
 SKU:MK-30-203",,,,,,,1,6.75,,,,,1,olivias400,olivias160,MK-30-203__55102.1508258997.jpg,MK-30-203__55102.1508258997.jpg,,,olivias800,MK-30-203__55102.1508258997.jpg
"Beverage Napkin Holder Cream: 5.5""Sq X 1.75""H",MK-30-352,(All) Market Street Wholesale|Market Street (All),"Antique wire beverage napkin holder with a bird decor
5.5""SQx1.75""H
Material: Metal
Color: tan
 SKU:MK-30-352",,,,,,,1,4.5,,,,,1,olivias400,olivias160,MK-30-352__74524.1508258998.jpg,MK-30-352__74524.1508258998.jpg,,,olivias800,MK-30-352__74524.1508258998.jpg
"Metal Taper Cup, Black",IHF-1037,(All) Market Street Wholesale|Candle Holders|Market Street (All),"Vintage-style chamberstick with a ribbed pan.
Perfect for decorating with a primitive style.
Material: Metal
Vintage-style chamberstick with a ribbed pan.
Color: black
 SKU:IHF-1037",,,,,,,4,6.75,,,,,4,olivias400,olivias160,IHF-1037__05764.1508258733.jpg,IHF-1037__05764.1508258733.jpg,,,olivias800,IHF-1037__05764.1508258733.jpg
"Mason Jar Tealight Holder W/Metal Base: 6""",IHF-1038,(All) Market Street Wholesale|Candle Holders|Market Street (All),"Tealight holder styled as a vintage mason jar with a metal base and a metal lid with a star cutout.
Perfect for decorating with a primitive style.
6""
Plaid fabric ribbon accent.
Material: Glass
Tealight holder styled as a vintage mason jar with a metal base and a metal lid with a star cutout.
Color: clear
 SKU:IHF-1038",,,,,,,4,8,,,,,4,olivias400,olivias160,IHF-1038.jpg,IHF-1038.jpg,,,olivias800,IHF-1038.jpg
"Mason Jar Tealight Holder: 7.5""H",IHF-1039,(All) Market Street Wholesale|Candle Holders|Market Street (All),"Tealight holder styled as a vintage mason jar with a metal lid with a star cutout.
Perfect for decorating with a primitive style.
7.5""H
Plaid fabric ribbon accent.
Material: Glass
Tealight holder styled as a vintage mason jar with a metal lid with a star cutout.
Color: clear
 SKU:IHF-1039",,,,,,,4,11,,,,,4,olivias400,olivias160,IHF-1039.jpg,IHF-1039.jpg,,,olivias800,IHF-1039.jpg
"Mercury Glass Candlestick Antique: 7.5""H X 4""W",MK-15-011,(All) Market Street Wholesale|Candle Holders|Market Street (All),"Medium ""antique bronze colored"" mercury glass decorative candle holder.
7.5""Hx4""W
Material: Glass
Color: Black and Gold
 SKU:MK-15-011",,,,,,,1,8.5,,,,,1,olivias400,olivias160,MK-15-011__60373.1508258981.jpg,MK-15-011__60373.1508258981.jpg,,,olivias800,MK-15-011__60373.1508258981.jpg
"Mercury Glass Candlestick Antique: 9.25""H X 3.5""W",MK-15-012,(All) Market Street Wholesale|Candle Holders|Market Street (All),"Large ""antique bronze colored"" mercury glass decorative candle holder.
9.25""Hx3.5""W
Material: Glass
Color: Black and Gold
 SKU:MK-15-012",,,,,,,1,8.9,,,,,1,olivias400,olivias160,MK-15-012__88932.1508258981.jpg,MK-15-012__88932.1508258981.jpg,,,olivias800,MK-15-012__88932.1508258981.jpg
"Mercury Glass Pillar Holder: 7""H X 4"" Dia",MK-15-027,(All) Market Street Wholesale|Candle Holders|Market Street (All),"Mercury Glass Pillar Candle holder with a speckle silver finish.
7""Hx4""DIA
Material: Glass
Color: gray
 SKU:MK-15-027",,,,,,,1,8.4,,,,,1,olivias400,olivias160,MK-15-027__68041.1508258981.jpg,MK-15-027__68041.1508258981.jpg,,,olivias800,MK-15-027__68041.1508258981.jpg
"Lg Wood Pillar Candlestick: 10""H X 5"" Dia",MK-20-091,(All) Market Street Wholesale|Candle Holders|Market Street (All),"Large Wood Pillar candle holder with lime green distressed finish
10""Hx5""DIA
Material: Wood
Color: green
 SKU:MK-20-091",,,,,,,1,11,,,,,1,olivias400,olivias160,MK-20-091__26300.1508258987.jpg,MK-20-091__26300.1508258987.jpg,,,olivias800,MK-20-091__26300.1508258987.jpg
"Star Candle Pan: 3.5""H X 8.5""W",MK-30-070,(All) Market Street Wholesale|Candle Holders|Market Street (All),"Small primitive style star shaped candle holder with distressed metal finish. Other sizes shown in picture also available, sold seperatley. Candle not included.
3.5""Hx8.5""W
Material: Metal
Color: gray
 SKU:MK-30-070",,,,,,,1,5,,,,,1,olivias400,olivias160,MK-30-070__80680.1508258992.jpg,MK-30-070__80680.1508258992.jpg,,,olivias800,MK-30-070__80680.1508258992.jpg
"Tealight Holder W/Chain Cream: 4.5""H X 3""W",MK-30-358,(All) Market Street Wholesale|Candle Holders|Market Street (All),"Small birdcage candle holder with distressed cream finish. Other items shown in picture also available, sold seperatley. Candle not included.
4.5""Hx3""W
Material: Metal
Color: tan
 SKU:MK-30-358",,,,,,,1,4,,,,,1,olivias400,olivias160,MK-30-358__19646.1508258998.jpg,MK-30-358__19646.1508258998.jpg,,,olivias800,MK-30-358__19646.1508258998.jpg
"Hen Tealight Holder Cream: 4.75""H X 7""W X 3.5""D",MK-30-361,(All) Market Street Wholesale|Candle Holders|Market Street (All),"Antique cream sitting bird shaped tealight candle holder. Other items shown in picture also available, sold seperatley. Candle not included.
4.75""Hx7""Wx3.5""D
Material: Metal
Color: tan
 SKU:MK-30-361",,,,,,,1,5,,,,,1,olivias400,olivias160,MK-30-361__61377.1508258998.jpg,MK-30-361__61377.1508258998.jpg,,,olivias800,MK-30-361__61377.1508258998.jpg
"Birdhouse Tealight Holder Cream: 7""H X 6""W X 5.5""D",MK-30-362,(All) Market Street Wholesale|Candle Holders|Market Street (All),"Large Antique cream birdhouse shaped tealight candle holder. Candle not included.
7""Hx6""Wx5.5""D
Material: Metal
Color: tan
 SKU:MK-30-362",,,,,,,1,10,,,,,1,olivias400,olivias160,MK-30-362__62369.1508258999.jpg,MK-30-362__62369.1508258999.jpg,,,olivias800,MK-30-362__62369.1508258999.jpg
"Birdhouse Tealight Holder Cream: 7.5""H X 5""W X 4""D",MK-30-363,(All) Market Street Wholesale|Candle Holders|Market Street (All),"Antique cream birdhouse shaped tealight candle holder. Other items shown in picture also available, sold seperatley. Candle not included.
7.5""Hx5""Wx4""D
Material: Metal
Color: tan
 SKU:MK-30-363",,,,,,,1,7.5,,,,,1,olivias400,olivias160,MK-30-363__03263.1508258999.jpg,MK-30-363__03263.1508258999.jpg,,,olivias800,MK-30-363__03263.1508258999.jpg
"Glass Candlestick: 9""H X 4.5""W",MK-10-012,(All) Market Street Wholesale|Candle Holders|Market Street (All),"This candlestick is made of clear glass giving it a classic look for any room.
9""Hx4.5""W
Candle holder
Material: Glass
 SKU:MK-10-012",,,,,,,1,9,,,,,1,olivias400,olivias160,MK-10-012__64596.1508258977.jpg,MK-10-012__64596.1508258977.jpg,,,olivias800,MK-10-012__64596.1508258977.jpg
"Glass Chamberstick: 4""H X 6""W",MK-10-011,(All) Market Street Wholesale|Candle Holders|Market Street (All),"This chamberstick is made of clear glass giving it a classic look for any room.
4""Hx6""W
Candle holder
Material: Glass
 SKU:MK-10-011",,,,,,,1,8,,,,,1,olivias400,olivias160,MK-10-011__50875.1508258977.jpg,MK-10-011__50875.1508258977.jpg,,,olivias800,MK-10-011__50875.1508258977.jpg
"Owl Votive Holder: 2.75""H X 2.75""W",MK-15-050,(All) Market Street Wholesale|Candle Holders|Market Street (All),"Small Mercury Glass Votive Candle holder shaped as an adorable little owl.
2.75""Hx2.75""W
Material: Glass
Color: Gold and Black
 SKU:MK-15-050",,,,,,,1,4.5,,,,,1,olivias400,olivias160,MK-15-050__51563.1508258983.jpg,MK-15-050__51563.1508258983.jpg,,,olivias800,MK-15-050__51563.1508258983.jpg
"Lg. Mercury Glass Star Cndl Hldr, Red: 4""H X 3""W",MK-15-122,(All) Market Street Wholesale|Candle Holders|Market Street (All),"Large Star-shaped candle Mercury Glass holder featuring a beautiful red finish. Other sizes shown in picture also available, sold seperatley.
4""Hx3""W
Material: Glass
Color: red
 SKU:MK-15-122",,,,,,,1,4,,,,,1,olivias400,olivias160,MK-15-122__57450.1508258985.jpg,MK-15-122__57450.1508258985.jpg,,,olivias800,MK-15-122__57450.1508258985.jpg
"Mercury Glass Star Pillar Hldr, Red: 6""H X 8""W",MK-15-123,(All) Market Street Wholesale|Candle Holders|Market Street (All),"Extra Large Star-shaped Mercury Glass candle holder featuring a beautiful red finish. Other sizes shown in picture also available, sold seperatley.
6""Hx8""W
Material: Glass
Color: red
 SKU:MK-15-123",,,,,,,1,20,,,,,1,olivias400,olivias160,MK-15-123__45868.1508258985.jpg,MK-15-123__45868.1508258985.jpg,,,olivias800,MK-15-123__45868.1508258985.jpg
"Sm Wood Pillar Candlestick: 6""H X 4"" Dia",MK-20-090,(All) Market Street Wholesale|Candle Holders|Market Street (All),"Small Wood Pillar candle holder with lime green distressed finish
6""Hx4""DIA
Material: Wood
Color: green
 SKU:MK-20-090",,,,,,,1,7,,,,,1,olivias400,olivias160,MK-20-090__52625.1508258987.jpg,MK-20-090__52625.1508258987.jpg,,,olivias800,MK-20-090__52625.1508258987.jpg
"Hen Tealight Holder Ant Brown: 4.75""H X 7""W X 3.5""D",MK-30-405,(All) Market Street Wholesale|Candle Holders|Market Street (All),"Antique brown sitting bird shaped tealight candle holder. Other items shown in picture also available, sold seperatley. Candle not included.
4.75""Hx7""Wx3.5""D
Material: Metal
Color: brown
 SKU:MK-30-405",,,,,,,1,4,,,,,1,olivias400,olivias160,MK-30-405__81847.1508259000.jpg,MK-30-405__81847.1508259000.jpg,,,olivias800,MK-30-405__81847.1508259000.jpg
"Bird Tealight Holder Ant Brown: 5""H X 6""W X 2.5""D",MK-30-416,(All) Market Street Wholesale|Candle Holders|Market Street (All),"Antique brown standing bird shaped tealight candle holder. Other items shown in picture also available, sold seperatley. Candle not included.
5""Hx6""Wx2.5""D
Material: Metal
Color: brown
 SKU:MK-30-416",,,,,,,1,3,,,,,1,olivias400,olivias160,MK-30-416__37368.1508259002.jpg,MK-30-416__37368.1508259002.jpg,,,olivias800,MK-30-416__37368.1508259002.jpg
"Mercury Glass Candlestick Silver: 6""H X 3.5""W",MK-15-013,(All) Market Street Wholesale|Candle Holders|Market Street (All),"Small ""antique silver colored"" mercury glass decorative candle holder.
6""Hx3.5""W
Material: Glass
Color: gray
 SKU:MK-15-013",,,,,,,1,8.5,,,,,1,olivias400,olivias160,MK-15-013__41958.1508258981.jpg,MK-15-013__41958.1508258981.jpg,,,olivias800,MK-15-013__41958.1508258981.jpg
"Mercury Glass Candle Pan: 3.5""W",MK-15-100,(All) Market Street Wholesale|Candle Holders|Market Street (All),"Mercury Glass Candle pan shaped with ribbed decorative edges.
3.5""W
Material: Glass
Color: gray
 SKU:MK-15-100",,,,,,,1,3,,,,,1,olivias400,olivias160,MK-15-100__55917.1508258984.jpg,MK-15-100__55917.1508258984.jpg,,,olivias800,MK-15-100__55917.1508258984.jpg
"S/3 Mercury Glass Candle Pans: 4.5""W/ 6""W/ 7""W",MK-15-101,(All) Market Street Wholesale|Candle Holders|Market Street (All),"Set of 3 - Mercury Glass candle pans shaped with ribbed decorative edges.
4.5""W & 6""W & 7""W
Material: Glass
Color: gray
 SKU:MK-15-101",,,,,,,1,12,,,,,1,olivias400,olivias160,MK-15-101__18749.1508258984.jpg,MK-15-101__18749.1508258984.jpg,,,olivias800,MK-15-101__18749.1508258984.jpg
"Wood Candle Box Tree: 5.5""H X 5""W",MK-20-120,(All) Market Street Wholesale|Candle Holders|Market Street (All),"Candle Holder with Christmas tree cutout design in an antique brown distressed style.
5.5""Hx5""W
Material: Wood
Color: brown
 SKU:MK-20-120",,,,,,,1,12,,,,,1,olivias400,olivias160,MK-20-120__64891.1508258988.jpg,MK-20-120__64891.1508258988.jpg,,,olivias800,MK-20-120__64891.1508258988.jpg
"Sm Punched Candle Cup: 2.5""H X 5""W",MK-30-087,(All) Market Street Wholesale|Candle Holders|Market Street (All),"Small primitive style metal candle holder with distressed metal finish. Other sizes shown in picture also available, sold seperatley. Candle not included.
2.5""Hx5""W
Material: Metal
Color: brown
 SKU:MK-30-087",,,,,,,1,2.75,,,,,1,olivias400,olivias160,MK-30-087__99031.1508258993.jpg,MK-30-087__99031.1508258993.jpg,,,olivias800,MK-30-087__99031.1508258993.jpg
