Black Cat Folk Art Taper,,,"6"" LED battery operated timer taper is hand dipped in grungy buttermilk wax and features a folk art black cat.  It runs on 2 ""AA"" batteries, which are included.
Minimum of 3.",,,,,,,,,,,,,,Barncat400,Barncat160,"//cdn.shopify.com/s/files/1/2719/8656/products/black-cat-folk-art-taper-battery-operated-tapers-barn-mercantile_127_180x.jpg?v=1530138450 180w, //cdn.shopify.com/s/files/1/2719/8656/products/black-cat-folk-art-taper-battery-operated-tapers-barn-mercantile_127_370x.jpg?v=1530138450 370w, //cdn.shopify.com/s/files/1/2719/8656/products/black-cat-folk-art-taper-battery-operated-tapers-barn-mercantile_127_540x.jpg?v=1530138450 540w, //cdn.shopify.com/s/files/1/2719/8656/products/black-cat-folk-art-taper-battery-operated-tapers-barn-mercantile_127_740x.jpg?v=1530138450 740w, //cdn.shopify.com/s/files/1/2719/8656/products/black-cat-folk-art-taper-battery-operated-tapers-barn-mercantile_127_900x.jpg?v=1530138450 900w, //cdn.shopify.com/s/files/1/2719/8656/products/black-cat-folk-art-taper-battery-operated-tapers-barn-mercantile_127_1080x.jpg?v=1530138450 1080w, //cdn.shopify.com/s/files/1/2719/8656/products/black-cat-folk-art-taper-battery-operated-tapers-barn-mercantile_127_1296x.jpg?v=1530138450 1296w, //cdn.shopify.com/s/files/1/2719/8656/products/black-cat-folk-art-taper-battery-operated-tapers-barn-mercantile_127_1512x.jpg?v=1530138450 1512w, //cdn.shopify.com/s/files/1/2719/8656/products/black-cat-folk-art-taper-battery-operated-tapers-barn-mercantile_127_1728x.jpg?v=1530138450 1728w, //cdn.shopify.com/s/files/1/2719/8656/products/black-cat-folk-art-taper-battery-operated-tapers-barn-mercantile_127_2048x.jpg?v=1530138450 2048w",black-cat-folk-art-taper-battery-operated-tapers-barn-mercantile_127_2048x.jpg?v=1530138450 2048w,,,Barncat800,black-cat-folk-art-taper-battery-operated-tapers-barn-mercantile_127_2048x.jpg?v=1530138450 2048w,
Snow Angel Folk Art Taper,,,"6"" LED battery operated taper is hand dipped in grungy buttermilk wax and features a a snow angel design.  It runs on 2 ""AA"" batteries, which are included.
Minimum of 3.",,,,,,,,,,,,,,Barncat400,Barncat160,"//cdn.shopify.com/s/files/1/2719/8656/products/snow-angel-folk-art-taper-barn-cat-mercantile_449_180x.jpg?v=1530138465 180w, //cdn.shopify.com/s/files/1/2719/8656/products/snow-angel-folk-art-taper-barn-cat-mercantile_449_370x.jpg?v=1530138465 370w, //cdn.shopify.com/s/files/1/2719/8656/products/snow-angel-folk-art-taper-barn-cat-mercantile_449_540x.jpg?v=1530138465 540w, //cdn.shopify.com/s/files/1/2719/8656/products/snow-angel-folk-art-taper-barn-cat-mercantile_449_740x.jpg?v=1530138465 740w, //cdn.shopify.com/s/files/1/2719/8656/products/snow-angel-folk-art-taper-barn-cat-mercantile_449_900x.jpg?v=1530138465 900w, //cdn.shopify.com/s/files/1/2719/8656/products/snow-angel-folk-art-taper-barn-cat-mercantile_449_1080x.jpg?v=1530138465 1080w, //cdn.shopify.com/s/files/1/2719/8656/products/snow-angel-folk-art-taper-barn-cat-mercantile_449_1296x.jpg?v=1530138465 1296w, //cdn.shopify.com/s/files/1/2719/8656/products/snow-angel-folk-art-taper-barn-cat-mercantile_449_1512x.jpg?v=1530138465 1512w, //cdn.shopify.com/s/files/1/2719/8656/products/snow-angel-folk-art-taper-barn-cat-mercantile_449_1728x.jpg?v=1530138465 1728w, //cdn.shopify.com/s/files/1/2719/8656/products/snow-angel-folk-art-taper-barn-cat-mercantile_449_2048x.jpg?v=1530138465 2048w",snow-angel-folk-art-taper-barn-cat-mercantile_449_2048x.jpg?v=1530138465 2048w,,,Barncat800,snow-angel-folk-art-taper-barn-cat-mercantile_449_2048x.jpg?v=1530138465 2048w,
Tulips Folk Art Taper,,,"6"" LED battery operated timer taper is hand dipped in grungy buttermilk wax and features a pot of pink tulips.  It runs on 2 ""AA"" batteries, which are included.
Minimum of 3.",,,,,,,,,,,,,,Barncat400,Barncat160,"//cdn.shopify.com/s/files/1/2719/8656/products/tulips-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_270_180x.jpg?v=1530138468 180w, //cdn.shopify.com/s/files/1/2719/8656/products/tulips-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_270_370x.jpg?v=1530138468 370w, //cdn.shopify.com/s/files/1/2719/8656/products/tulips-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_270_540x.jpg?v=1530138468 540w, //cdn.shopify.com/s/files/1/2719/8656/products/tulips-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_270_740x.jpg?v=1530138468 740w, //cdn.shopify.com/s/files/1/2719/8656/products/tulips-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_270_900x.jpg?v=1530138468 900w, //cdn.shopify.com/s/files/1/2719/8656/products/tulips-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_270_1080x.jpg?v=1530138468 1080w, //cdn.shopify.com/s/files/1/2719/8656/products/tulips-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_270_1296x.jpg?v=1530138468 1296w, //cdn.shopify.com/s/files/1/2719/8656/products/tulips-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_270_1512x.jpg?v=1530138468 1512w, //cdn.shopify.com/s/files/1/2719/8656/products/tulips-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_270_1728x.jpg?v=1530138468 1728w, //cdn.shopify.com/s/files/1/2719/8656/products/tulips-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_270_2048x.jpg?v=1530138468 2048w",tulips-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_270_2048x.jpg?v=1530138468 2048w,,,Barncat800,tulips-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_270_2048x.jpg?v=1530138468 2048w,
The Keeping Room Botanical Blend,,,"The Keeping Room is one of our best selling scents and it's now available in this beautiful blend of natural color and mustard pods and botanicals.  A wax dipped mustard star is included to top your display.  Don't forget to purchase some Keeping Room fragrance oil to refresh as needed.  Each bag contains approximately 5 cups.
Minimum 3 bags per scent.",,,,,,,,,,,,,,Barncat400,Barncat160,"//cdn.shopify.com/s/files/1/2719/8656/products/the-keeping-room-botanical-blend-blends-barn-cat-mercantile-llc_443_180x.jpg?v=1532557512 180w, //cdn.shopify.com/s/files/1/2719/8656/products/the-keeping-room-botanical-blend-blends-barn-cat-mercantile-llc_443_370x.jpg?v=1532557512 370w, //cdn.shopify.com/s/files/1/2719/8656/products/the-keeping-room-botanical-blend-blends-barn-cat-mercantile-llc_443_540x.jpg?v=1532557512 540w, //cdn.shopify.com/s/files/1/2719/8656/products/the-keeping-room-botanical-blend-blends-barn-cat-mercantile-llc_443_740x.jpg?v=1532557512 740w, //cdn.shopify.com/s/files/1/2719/8656/products/the-keeping-room-botanical-blend-blends-barn-cat-mercantile-llc_443_900x.jpg?v=1532557512 900w, //cdn.shopify.com/s/files/1/2719/8656/products/the-keeping-room-botanical-blend-blends-barn-cat-mercantile-llc_443_1080x.jpg?v=1532557512 1080w, //cdn.shopify.com/s/files/1/2719/8656/products/the-keeping-room-botanical-blend-blends-barn-cat-mercantile-llc_443_1296x.jpg?v=1532557512 1296w, //cdn.shopify.com/s/files/1/2719/8656/products/the-keeping-room-botanical-blend-blends-barn-cat-mercantile-llc_443_1512x.jpg?v=1532557512 1512w, //cdn.shopify.com/s/files/1/2719/8656/products/the-keeping-room-botanical-blend-blends-barn-cat-mercantile-llc_443_1728x.jpg?v=1532557512 1728w, //cdn.shopify.com/s/files/1/2719/8656/products/the-keeping-room-botanical-blend-blends-barn-cat-mercantile-llc_443_2048x.jpg?v=1532557512 2048w",the-keeping-room-botanical-blend-blends-barn-cat-mercantile-llc_443_2048x.jpg?v=1532557512 2048w,,,Barncat800,the-keeping-room-botanical-blend-blends-barn-cat-mercantile-llc_443_2048x.jpg?v=1532557512 2048w,
Rabbit Folk Art Taper,,,"6"" LED battery operated taper is hand dipped in grungy buttermilk wax and features a folk art rabbit design.  It runs on 2 ""AA"" batteries, which are included. 
Minimum of 3.",,,,,,,,,,,,,,Barncat400,Barncat160,"//cdn.shopify.com/s/files/1/2719/8656/products/rabbit-folk-art-taper-barn-cat-mercantile_291_180x.jpg?v=1530138462 180w, //cdn.shopify.com/s/files/1/2719/8656/products/rabbit-folk-art-taper-barn-cat-mercantile_291_370x.jpg?v=1530138462 370w, //cdn.shopify.com/s/files/1/2719/8656/products/rabbit-folk-art-taper-barn-cat-mercantile_291_540x.jpg?v=1530138462 540w, //cdn.shopify.com/s/files/1/2719/8656/products/rabbit-folk-art-taper-barn-cat-mercantile_291_740x.jpg?v=1530138462 740w, //cdn.shopify.com/s/files/1/2719/8656/products/rabbit-folk-art-taper-barn-cat-mercantile_291_900x.jpg?v=1530138462 900w, //cdn.shopify.com/s/files/1/2719/8656/products/rabbit-folk-art-taper-barn-cat-mercantile_291_1080x.jpg?v=1530138462 1080w, //cdn.shopify.com/s/files/1/2719/8656/products/rabbit-folk-art-taper-barn-cat-mercantile_291_1296x.jpg?v=1530138462 1296w, //cdn.shopify.com/s/files/1/2719/8656/products/rabbit-folk-art-taper-barn-cat-mercantile_291_1512x.jpg?v=1530138462 1512w, //cdn.shopify.com/s/files/1/2719/8656/products/rabbit-folk-art-taper-barn-cat-mercantile_291_1728x.jpg?v=1530138462 1728w, //cdn.shopify.com/s/files/1/2719/8656/products/rabbit-folk-art-taper-barn-cat-mercantile_291_2048x.jpg?v=1530138462 2048w",rabbit-folk-art-taper-barn-cat-mercantile_291_2048x.jpg?v=1530138462 2048w,,,Barncat800,rabbit-folk-art-taper-barn-cat-mercantile_291_2048x.jpg?v=1530138462 2048w,
Spiced Cranberry Botanical Blends,,,"Topped with a grungy wax dipped wooden snowman, this mixture of natural and burgundy pods and botanicals is scented with a wonderul spicy cranberry fragrance.  Packaged in a cello bag, it contains approximately 5 cups.  Don't forget to purchase matching fragrance oil to refresh as needed.  
Minimum 3 bags per scent.",,,,,,,,,,,,,,Barncat400,Barncat160,"//cdn.shopify.com/s/files/1/2719/8656/products/spiced-cranberry-botanical-blends-barn-cat-mercantile-llc_136_180x.jpg?v=1532557510 180w, //cdn.shopify.com/s/files/1/2719/8656/products/spiced-cranberry-botanical-blends-barn-cat-mercantile-llc_136_370x.jpg?v=1532557510 370w, //cdn.shopify.com/s/files/1/2719/8656/products/spiced-cranberry-botanical-blends-barn-cat-mercantile-llc_136_540x.jpg?v=1532557510 540w, //cdn.shopify.com/s/files/1/2719/8656/products/spiced-cranberry-botanical-blends-barn-cat-mercantile-llc_136_740x.jpg?v=1532557510 740w, //cdn.shopify.com/s/files/1/2719/8656/products/spiced-cranberry-botanical-blends-barn-cat-mercantile-llc_136_900x.jpg?v=1532557510 900w, //cdn.shopify.com/s/files/1/2719/8656/products/spiced-cranberry-botanical-blends-barn-cat-mercantile-llc_136_1080x.jpg?v=1532557510 1080w, //cdn.shopify.com/s/files/1/2719/8656/products/spiced-cranberry-botanical-blends-barn-cat-mercantile-llc_136_1296x.jpg?v=1532557510 1296w, //cdn.shopify.com/s/files/1/2719/8656/products/spiced-cranberry-botanical-blends-barn-cat-mercantile-llc_136_1512x.jpg?v=1532557510 1512w, //cdn.shopify.com/s/files/1/2719/8656/products/spiced-cranberry-botanical-blends-barn-cat-mercantile-llc_136_1728x.jpg?v=1532557510 1728w, //cdn.shopify.com/s/files/1/2719/8656/products/spiced-cranberry-botanical-blends-barn-cat-mercantile-llc_136_2048x.jpg?v=1532557510 2048w",spiced-cranberry-botanical-blends-barn-cat-mercantile-llc_136_2048x.jpg?v=1532557510 2048w,,,Barncat800,spiced-cranberry-botanical-blends-barn-cat-mercantile-llc_136_2048x.jpg?v=1532557510 2048w,
Black Star Folk Art Taper,,,"6"" LED battery operated timer taper is hand dipped in grungy buttermilk wax and features a black folk art star.  It runs on 2 ""AA"" batteries, which are included.
Minimum of 3.",,,,,,,,,,,,,,Barncat400,Barncat160,"//cdn.shopify.com/s/files/1/2719/8656/products/black-star-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_446_180x.jpg?v=1530138450 180w, //cdn.shopify.com/s/files/1/2719/8656/products/black-star-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_446_370x.jpg?v=1530138450 370w, //cdn.shopify.com/s/files/1/2719/8656/products/black-star-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_446_540x.jpg?v=1530138450 540w, //cdn.shopify.com/s/files/1/2719/8656/products/black-star-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_446_740x.jpg?v=1530138450 740w, //cdn.shopify.com/s/files/1/2719/8656/products/black-star-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_446_900x.jpg?v=1530138450 900w, //cdn.shopify.com/s/files/1/2719/8656/products/black-star-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_446_1080x.jpg?v=1530138450 1080w, //cdn.shopify.com/s/files/1/2719/8656/products/black-star-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_446_1296x.jpg?v=1530138450 1296w, //cdn.shopify.com/s/files/1/2719/8656/products/black-star-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_446_1512x.jpg?v=1530138450 1512w, //cdn.shopify.com/s/files/1/2719/8656/products/black-star-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_446_1728x.jpg?v=1530138450 1728w, //cdn.shopify.com/s/files/1/2719/8656/products/black-star-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_446_2048x.jpg?v=1530138450 2048w",black-star-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_446_2048x.jpg?v=1530138450 2048w,,,Barncat800,black-star-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_446_2048x.jpg?v=1530138450 2048w,
Shamrock Folk Art Taper,,,"6"" LED battery operated timer taper is hand dipped in grungy buttermilk wax and features a folk art shamrock.  It runs on 2 ""AA"" batteries, which are included.
Minimum of 3.",,,,,,,,,,,,,,Barncat400,Barncat160,"//cdn.shopify.com/s/files/1/2719/8656/products/shamrock-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_641_180x.jpg?v=1530138464 180w, //cdn.shopify.com/s/files/1/2719/8656/products/shamrock-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_641_370x.jpg?v=1530138464 370w, //cdn.shopify.com/s/files/1/2719/8656/products/shamrock-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_641_540x.jpg?v=1530138464 540w, //cdn.shopify.com/s/files/1/2719/8656/products/shamrock-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_641_740x.jpg?v=1530138464 740w, //cdn.shopify.com/s/files/1/2719/8656/products/shamrock-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_641_900x.jpg?v=1530138464 900w, //cdn.shopify.com/s/files/1/2719/8656/products/shamrock-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_641_1080x.jpg?v=1530138464 1080w, //cdn.shopify.com/s/files/1/2719/8656/products/shamrock-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_641_1296x.jpg?v=1530138464 1296w, //cdn.shopify.com/s/files/1/2719/8656/products/shamrock-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_641_1512x.jpg?v=1530138464 1512w, //cdn.shopify.com/s/files/1/2719/8656/products/shamrock-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_641_1728x.jpg?v=1530138464 1728w, //cdn.shopify.com/s/files/1/2719/8656/products/shamrock-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_641_2048x.jpg?v=1530138464 2048w",shamrock-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_641_2048x.jpg?v=1530138464 2048w,,,Barncat800,shamrock-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_641_2048x.jpg?v=1530138464 2048w,
Pumpkin Folk Art Taper,,,"6"" LED battery operated timer taper is hand dipped in grungy buttermilk wax and features a folk art pumpkin.  It runs on 2 ""AA"" batteries, which are included.
Minimum of 3.",,,,,,,,,,,,,,Barncat400,Barncat160,"//cdn.shopify.com/s/files/1/2719/8656/products/pumpkin-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_586_180x.jpg?v=1530138461 180w, //cdn.shopify.com/s/files/1/2719/8656/products/pumpkin-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_586_370x.jpg?v=1530138461 370w, //cdn.shopify.com/s/files/1/2719/8656/products/pumpkin-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_586_540x.jpg?v=1530138461 540w, //cdn.shopify.com/s/files/1/2719/8656/products/pumpkin-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_586_740x.jpg?v=1530138461 740w, //cdn.shopify.com/s/files/1/2719/8656/products/pumpkin-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_586_900x.jpg?v=1530138461 900w, //cdn.shopify.com/s/files/1/2719/8656/products/pumpkin-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_586_1080x.jpg?v=1530138461 1080w, //cdn.shopify.com/s/files/1/2719/8656/products/pumpkin-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_586_1296x.jpg?v=1530138461 1296w, //cdn.shopify.com/s/files/1/2719/8656/products/pumpkin-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_586_1512x.jpg?v=1530138461 1512w, //cdn.shopify.com/s/files/1/2719/8656/products/pumpkin-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_586_1728x.jpg?v=1530138461 1728w, //cdn.shopify.com/s/files/1/2719/8656/products/pumpkin-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_586_2048x.jpg?v=1530138461 2048w",pumpkin-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_586_2048x.jpg?v=1530138461 2048w,,,Barncat800,pumpkin-folk-art-taper-battery-operated-tapers-barn-cat-mercantile_586_2048x.jpg?v=1530138461 2048w,
Scented Rose Hips,,,"Each lined window bag contains a generous 2 cups and is available in your choice of scents. These look great displayed in small bowls or surrounding a candle.  Please refer to scent list for more details.
Minimum of 3 per scent.",,,,,,,,,,,,,,Barncat400,Barncat160,"//cdn.shopify.com/s/files/1/2719/8656/products/scented-rose-hips-rosehips-barn-cat-mercantile-llc_831_180x.jpg?v=1532557506 180w, //cdn.shopify.com/s/files/1/2719/8656/products/scented-rose-hips-rosehips-barn-cat-mercantile-llc_831_370x.jpg?v=1532557506 370w, //cdn.shopify.com/s/files/1/2719/8656/products/scented-rose-hips-rosehips-barn-cat-mercantile-llc_831_540x.jpg?v=1532557506 540w, //cdn.shopify.com/s/files/1/2719/8656/products/scented-rose-hips-rosehips-barn-cat-mercantile-llc_831_740x.jpg?v=1532557506 740w, //cdn.shopify.com/s/files/1/2719/8656/products/scented-rose-hips-rosehips-barn-cat-mercantile-llc_831_900x.jpg?v=1532557506 900w, //cdn.shopify.com/s/files/1/2719/8656/products/scented-rose-hips-rosehips-barn-cat-mercantile-llc_831_1080x.jpg?v=1532557506 1080w, //cdn.shopify.com/s/files/1/2719/8656/products/scented-rose-hips-rosehips-barn-cat-mercantile-llc_831_1296x.jpg?v=1532557506 1296w, //cdn.shopify.com/s/files/1/2719/8656/products/scented-rose-hips-rosehips-barn-cat-mercantile-llc_831_1512x.jpg?v=1532557506 1512w, //cdn.shopify.com/s/files/1/2719/8656/products/scented-rose-hips-rosehips-barn-cat-mercantile-llc_831_1728x.jpg?v=1532557506 1728w, //cdn.shopify.com/s/files/1/2719/8656/products/scented-rose-hips-rosehips-barn-cat-mercantile-llc_831_2048x.jpg?v=1532557506 2048w",scented-rose-hips-rosehips-barn-cat-mercantile-llc_831_2048x.jpg?v=1532557506 2048w,,,Barncat800,scented-rose-hips-rosehips-barn-cat-mercantile-llc_831_2048x.jpg?v=1532557506 2048w,
