Medium Tracery Column Lamp,SM010,Floral,"5"" x 5"" x 10"" Our first lamp design, this cylinder lamp is mounted to a solid driftwood base and the shade is lined with a removable white light diffuser insert. 25 watt bulb is recommended … for interior use only.",Available 06/15/2018,,,,,,,$48.00/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/84cc8c8c9f1951a2695fe4836d64ea9ff20e9782.jpeg,84cc8c8c9f1951a2695fe4836d64ea9ff20e9782.jpeg,,,Beyond800,84cc8c8c9f1951a2695fe4836d64ea9ff20e9782.jpeg
Joy To The World,RND992,Holiday and Sacred,"18"" x 18"" Two angels in flight herald in the good news. A nice size for decorating that special wall for the holidays. Crafted by Roosevelt Beauchard.",,,,,,,,$34.00/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/b419d0d29a923f252b10d1629ab7291526729ca0.jpeg,b419d0d29a923f252b10d1629ab7291526729ca0.jpeg,,,Beyond800,b419d0d29a923f252b10d1629ab7291526729ca0.jpeg
Blossoming Flight 3-D,RND016,New for 2018!,"12 x 12, 3-D three flowers with hummingbird. Artist: Junior Ellesaint",Available 06/15/2018,,,,,,,$24.00/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/f54dd49ba10729ca886996ae63a376ac34071c29.jpeg,f54dd49ba10729ca886996ae63a376ac34071c29.jpeg,,,Beyond800,f54dd49ba10729ca886996ae63a376ac34071c29.jpeg
Braided Tree,RND020,New for 2018!,"23"" Tree of life with twisted trunk. Artist: Stanley Brutus",,,,,,,,$39.00/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/b554bcd4ae08952ef3749423fa443b3f69a85d2b.jpeg,b554bcd4ae08952ef3749423fa443b3f69a85d2b.jpeg,,,Beyond800,b554bcd4ae08952ef3749423fa443b3f69a85d2b.jpeg
Flying Seahorse,REC024,New for 2018!,16 x 27 Winged seahorse. Artist: Charles Luthern,,,,,,,,$55.00/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/c2e6a12dec6beb35613478c1f182858790027c05.jpeg,c2e6a12dec6beb35613478c1f182858790027c05.jpeg,,,Beyond800,c2e6a12dec6beb35613478c1f182858790027c05.jpeg
Four Birds Hook 3-D,SM023,New for 2018!,"11.5 x 8.5, Four birds with four hooks. Artist: Jean Claude Francois",Available 06/15/2018,,,,,,,$18.00/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/20cf2418dc4fa6450e0435a58e18ed7d0b9d76b7.jpeg,20cf2418dc4fa6450e0435a58e18ed7d0b9d76b7.jpeg,,,Beyond800,20cf2418dc4fa6450e0435a58e18ed7d0b9d76b7.jpeg
Gentle Breezes Tree,RND025,New for 2018!,23 x 23 Off center tree with three flying birds. Artist: Edward Didionne,,,,,,,,$39.00/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/225f1c2bdfb5fee427da266eb71a8a170affe5cf.jpeg,225f1c2bdfb5fee427da266eb71a8a170affe5cf.jpeg,,,Beyond800,225f1c2bdfb5fee427da266eb71a8a170affe5cf.jpeg
Heart of the Sun,RND022,New for 2018!,14 x 14 Round sun face with border of hearts. Artist: Nicolas Stanley,,,,,,,,$22.00/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/0ae80796731449d5b82271ee301ad7b359a8223c.jpeg,0ae80796731449d5b82271ee301ad7b359a8223c.jpeg,,,Beyond800,0ae80796731449d5b82271ee301ad7b359a8223c.jpeg
Painted Fish Mates,RND019,New for 2018!,"23"" Two painted pink fish with blue water. Artist: Seignon Gonzales",,,,,,,,$55.00/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/683388d28c2144a92e31c05a65a23d553ed6c372.jpeg,683388d28c2144a92e31c05a65a23d553ed6c372.jpeg,,,Beyond800,683388d28c2144a92e31c05a65a23d553ed6c372.jpeg
Painted Lucid Tree,RND021,New for 2018!,"23"" Painted tree with four birds. Artist: Seignon Gonzales",,,,,,,,$55.00/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/d1a68a596d17b6a06b5e6134cb53944b055095d6.jpeg,d1a68a596d17b6a06b5e6134cb53944b055095d6.jpeg,,,Beyond800,d1a68a596d17b6a06b5e6134cb53944b055095d6.jpeg
Painted Quiet Tree,RND015,New for 2018!,"Green painted 23"" tree with unpainted birds. Artist: Jean Rony Antoine.",,,,,,,,$55.00/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/c44bc97c2ee2f126bd649240ca130596bbbf6ca9.jpeg,c44bc97c2ee2f126bd649240ca130596bbbf6ca9.jpeg,,,Beyond800,c44bc97c2ee2f126bd649240ca130596bbbf6ca9.jpeg
Painted Sapphire Crab,SM028,New for 2018!,9 x 8 Small blue painted crab. Artist: Charles Luthern,,,,,,,,$15.00/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/617b4b7c3df072267b40b15e2a178da08cab3a6f.jpeg,617b4b7c3df072267b40b15e2a178da08cab3a6f.jpeg,,,Beyond800,617b4b7c3df072267b40b15e2a178da08cab3a6f.jpeg
Painted Serpentine Tree,REC017,New for 2018!,7 x 17 Painted veritical tree with flowers and birds. Artist: Stanley Brutus,,,,,,,,$36.00/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/00ddd7f316be7a5683ebbac046a5fd124d234f21.jpeg,00ddd7f316be7a5683ebbac046a5fd124d234f21.jpeg,,,Beyond800,00ddd7f316be7a5683ebbac046a5fd124d234f21.jpeg
