C-793 Chestnut/Golden Rod/Cactus Braided Rug,02-793,,,,,,,,,1,$8.81 ,,,,,1,Cap 400,Cap 160, //cdn.shopify.com/s/files/1/0640/1197/products/02-793_900x.jpg?v=1577824311 900w,02-793_900x.jpg?v=1577824311 900w,,,Cap 800,02-793_900x.jpg?v=1577824311 900w
RP-434 Nautical Wheel,66-434NW,,"27""x27"" Hand Stenciled Round Patch Rug
Artwork by Sandy Clough",,,,,,,1,$15.02 ,,,,,1,Cap 400,Cap 160, //cdn.shopify.com/s/files/1/0640/1197/products/66-434NW_900x.jpg?v=1571272945 900w,66-434NW_900x.jpg?v=1571272945 900w,,,Cap 800,66-434NW_900x.jpg?v=1571272945 900w
PM-OP-344 Farmhouse Sheep,48-344FS,,"13""x19"" Oval Printed Placemat
Artwork by Susan Burd",,,,,,,1,$5.53 ,,,,,1,Cap 400,Cap 160, //cdn.shopify.com/s/files/1/0640/1197/products/48-344FS_900x.jpg?v=1578002914 900w,48-344FS_900x.jpg?v=1578002914 900w,,,Cap 800,48-344FS_900x.jpg?v=1578002914 900w
C-081 Burgundy/Black/Sage Braided Rug,02-081,, ,,,,,,,1,$20.33 ,,,,,1,Cap 400,Cap 160, //cdn.shopify.com/s/files/1/0640/1197/products/02-081_bd09906a-3341-444c-ab7f-0d293c2cb20f_900x.jpg?v=1571272863 900w,02-081_bd09906a-3341-444c-ab7f-0d293c2cb20f_900x.jpg?v=1571272863 900w,,,Cap 800,02-081_bd09906a-3341-444c-ab7f-0d293c2cb20f_900x.jpg?v=1571272863 900w
MSPR-459 Pig Silhouette Trivet,80-459PS,,"10"" Round Printed Trivet with Pig Silhouette Design 
100% Natural Jute
Sold Individually 
Black, Natural and White ",,,,,,,1,$2.79 ,,,,,1,Cap 400,Cap 160, //cdn.shopify.com/s/files/1/0640/1197/products/sWNwglQw_900x.jpg?v=1646406630 900w,sWNwglQw_900x.jpg?v=1646406630 900w,,,Cap 800,sWNwglQw_900x.jpg?v=1646406630 900w
UBP-025 Holly Cardinal Large Utility Baskets,38-UBPLG025HC,,"Jute Braided Utility Baskets With Holly Cardinal Design
100% Natural Jute
Burgundy, Black and Sage
Art by Suzanne Pienta",,,,,,,1,$35.42 ,,,,,1,Cap 400,Cap 160, //cdn.shopify.com/s/files/1/0640/1197/products/38-UBPLG025HC_5d7618ef-dd69-4c80-a7de-7b2bdd99c963_900x.jpg?v=1671214937 900w,38-UBPLG025HC_5d7618ef-dd69-4c80-a7de-7b2bdd99c963_900x.jpg?v=1671214937 900w,,,Cap 800,38-UBPLG025HC_5d7618ef-dd69-4c80-a7de-7b2bdd99c963_900x.jpg?v=1671214937 900w
RP-025 Skates,66-025S,,"27""x27"" Hand Stenciled Round Patch Rug
Artwork by Susan Burd",,,,,,,1,$15.02 ,,,,,1,Cap 400,Cap 160, //cdn.shopify.com/s/files/1/0640/1197/products/66-025S_3efbafcb-22aa-46ac-9047-3c68c6604dd2_900x.jpg?v=1571272929 900w,66-025S_3efbafcb-22aa-46ac-9047-3c68c6604dd2_900x.jpg?v=1571272929 900w,,,Cap 800,66-025S_3efbafcb-22aa-46ac-9047-3c68c6604dd2_900x.jpg?v=1571272929 900w
LC-622 Tent Large Coaster,79-622T,,"7"" Round Hand Stenciled Coaster with Tent Design 
100% Natural Jute 
Extremely Durable
Gray and Burgundy",,,,,,,1,$2.73 ,,,,,1,Cap 400,Cap 160, //cdn.shopify.com/s/files/1/0640/1197/products/79-622T_900x.jpg?v=1578080099 900w,79-622T_900x.jpg?v=1578080099 900w,,,Cap 800,79-622T_900x.jpg?v=1578080099 900w
UBP 9-101 Beehive Craft-Spun Large Utility Baskets,38-UBPLG9101B,,"Jute Braided Utility Baskets With Beehive Design
100% Natural Jute
Yellow and Natural
Art by Suzanne Pienta",,,,,,,1,$35.42 ,,,,,1,Cap 400,Cap 160, //cdn.shopify.com/s/files/1/0640/1197/products/38-UBPLG9101B_6c8bc069-2c07-4366-bcc7-90d71fd48ad9_900x.jpg?v=1671222642 900w,38-UBPLG9101B_6c8bc069-2c07-4366-bcc7-90d71fd48ad9_900x.jpg?v=1671222642 900w,,,Cap 800,38-UBPLG9101B_6c8bc069-2c07-4366-bcc7-90d71fd48ad9_900x.jpg?v=1671222642 900w
LC-611 Scallop Large Coaster,79-611S,,"7"" Round Hand Stenciled Coaster with Scallop Design 
100% Natural Jute
Extremely Durable
Light Green and Cream
Art by Sandy Clough",,,,,,,1,$1.91 ,,,,,1,Cap 400,Cap 160, //cdn.shopify.com/s/files/1/0640/1197/products/79-611S_a503f585-6b22-4640-808d-492885050eed_900x.jpg?v=1637689806 900w,79-611S_a503f585-6b22-4640-808d-492885050eed_900x.jpg?v=1637689806 900w,,,Cap 800,79-611S_a503f585-6b22-4640-808d-492885050eed_900x.jpg?v=1637689806 900w
