CLASSIC COWGIRL SOMETHIN' FANCY TRUFFLE BAG,2,HOME|SHOP|CHOCOLATE TRUFFLES|CLASSIC COWGIRL SOMETHIN' FANCY TRUFFLE BAG,"A 1/4 Pound of your favorite Truffles in a pretty gift bag with one of our signature 'old west' buttons. Make it your way with one flavor, mixed flavor, spicy or mild! This is one of our most popular gift items!
If you would like to add a card or message with your order, please use the special order instructions as you check out. ",,,,,,,1,$10.25,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/119/388/quarter_pound_truffle_bag_larger_edited__61756.1519584284.jpg?c=2&imbypass=on,quarter_pound_truffle_bag_larger_edited__61756.1519584284.jpg?c=2&imbypass=on,,,cowgirl800,quarter_pound_truffle_bag_larger_edited__61756.1519584284.jpg?c=2&imbypass=on,
NOTHIN' FANCY ONE POUND CARAMELS,97,HOME|SHOP|CARAMELS|NOTHIN' FANCY ONE POUND CARAMELS,"It might be nothin' fancy but it's darn good eatin'! One pound of delicious caramels in a plastic bag. 6 select flavors to choose from. Our Classic Cowgirl flavors: Mild Sea Salt, Spicy Chipotle, and our Buckin' Hot Habanero. Plus our new flavors: Green Apple, Butterscotch, and Chocolate Sea Salt! Can't decide? Let us mix them all together for you. Have it your way with this 1 pound favorite!",,,,,,,1,$28.50,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/132/409/NothinFancy_Caramels_-_2_-_raw_burned__52483.1523808809.jpg?c=2&imbypass=on,NothinFancy_Caramels_-_2_-_raw_burned__52483.1523808809.jpg?c=2&imbypass=on,,,cowgirl800,NothinFancy_Caramels_-_2_-_raw_burned__52483.1523808809.jpg?c=2&imbypass=on,
CLASSIC COWGIRL NOTHIN' FANCY ONE POUND BAG,10,HOME|SHOP|CHOCOLATE TRUFFLES|CLASSIC COWGIRL NOTHIN' FANCY ONE POUND BAG,"It might be Nothin"" Fancy but it's real good eatin'! One Pound of assorted truffles. You decide - all spicy, all mild, or a mix of spicy and mild!
If you would like to add a card or message with your order, please use the special order instructions as you check out. ",,,,,,,1,$22.95,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/127/622/NF_-_6_burned__80752.1580317052.jpg?c=2&imbypass=on,NF_-_6_burned__80752.1580317052.jpg?c=2&imbypass=on,,,cowgirl800,NF_-_6_burned__80752.1580317052.jpg?c=2&imbypass=on,
WESTERN TRAIL LUNCHBOX TRUFFLES,69,HOME|SHOP|CHOCOLATE TRUFFLES|WESTERN TRAIL LUNCHBOX TRUFFLES,**Note - We no longer have the Mild Double Dark Chocolate Cocoa available. ** A perfect gift for your favorite cowgirl or boy… an old fashioned lunch tin with gift card …holds a 1⁄4 pound bag of spicy truffles and a 1⁄4 pound bag of mild and an 8 oz can of our famous cocoa.,,,,,,,1,$32.95,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/157/628/wagon_lunchbox_-_1_burned__61945.1580407043.jpg?c=2&imbypass=on,wagon_lunchbox_-_1_burned__61945.1580407043.jpg?c=2&imbypass=on,,,cowgirl800,wagon_lunchbox_-_1_burned__61945.1580407043.jpg?c=2&imbypass=on,
1/4 POUND FANCY CARAMEL BAG,95,HOME|SHOP|CARAMELS|1/4 POUND FANCY CARAMEL BAG,"1/4 pound of our delicious caramels in a pretty gift bag with one of our signature ""old west"" button.",,,,,,,1,$12.95,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/155/440/1_4_fancy_caramel_bags-web_burned__99473.1532299104.jpg?c=2&imbypass=on,1_4_fancy_caramel_bags-web_burned__99473.1532299104.jpg?c=2&imbypass=on,,,cowgirl800,1_4_fancy_caramel_bags-web_burned__99473.1532299104.jpg?c=2&imbypass=on,
SPICY AND MILD OLD FASHIONED HOT CHOCOLATE,31,HOME|SHOP|COCOA AND SAUCES|SPICY AND MILD OLD FASHIONED HOT CHOCOLATE,"** Mild Double Dark Chocolate Chunk Cocoa is Back ordered. Only the Spicy Hot and the Mild Mocha are available at this time. **
  Cowgirl Chocolates Old Fashioned Hot Cocoa is made the same way they used to make it back in the Old West. We take our rich cocoa powder and mix it with chunks of dark chocolate to ensure you’re gettin’ a thick and creamy cup every-time. Kick off your boots and set a spell to sip some darn tasty cocoa from days gone by with our Spicy Double Dark Chocolate Chunk (has just the right amount of heat), Mild Double Dark Chocolate Chunk (for the not so adventurous) and Mild Fancy Sippin’ Chocolate Mocha (with a shot of espresso for good measure).",,,,,,,1,$11.95,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/153/438/cocoa_trio_burned__20100.1532298525.jpg?c=2&imbypass=on,cocoa_trio_burned__20100.1532298525.jpg?c=2&imbypass=on,,,cowgirl800,cocoa_trio_burned__20100.1532298525.jpg?c=2&imbypass=on,
COWGIRL SIGNATURE 1/2 POUND CARAMEL GIFT WRAP,35,HOME|SHOP|CARAMELS|COWGIRL SIGNATURE 1/2 POUND CARAMEL GIFT WRAP,"Our fabulous caramels (you choose your favorite) all dressed up in our signature gift wrap, logo card, grosgrain ribbon, and western button.",,,,,,,1,$17.95,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/163/455/Signature_Wrap_w-caramel_2_-_1_burned_B__38119.1534102888.jpg?c=2&imbypass=on,Signature_Wrap_w-caramel_2_-_1_burned_B__38119.1534102888.jpg?c=2&imbypass=on,,,cowgirl800,Signature_Wrap_w-caramel_2_-_1_burned_B__38119.1534102888.jpg?c=2&imbypass=on,
CLASSIC COWGIRL 1/4 POUND GIFT BOX,109,HOME|SHOP|CHOCOLATE TRUFFLES|CLASSIC COWGIRL 1/4 POUND GIFT BOX,"New Packaging! Nine Truffles in a new red and black polka dot gift box with grosgrain ribbon, western style button, and classic gift card. All one flavor, or a mix of our classic flavors.
If you would like to add a card or message with your order, please use the special order instructions as you check out. ",,,,,,,1,$11.95,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/118/477/newbox_-_1__87873.1543087893.png?c=2&imbypass=on,newbox_-_1__87873.1543087893.png?c=2&imbypass=on,,,cowgirl800,newbox_-_1__87873.1543087893.png?c=2&imbypass=on,
CLASSIC COWGIRL FANCY WRAP TRUFFLE BOX - AVAILABLE IN 3 SIZES,33,HOME|SHOP|CHOCOLATE TRUFFLES|CLASSIC COWGIRL FANCY WRAP TRUFFLE BOX - AVAILABLE IN 3 SIZES,"Our 'Fancy Wrap 'gift box collection. You can choose from a collection of gorgeous metallic wrap for your Truffle Box. Choose from 1/3 Pound, 1/2 Pound, or 1 Pound. Each gift box is tied off with a ribbon and our signature gift card and one of our decorative western buttons. 
If you would like to add a card or message with your order, please use the special order instructions as you check out. ",,,,,,,1,$14.95,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/122/405/CGC_-_Fancy_Wraps_-_RAW_burned__87257.1523745876.jpg?c=2&imbypass=on,CGC_-_Fancy_Wraps_-_RAW_burned__87257.1523745876.jpg?c=2&imbypass=on,,,cowgirl800,CGC_-_Fancy_Wraps_-_RAW_burned__87257.1523745876.jpg?c=2&imbypass=on,
CARAMEL SIX SHOOTER GIFT BOX,144,HOME|SHOP|CARAMELS|CARAMEL SIX SHOOTER GIFT BOX,"Six Caramels in a clear gift box with a ribbon, gift card, and a western button! Choose from any one of our 6 delicious flavors! Or, if you can't pick just one flavor - we can mix them up for you!",,,,,,,1,$6.50,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/166/460/caramelsixshooter_-1_burned__60017.1536083470.jpg?c=2&imbypass=on,caramelsixshooter_-1_burned__60017.1536083470.jpg?c=2&imbypass=on,,,cowgirl800,caramelsixshooter_-1_burned__60017.1536083470.jpg?c=2&imbypass=on,
