"STAR RED BOX WITH LIGHT 7.25""",30234E,Home|Everyday Collection,"STAR RED BOX WITH LIGHT, 3"" X 7.25"" X 7.25""",,,,,"Product Dimensions: 3"" X 7.25"" X 7.25""",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/0/30234e.gif,30234e.gif,,,CraftOutlet800,30234e.gif
"P/M SNOWMAN 3 ASS'T 7""",31270,Home|Winter Collection,"P/M SNOWMAN 3 ASS'T 4X4X7""",,,,,"Product Dimensions: 4X4X7""",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/1/31270.jpeg,31270.jpeg,,,CraftOutlet800,31270.jpeg
"P/M TOP HAT SNOWMAN ""6",31274,Home|Winter Collection,P/M TOP HAT SNOWMAN 6 X 3.5 X6,,,,,Product Dimensions: 6 X 3.5 X6,,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/1/31274.jpeg,31274.jpeg,,,CraftOutlet800,31274.jpeg
FABRIC SNOWMAN BAG ORN 3 ASS'T,31279,Home|Winter Collection,FABRIC SNOWMAN BAG ORN 3 ASS'T,,,,,Product Dimensions: 6 X 8.75,,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/1/31279.jpeg,31279.jpeg,,,CraftOutlet800,31279.jpeg
"P/M BOARD JOY/MERRY XMAS BAG ORN 2 ASS'T 8""",31280,Home|Winter Collection,"P/M BOARD JOY/MERRY XMAS BAG ORN 2 ASS'T 8""",,,,,Product Dimensions: 8 X 8,,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/1/31280.jpeg,31280.jpeg,,,CraftOutlet800,31280.jpeg
WOODEN WINDOW FRAME SNWMN W/LED LIGHTS,20825,Home|Winter Collection,"Wooden Brown fadded holiday frame, includes LED lights that lights up around the frame. This frame has hand painted snowmans and the wording ""let it snow"" This frame would be a great display for your home or office and especially gicen as a gift.",,,,,"Product Dimensions: 12""LX9.5""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/images/catalog/product/placeholder/image.jpg,image.jpg,,,CraftOutlet800,image.jpg
"20832 wooden sleigh 20""",20832,Home,"Wooden/Metal Sleigh with pull hemp rope 20""X7""X6""H
2PC/$15.25EA
6PC/$14.25EA",,,,,"Product Dimensions: 20""X7""X6""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/images/catalog/product/placeholder/image.jpg,image.jpg,,,CraftOutlet800,image.jpg
"P/M SNOWMAN W/SNOWFLACK CUTOUT 16""",30609,Home|Winter Collection|Papier Mache & Resin Snowmen,"Another Customer Favorite, this large Papier Mache Snowman stands 16"" tall and has a hole in the back for a clip on light to be plugged in. Light emits from the large snowflake in his tummy! Works with item # 30452X.",,,,,"Product Dimensions: 16""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/0/30609_1.jpg,30609_1.jpg,,,CraftOutlet800,30609_1.jpg
"14"" Jackie",B10101,Home|Everyday Collection,"14"" Jackie",,,,,"Product Dimensions: 14""",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/1/b10101.jpeg,b10101.jpeg,,,CraftOutlet800,b10101.jpeg
"PINE TREE 27"" H",20298,Home|Winter Collection|Decorative Trees,"Large Pine Tree measures 27"" tall and has a brown wooden base on the bottom.",,,,,"Product Dimensions: 27""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/0/20298_1.jpg,20298_1.jpg,,,CraftOutlet800,20298_1.jpg
"SNOWMAN GREENISH/ GRAY BELL 2.5"" DIM",20309,Home|Tin Collection|Tin Bells,"This tin bell is perfect to add to the decorations on your tree. It has a green color with a hint of green in it. About 2.5"" in dimension, painted on the front of the bell is a little snow, a snowman with a black top hat & red scarf and a Christmas tree",,,,,"Product Dimensions: 2.5"" DIM",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/0/20309.jpg,20309.jpg,,,CraftOutlet800,20309.jpg
"WOODEN BUNNIES, 2 Ass't 16""H",20344,Home|Everyday Collection|Bunnies,,,,,,"Product Dimensions: 16""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/0/20344.jpg,20344.jpg,,,CraftOutlet800,20344.jpg
"XMAS MINI Wodn SIGNS 2"" 8 ASRT",20379,Home|Winter Collection|Wooden Snowmen,"Set of 8 Small Mini Signs made from wood. Each Sign has a small holiday message drawn on to the sign. Signs are approximately 3"" tall.",,,,,"Product Dimensions: 2""",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/0/20379_1.jpg,20379_1.jpg,,,CraftOutlet800,20379_1.jpg
"SNOWMAN PLATE 8"" W/ STAND",20439,Home|Winter Collection|Wooden Snowmen,,,,,,"Product Dimensions: 8""",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/0/20439.jpg,20439.jpg,,,CraftOutlet800,20439.jpg
SNOWMAN PLATE W/ STAND,20444,Home|Winter Collection|Wooden Snowmen,,,,,,Product Dimensions: N/A,,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/0/20444.jpg,20444.jpg,,,CraftOutlet800,20444.jpg
"20447 ANGEL, WOODEN",20202E,Home|Everyday Collection|Angels,"Made from Antiqued Wood, this 14"" Angel Ornament features tin bells, a tin ribbon and small wooden believe star.",,,,,"Product Dimensions: 7""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/0/20202E_1.jpg,20202E_1.jpg,,,CraftOutlet800,20202E_1.jpg
"WOODEN CHICKEN ORN, 6 ASSRT 4""L",20547,Home|Everyday Collection,"WOODEN CHICKEN ORN, 6 ASSRT 4""L",,,,,Product Dimensions: No,,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/0/20547.jpg,20547.jpg,,,CraftOutlet800,20547.jpg
