"20832 wooden sleigh 20""",20832,Home,"Wooden/Metal Sleigh with pull hemp rope 20""X7""X6""H
2PC/$15.25EA
6PC/$14.25EA",,,,,"Product Dimensions: 20""X7""X6""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/images/catalog/product/placeholder/image.jpg,,,,CraftOutlet800,image.jpg
"6.75"" P/M BROWN RABBIT",E30157,Home|Everyday Collection,"6.75"" P/M BROWN RABBIT",,,,,Product Dimensions: 6.75'',,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/3/e30157.jpg,e30157.jpg,,,CraftOutlet800,e30157.jpg
"CHENILE SNOWMAN W/GINGERBRAD 8""H",40183X,Home|Winter Collection|Fabric Snowmen,"THIS CUTE SNOWMAN MADE FROM TEA-DYED CHENILLE MEASURES 8"" TALL AND IS HOLDING A GINGERBREAD MAN IS HIS HAND. ALONG WITH HIS LITTLE BUDDY, HE'S READY TO SIT IN SOMEONE'S HOME!",,,,,"Product Dimensions: 8""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/0/40183_1.jpg,40183_1.jpg,,,CraftOutlet800,40183_1.jpg
"1.35"" STAR SHAPE CUTOUT",T0109,Home|Decorative Tin Collection|Star Accessories,"2.25"" STAR CUTOUT",,,,,"Product Dimensions: 1""L X 1.5""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/T/0/T0109.jpg,T0109.jpg,,,CraftOutlet800,T0109.jpg
"1.5"" DIM. AMERICANA BELL",T80467,Home|Decorative Tin Collection|Tin Bells,AMERICANA BELL. MEASURES AT 1.5 INCHES WIDE.,,,,,"Product Dimensions: 1.5"" DIM.",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/T/8/T80467.jpg,T80467.jpg,,,CraftOutlet800,T80467.jpg
"15""H BIRDHOUSE, RUSTIC",T0201,Home|Decorative Tin Collection|Star Accessories,"Small Rusty Birdhouse is great to decorate with. Measures approximately 1.5"" tall",,,,,"Product Dimensions: 1.75""L X 1""W X 2""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/T/0/T0201.jpg,T0201.jpg,,,CraftOutlet800,T0201.jpg
"10"" GALVANIZED MILK CAN WITH HANDLES",T1417,Home|Decorative Tin Collection,"10"" GALVANIZED MILK CAN WITH HANDLES",,,,,"Product Dimensions: 10.5""X8""X10""",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/1/t1417.jpg,t1417.jpg,,,CraftOutlet800,t1417.jpg
"10"" JTD. TAN BEAR WITH OUT DRESS",B10125,Home|Everyday Collection|Teddy Bears & Stuffed Animals,10 in. JTD. TAN BEAR WITH OUT DRESS,,,,,"Product Dimensions: 10""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/B/1/B10125.jpg,B10125.jpg,,,CraftOutlet800,B10125.jpg
"FABRIC CHRISTMAS ANGEL 10""",X50345,Home|Winter Collection,"FABRIC CHRISTMAS ANGEL 10""",,,,,Product Dimensions: 10,,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/x/5/x50345.jpg,x50345.jpg,,,CraftOutlet800,x50345.jpg
"WOODEN DESK 10""",E20125,Home|Everyday Collection,HAND CARGVED WOOEN BLACK AND BROWN DESK,,,,,"Product Dimensions: 10X4.5""",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/2/e20125.jpg,e20125.jpg,,,CraftOutlet800,e20125.jpg
"H X10""W RUSTIC USA SIGN",T0301,Home|Decorative Tin Collection|Star Ornaments,"This 10"" Rusty USA sign is great for hanging with any Americana display and has a tin wire to hang from.",,,,,"Product Dimensions: 10""W X 5.5""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/T/0/T0301.jpg,T0301.jpg,,,CraftOutlet800,T0301.jpg
"10.5"" GALVANIZED BASEN",T1448,Home|Decorative Tin Collection,Galvanized Pitcher Basen with two side handles. Great to use as a decor piece with candles decorative rocks towels etc.,,,,,"Product Dimensions: 10.5 DIM X 4.75""",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/1/t1448_1.jpeg,t1448_1.jpeg,,,CraftOutlet800,t1448_1.jpeg
"PAPIER MACHE ABNER SNOW FLAKE 10.5""",X50069,Home|Winter Collection,"PAPIER MACHE ABNER TALL SNOW FLAKE 10.5""",,,,,"Product Dimensions: 10.5""",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/x/5/x50069.jpg,x50069.jpg,,,CraftOutlet800,x50069.jpg
"10.5"" P/M ANGEL W/STAR",30740,Home|Everyday Collection|Angels,"Our Angel with Star is made from Papier Mache and stands 10.5"" tall. In her hand is a tin star wand and she also wears a pair of tin wings!",,,,,"Product Dimensions: 10.5""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/0/30740.jpg,30740.jpg,,,CraftOutlet800,30740.jpg
"P/M LIGHTED SNWMN W/STAR CUTOUT AND RED BEANIE 17""",31173A,Home|Winter Collection,"LIGHTED OFF WHITE PAPIER MACHE SNOWMAN WITH A RED BEANIE ON. THIS SNOWMAN HAS STICK FIGURE ARMS WITH MINI PINE TREE BRANCHES AND PINE CONES ON ITS SIDE AND A GREEN AND WHITE FABRIC SCARF. ON THE FRONT OF THE STOMACH IT HAS STAR CUTOUTS.

***LIGHT CORD SOCKET INCLUDED***",,,,,Product Dimensions: 16 X 9.5 X 17H,,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/1/31173a.jpeg,31173a.jpeg,,,CraftOutlet800,31173a.jpeg
"10in. TERESA,TRUE TREASURE",B10111,Home|Everyday Collection|Teddy Bears & Stuffed Animals,8in. Teresa,,,,,"Product Dimensions: 10""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/B/1/B10111.jpg,B10111.jpg,,,CraftOutlet800,B10111.jpg
"11"" TIN BUCKET W/CHALK BOARD SILVER",T1465,Home|Decorative Tin Collection,"TALL 11"" SILVER TIN BUCKET. THIS BUCKET HAS A VERY UNIQUE DESIGN AND TWO SIDE HANDLES. THIS BUCKET HAS A CHALK BOARD ON THE FRONT TO PERSONALIZED YOUR BUCKET. GREAT FOR TALL FLORAL ARRANGEMENTS OR ANY DECOR TO SPICE UP YOUR HOME OR OFFICE

DIMS: 6"" DIM X 11""H",,,,,"Product Dimensions: 6"" DIM X 11""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/1/t1465.jpeg,t1465.jpeg,,,CraftOutlet800,t1465.jpeg
"11"" GALV TIN BUCKET W/CHALK BOARD",T1463,Home|Decorative Tin Collection,"TALL 11"" GALVANIZED TIN BUCKET. THIS BUCKET HAS A VERY UNIQUE DESIGN AND TWO SIDE HANDLES. THIS BUCKET HAS A CHALK BOARD ON THE FRONT TO PERSONALIZED YOUR BUCKET. GREAT FOR TALL FLORAL ARRANGEMENTS OR ANY DECOR TO SPICE UP YOUR HOME OR OFFICE

DIMS: 6"" DIM X 11""H",,,,,"Product Dimensions: 6"" DIM X 11""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/1/t1463-1464.jpeg,t1463-1464.jpeg,,,CraftOutlet800,t1463-1464.jpeg
"11"" 2 TONE FLOWER BUCKET",T0151,Home|Decorative Tin Collection|Buckets & Pails,This 2 tone Flower Bucket with Rusty and Galvanized Tin.,,,,,"Product Dimensions: 7""L X 5.75""W X 11""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/T/0/T0151.jpg,T0151.jpg,,,CraftOutlet800,T0151.jpg
"11"" H PILLOW",31337,Home|Fall & Halloween Collection,"Hand stitched 11” Fabric Pillow with the wording “Happy Halloween” and three hand stitched pumpkins on the front, this pillow also has moons and stars stitched on the front. This pillow will be great for a throw pillow on a sofa or chair.

PRODUCT DIMS: 20""X5.5""X11""",,,,,"Product Dimensions: 20""X5.5""X11""",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/1/31337.jpg,31337.jpg,,,CraftOutlet800,31337.jpg
"11"" Scarecrow w/ star patch",50525F,Home|Fall & Halloween Collection|Scarecrows,"11"" Fabric Scarecrow with straw-hat and Star Patch",,,,,"Product Dimensions: 11""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/0/50525F.jpg,50525F.jpg,,,CraftOutlet800,50525F.jpg
"11"" TIN STAR ON STICK, RUSTIC",T0664,Home|Decorative Tin Collection|Decorative Barn & Wall Stars,RUSTIC TIN STAR ON STICK. MEASURES AT 11'' TALL.,,,,,"Product Dimensions: 11""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/0/t0664_1.jpg,t0664_1.jpg,,,CraftOutlet800,t0664_1.jpg
"11""X9"" TIN PIG EGG HOLDER, BLACK",T0774,Home|Decorative Tin Collection|Small Containers,"This Pig Basket is perfect for holding those Easter eggs in! It measures 11"" x 9"" and is made from tin wire. It latches closed to be sure nothing falls out!",,,,,"Product Dimensions: 11""L X 9""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/T/0/T0774.jpg,T0774.jpg,,,CraftOutlet800,T0774.jpg
"11.5"" GALV TIN MILK CAN",T1477,Home|Decorative Tin Collection,"11.5"" TIN GALVANIZED MILK CAN WITH LARGE OPENING AND TWO SIDE HANDLES .. GREAT FOR FLORAL ARRANGEMENTS OR A DECOR PIECE TO SPICE UP YOUR HOME OR OFFICE

DIMS: 6""X6""X11.5",,,,,"Product Dimensions: 4""X4X""X7.25",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/1/t1476-1477-1478_1.jpg,t1476-1477-1478_1.jpg,,,CraftOutlet800,t1476-1477-1478_1.jpg
