Budweiser Bottle c1918,LGAB01,,"Brand: Anheuser-Busch
Sign Material: Tin
Sign Size: 9.5W x 35.5""H
Print Layout:
Made In: U.S.A",,,,,"Sign Size: 9.5W x 35.5""H",,1,$40.00 ,,,,,1,desperate400,desperate160,https://cdn11.bigcommerce.com/s-25lxi3ukii/images/stencil/1280x1280/products/112/2728/anheuser-busch-budweiser-bottle-c1918__36882.1643316181.jpg?c=1,anheuser-busch-budweiser-bottle-c1918__36882.1643316181.jpg?c=1,,,desperate800,anheuser-busch-budweiser-bottle-c1918__36882.1643316181.jpg?c=1
COKE- Delicious 5 Cents,LGCC01,,"PRODUCT DESCRIPTION
28""W x 17.5""H",,,,,,,1,$40.00 ,,,,,1,desperate400,desperate160,https://cdn11.bigcommerce.com/s-25lxi3ukii/images/stencil/1280x1280/products/113/2747/coca-cola-coke-delicious-5-cents__49540.1641006346.jpg?c=1,coca-cola-coke-delicious-5-cents__49540.1641006346.jpg?c=1,,,desperate800,coca-cola-coke-delicious-5-cents__49540.1641006346.jpg?c=1
COKE Bottle c1923,LGCC02,,"PRODUCT DESCRIPTION
11""W x 35.5""H",,,,,,,1,$40.00 ,,,,,1,desperate400,desperate160,https://cdn11.bigcommerce.com/s-25lxi3ukii/images/stencil/1280x1280/products/114/2729/coca-cola-coke-bottle-c1923__80127.1641006346.jpg?c=1,coca-cola-coke-bottle-c1923__80127.1641006346.jpg?c=1,,,desperate800,coca-cola-coke-bottle-c1923__80127.1641006346.jpg?c=1
"State Route Sign ""Route 66""",LGDE01,,"PRODUCT DESCRIPTION
23""W x 22.5",,,,,,,1,$40.00 ,,,,,1,desperate400,desperate160,https://cdn11.bigcommerce.com/s-25lxi3ukii/images/stencil/1280x1280/products/115/2302/route-66__76166.1641006346.jpg?c=1,route-66__76166.1641006346.jpg?c=1,,,desperate800,route-66__76166.1641006346.jpg?c=1
"Dad's Garage ""If I Can't Fix It""",LGDE02,,"PRODUCT DESCRIPTION
23""W x 20.5""H",,,,,,,1,$40.00 ,,,,,1,desperate400,desperate160,https://cdn11.bigcommerce.com/s-25lxi3ukii/images/stencil/1280x1280/products/116/2151/dads-garage__12826.1641006346.jpg?c=1,dads-garage__12826.1641006346.jpg?c=1,,,desperate800,dads-garage__12826.1641006346.jpg?c=1
Man Cave - What Happens,LGDE04,,"PRODUCT DESCRIPTION
19""W x 27""H",,,,,,,1,$40.00 ,,,,,1,desperate400,desperate160,https://cdn11.bigcommerce.com/s-25lxi3ukii/images/stencil/1280x1280/products/118/2413/man-cave-what-happens__23576.1641006346.jpg?c=1,man-cave-what-happens__23576.1641006346.jpg?c=1,,,desperate800,man-cave-what-happens__23576.1641006346.jpg?c=1
Chevy Pistons Die Cut,LGGM01,,"PRODUCT DESCRIPTION
24.5""W x 23.5""H",,,,,,,1,$40.00 ,,,,,1,desperate400,desperate160,https://cdn11.bigcommerce.com/s-25lxi3ukii/images/stencil/1280x1280/products/120/2594/general-motors-chevy-pistons-die-cut__20802.1641006346.jpg?c=1,general-motors-chevy-pistons-die-cut__20802.1641006346.jpg?c=1,,,desperate800,general-motors-chevy-pistons-die-cut__20802.1641006346.jpg?c=1
Mopar Hemi,LGHEMI,,"PRODUCT DESCRIPTION
17.5"" Dia",,,,,,,1,$40.00 ,,,,,1,desperate400,desperate160,https://cdn11.bigcommerce.com/s-25lxi3ukii/images/stencil/1280x1280/products/121/2820/mopar-mopar-hemi__20972.1641006346.jpg?c=1,mopar-mopar-hemi__20972.1641006346.jpg?c=1,,,desperate800,mopar-mopar-hemi__20972.1641006346.jpg?c=1
Texaco - 1926 Logo,LGTX01,,"PRODUCT DESCRIPTION
23.5""W x 23.5""H",,,,,,,1,$40.00 ,,,,,1,desperate400,desperate160,https://cdn11.bigcommerce.com/s-25lxi3ukii/images/stencil/1280x1280/products/124/2652/texaco-texaco-1926-logo__38437.1641006346.jpg?c=1,texaco-texaco-1926-logo__38437.1641006346.jpg?c=1,,,desperate800,texaco-texaco-1926-logo__38437.1641006346.jpg?c=1
Cora the Cow,LGCORA,,"PRODUCT DESCRIPTION
23.5""W x 17""H",,,,,,,1,$40.00 ,,,,,1,desperate400,desperate160,https://cdn11.bigcommerce.com/s-25lxi3ukii/images/stencil/1280x1280/products/1096/1887/cora-the-cow__26838.1641006387.jpg?c=1,cora-the-cow__26838.1641006387.jpg?c=1,,,desperate800,cora-the-cow__26838.1641006387.jpg?c=1
Farmall - Equip Used Here,1278,,"PRODUCT DESCRIPTION
16""W x 12.5""H",,,,,,,1,$13.95 ,,,,,1,desperate400,desperate160,https://cdn11.bigcommerce.com/s-25lxi3ukii/images/stencil/1280x1280/products/409/2536/farmall-farmall-equip-used-here__19693.1641006358.jpg?c=1,farmall-farmall-equip-used-here__19693.1641006358.jpg?c=1,,,desperate800,farmall-farmall-equip-used-here__19693.1641006358.jpg?c=1
Moore - Make me Wine,1280,,"PRODUCT DESCRIPTION
16""W x 12.5""H",,,,,,,1,$13.95 ,,,,,1,desperate400,desperate160,https://cdn11.bigcommerce.com/s-25lxi3ukii/images/stencil/1280x1280/products/411/2319/moore-make-me-wine__05398.1641006358.jpg?c=1,moore-make-me-wine__05398.1641006358.jpg?c=1,,,desperate800,moore-make-me-wine__05398.1641006358.jpg?c=1
Texaco - Lubricates Perfectly,1444,,"PRODUCT DESCRIPTION
12.5""Wx16""H",,,,,,,1,$13.95 ,,,,,1,desperate400,desperate160,https://cdn11.bigcommerce.com/s-25lxi3ukii/images/stencil/1280x1280/products/462/2538/texaco-texaco-lubricates-perfectly__63830.1641006361.jpg?c=1,texaco-texaco-lubricates-perfectly__63830.1641006361.jpg?c=1,,,desperate800,texaco-texaco-lubricates-perfectly__63830.1641006361.jpg?c=1
COKE - Always 5 Cents,1471,,"PRODUCT DESCRIPTION
16""Wx12.5""H",,,,,,,1,$13.95 ,,,,,1,desperate400,desperate160,https://cdn11.bigcommerce.com/s-25lxi3ukii/images/stencil/1280x1280/products/466/2047/coca-cola-coke-always-5-cents__51749.1641006361.jpg?c=1,coca-cola-coke-always-5-cents__51749.1641006361.jpg?c=1,,,desperate800,coca-cola-coke-always-5-cents__51749.1641006361.jpg?c=1
Schonberg - Fish Naked,1488,,"PRODUCT DESCRIPTION
12.5""Wx16""H",,,,,,,1,$13.95 ,,,,,1,desperate400,desperate160,https://cdn11.bigcommerce.com/s-25lxi3ukii/images/stencil/1280x1280/products/471/2393/schonberg-fish-naked__02307.1641006361.jpg?c=1,schonberg-fish-naked__02307.1641006361.jpg?c=1,,,desperate800,schonberg-fish-naked__02307.1641006361.jpg?c=1
Schonberg - Happens in Garage,1496,,"PRODUCT DESCRIPTION
12.5""Wx16""H",,,,,,,1,$13.95 ,,,,,1,desperate400,desperate160,https://cdn11.bigcommerce.com/s-25lxi3ukii/images/stencil/1280x1280/products/474/1992/schonberg-happens-in-garage__47119.1641006361.jpg?c=1,schonberg-happens-in-garage__47119.1641006361.jpg?c=1,,,desperate800,schonberg-happens-in-garage__47119.1641006361.jpg?c=1
COKE - Delicious 5 Cents,1619,,"PRODUCT DESCRIPTION
12.5""Wx16""H",,,,,,,1,$13.95 ,,,,,1,desperate400,desperate160,https://cdn11.bigcommerce.com/s-25lxi3ukii/images/stencil/1280x1280/products/510/2767/coca-cola-coke-delicious-5-cents__73618.1641006363.jpg?c=1,coca-cola-coke-delicious-5-cents__73618.1641006363.jpg?c=1,,,desperate800,coca-cola-coke-delicious-5-cents__73618.1641006363.jpg?c=1
Man Cave - Diamond Plate,1701,,"PRODUCT DESCRIPTION
16""Wx12.5""H",,,,,,,1,$13.95 ,,,,,1,desperate400,desperate160,https://cdn11.bigcommerce.com/s-25lxi3ukii/images/stencil/1280x1280/products/557/2180/man-cave-diamond-plate__62585.1641006364.jpg?c=1,man-cave-diamond-plate__62585.1641006364.jpg?c=1,,,desperate800,man-cave-diamond-plate__62585.1641006364.jpg?c=1
My Garage - ROD,1761,,"PRODUCT DESCRIPTION
16""Wx12.5""H",,,,,,,1,$13.95 ,,,,,1,desperate400,desperate160,https://cdn11.bigcommerce.com/s-25lxi3ukii/images/stencil/1280x1280/products/599/2714/my-garage-rod__41025.1641006366.jpg?c=1,my-garage-rod__41025.1641006366.jpg?c=1,,,desperate800,my-garage-rod__41025.1641006366.jpg?c=1
Real Heroes Police,1780,,"PRODUCT DESCRIPTION
12.5""Wx16""H",,,,,,,1,$13.95 ,,,,,1,desperate400,desperate160,https://cdn11.bigcommerce.com/s-25lxi3ukii/images/stencil/1280x1280/products/610/2618/real-heroes-police__23805.1641006367.jpg?c=1,real-heroes-police__23805.1641006367.jpg?c=1,,,desperate800,real-heroes-police__23805.1641006367.jpg?c=1
Action Comics No1 Cover,1965,,"PRODUCT DESCRIPTION
12.5""Wx16""H",,,,,,,1,$13.95 ,,,,,1,desperate400,desperate160,https://cdn11.bigcommerce.com/s-25lxi3ukii/images/stencil/1280x1280/products/715/2601/dc-comics-action-comics-no1-cover__33837.1641006371.jpg?c=1,dc-comics-action-comics-no1-cover__33837.1641006371.jpg?c=1,,,desperate800,dc-comics-action-comics-no1-cover__33837.1641006371.jpg?c=1
Batman No1 Cover,1966,,"PRODUCT DESCRIPTION
12.5""Wx16""H",,,,,,,1,$13.95 ,,,,,1,desperate400,desperate160,https://cdn11.bigcommerce.com/s-25lxi3ukii/images/stencil/1280x1280/products/716/2369/dc-comics-batman-no1-cover__92206.1641006371.jpg?c=1,dc-comics-batman-no1-cover__92206.1641006371.jpg?c=1,,,desperate800,dc-comics-batman-no1-cover__92206.1641006371.jpg?c=1
Dependable Service,1991,,"PRODUCT DESCRIPTION
12.5""Wx16""H",,,,,,,1,$13.95 ,,,,,1,desperate400,desperate160,https://cdn11.bigcommerce.com/s-25lxi3ukii/images/stencil/1280x1280/products/731/2512/dependable-service__84498.1641006372.jpg?c=1,dependable-service__84498.1641006372.jpg?c=1,,,desperate800,dependable-service__84498.1641006372.jpg?c=1
Lucky Lady Motor Oil,1998,,"PRODUCT DESCRIPTION
12.5""Wx16""H",,,,,,,1,$13.95 ,,,,,1,desperate400,desperate160,https://cdn11.bigcommerce.com/s-25lxi3ukii/images/stencil/1280x1280/products/737/2113/lucky-lady-motor-oil__78477.1641006372.jpg?c=1,lucky-lady-motor-oil__78477.1641006372.jpg?c=1,,,desperate800,lucky-lady-motor-oil__78477.1641006372.jpg?c=1
