AUTUMN GRAIN BIRD 3 ASST. (LARGE),40115,,,In stock,,,,Resin; 3½-4½”W x 3½-4”H x 2½”D,,6,$2.50 ,12,$2.25 ,,,6,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/0/40115.JPG,40115.JPG,,,Hannas800,40115.JPG
AUTUMN PATCH PUMPKIN TABLETOP 3 ASST. (LARGE),41165,,,In stock,$8.25 ,,,Resin; 5”H x 7½”Dia,,3,$10.75 ,,,,,3,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41165.JPG,41165.JPG,,,Hannas800,41165.JPG
AUTUMN PATCH PUMPKIN TABLETOP 3 ASST. (SMALL),41163,,,In stock,,,,Resin; 2¾”H x 4¼”Dia,,6,$3.50 ,12,$3.25 ,36,$3.00 ,6,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41163.JPG,41163.JPG,,,Hannas800,41163.JPG
BARN PLAID GNOME WHEELBARROW TABLETOP 2 ASST.,41115,,,In stock,$8.90 ,,,Fabric/Wood; 9”W x 14”H x 4½”D,,4,$11.50 ,,,,,4,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41115_1.JPG,41115_1.JPG,,,Hannas800,41115_1.JPG
BARN PLAID SCARECROW BUTTON LEG 2 ASST.,41105,,,,,,,Fabric; 5½”W x 18-21”H x 4¼”D,,NA,$7.25 ,12,$6.75 ,24,$6.25 ,NA,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41105.JPG,41105.JPG,,,Hannas800,41105.JPG
BARN PLAID SCARECROW DANGLE LEG 2 ASST.,41104,,,In stock,,,,Fabric; 9”W x 21-23”H x 5¾”D,,6,$11.25 ,12,$10.75 ,24,$10.25 ,6,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41104.JPG,41104.JPG,,,Hannas800,41104.JPG
BARN PLAID SCARECROW DOOR KNOB HANGER 2 ASST.,41113,,,In stock,,,,Fabric; 7¾”W x 12-16”H x 5”D,,6,$5.90 ,12,$5.50 ,,,6,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41113.JPG,41113.JPG,,,Hannas800,41113.JPG
BARN PLAID SCARECROW ORNAMENT 2 ASST.,41114,,,In stock,,,,Fabric; 7¾”W x 12-16”H x 5”D,,12,$2.35 ,48,$2.10 ,,,12,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41114.JPG,41114.JPG,,,Hannas800,41114.JPG
BARN PLAID SCARECROW SITTER 2 ASST.,41106,,,In stock,,,,Fabric; 7”W x 11½-13½”H x 7”D,,6,$7.90 ,12,$7.50 ,24,$7.10 ,6,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41106.JPG,41106.JPG,,,Hannas800,41106.JPG
BARN PLAID SCARECROW STANDER 2 ASST. (LARGE),41101,,,In stock,$19.25 ,,,Stretch Legs! Over 2 Feet Tall! Fabric; 12¾”W x 32-36”H x 7½”D,,6,$24.50 ,,,,,6,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41101.JPG,41101.JPG,,,Hannas800,41101.JPG
BARN PLAID SCARECROW STANDER 2 ASST. (MEDIUM),41102,,,In stock,,,,Fabric; 7¾”W x 20-22”H x 5¾”D,,6,$12.50 ,12,$12.00 ,24,$11.50 ,6,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41102.JPG,41102.JPG,,,Hannas800,41102.JPG
BARN PLAID SCARECROW STANDER 2 ASST. (SMALL),41103,,,In stock,,,,Fabric; 9”W x 16½-18½”H x 5½”D,,6,$10.90 ,12,$10.40 ,24,$9.90 ,6,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41103.JPG,41103.JPG,,,Hannas800,41103.JPG
BEADED BANNER HOME PUMPKIN TABLETOP 2 ASST.,41137,,,In stock,,,,Wood; 10½”W x 10”H x 2”D,,6,$9.90 ,12,$9.50 ,24,$9.10 ,6,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41137.JPG,41137.JPG,,,Hannas800,41137.JPG
BLESS OUR HOME HARVEST HANGER,41032,,,,,,,Wood; 14¾”W x 12¼”H x ¼”D and Hanger: 3”H,,NA,$7.50 ,12,$7.25 ,24,$6.90 ,NA,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41032.JPG,41032.JPG,,,Hannas800,41032.JPG
CLASSIC GREEN PICKUP TRUCK,60818,,,In stock,$24.50 ,,,Metal/Wood; 18¼”W x 9”H x 7½”D,,4,$31.00 ,,,,,4,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/6/0/60818.JPG,60818.JPG,,,Hannas800,60818.JPG
CLASSIC HARVEST TRUCK COOKIE JAR,41142,,,In stock,$10.50 ,,,Ceramic; 9½”W x 8”H x 5½”D,,2,$13.25 ,,,,,2,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41142.JPG,41142.JPG,,,Hannas800,41142.JPG
CLASSIC RED TRUCK TABLETOP,28372,,,In stock,$24.50 ,,,Metal; 16¼”W x 9¼”H x 7¼”D,,4,$31.00 ,,,,,4,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/2/8/28372_12.jpg,28372_12.jpg,,,Hannas800,28372_12.jpg
CORN PUMPKIN TABLETOP 3 ASST.,41052,,,,,,,Resin; 3½-6”H x 4¼-5”Dia,,NA,$4.00 ,12,$3.70 ,,,NA,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41052.JPG,41052.JPG,,,Hannas800,41052.JPG
ETCHED BLOCK 3 ASST.,60798,,,In stock,,,,Double Sided! Wood; 11¾”W x 4¾”H x 1¾”D.,,6,$8.90 ,12,$8.50 ,24,$8.10 ,6,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/6/0/60798_2.JPG,60798_2.JPG,,,Hannas800,60798_2.JPG
FALL COLORS PUMPKIN CROCK 3 ASST. (MEDIUM),40258,,,In stock,,,,Ceramic; 5¾”H x 6½”Dia.,,6,$7.50 ,12,$7.00 ,,,6,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/0/40258.JPG_1_2nd.gif,40258.JPG_1_2nd.gif,,,Hannas800,40258.JPG_1_2nd.gif
FALL FLOWER FOX ORNAMENT 2 ASST.,40195,,,,,,,Fabric; 3¼”W x 5”H x 2½”D.,,NA,$2.50 ,48,$2.25 ,,,NA,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/0/40195.JPG_2nd.gif,40195.JPG_2nd.gif,,,Hannas800,40195.JPG_2nd.gif
FALL HARVEST SQUASH TABLETOP 5-PIECE SET,41181,,,In stock,$5.90 ,,,Resin; 1½3½”H x 1½-2”D,,2,$7.90 ,,,,,2,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41181.JPG,41181.JPG,,,Hannas800,41181.JPG
FALL HARVEST TAG HANGER 2 ASST.,41192,,,In stock,,,,Wood/Rope; 7½”W x 19½”H x ½”D,,6,$5.50 ,12,$5.25 ,24,$5.00 ,6,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41192.JPG,41192.JPG,,,Hannas800,41192.JPG
FALL HARVEST TRUCK WITH LED TABLETOP 2 ASST.,41140,,,In stock,,,,Lights Up! Requires 2 LR44 Batteries; Not Included. Ceramic; 4”W x 3”H x 2”D,,12,$3.00 ,48,$2.75 ,,,12,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41140.JPG,41140.JPG,,,Hannas800,41140.JPG
FALL LEAVES METAL BANNER,41011,,,,,,,Over 5 Feet Wide! Metal/Rope; Leaf: 5-8½”W x 8¾-10”H x ¼”D and Banner: 66”W,,NA,$14.50 ,,,,,NA,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41011.JPG,41011.JPG,,,Hannas800,41011.JPG
FALL PICNIC PLAID PUMPKIN SIGN 2 ASST.,41036,,,In stock,,,,Wood; 10”W x 10”H x ¾”D,,4,$6.75 ,8,$6.25 ,,,4,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41036.JPG,41036.JPG,,,Hannas800,41036.JPG
FALL PUMPKIN ROPE BLOCK TABLETOP,41172,,,,,,,Wood/Rope; 20½”W x 4½”H x 1”D,,NA,$5.75 ,8,$5.50 ,,,NA,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41172.JPG,41172.JPG,,,Hannas800,41172.JPG
FALL SUNFLOWER GNOME TABLETOP 3 ASST.,41056,,,,,,,Resin; 3¼”W x 6”H x 2¾”D,,NA,$3.50 ,12,$3.25 ,36,$3.00 ,NA,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41056.JPG,41056.JPG,,,Hannas800,41056.JPG
FARM HARVEST SCARECROW BUTTON LEG 2 ASST.,41111,,,In stock,,,,Fabric; 6¼”W x 19”H x 4”D,,6,$6.90 ,12,$6.50 ,,,6,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41111.JPG,41111.JPG,,,Hannas800,41111.JPG
FARM HARVEST SCARECROW DANGLE LEG 2 ASST.,41110,,,In stock,,,,Fabric; 8¼”W x 31”H x 6”D,,6,$12.90 ,12,$12.40 ,24,$11.90 ,6,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41110.JPG,41110.JPG,,,Hannas800,41110.JPG
FARM HARVEST SCARECROW ORNAMENT 2 ASST.,41112,,,,,,,Fabric; 3½”W x 8”H x 2”D,,NA,$2.35 ,48,$2.10 ,,,NA,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41112.JPG,41112.JPG,,,Hannas800,41112.JPG
FARM HARVEST SCARECROW STANDER 2 ASST.,41108,,,In stock,,,,Fabric; 9¼”W x 25”H x 5¼”D,,6,$12.25 ,12,$11.75 ,24,$11.25 ,6,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41108.JPG,41108.JPG,,,Hannas800,41108.JPG
FARM HARVEST SCARECROW STANDER 2 ASST. (LARGE),41107,,,,$19.50 ,,,3 Feet Tall! Fabric; 11”W x 36”H x 7¼”D,,NA,$24.50 ,,,,,NA,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41107.JPG,41107.JPG,,,Hannas800,41107.JPG
FARM HARVEST SCARECROW TABLETOP 2 ASST.,41109,,,In stock,,,,Fabric; 7¼”W x 17”H x 4½”D,,6,$7.50 ,12,$6.75 ,,,6,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41109.JPG,41109.JPG,,,Hannas800,41109.JPG
FARM TRUCK SERVING TRAY 2-PIECE SET,49112,,,In stock,$21.50 ,,,Set Pricing! Metal; L: 15¾”W x 10½”H x 2”D and S: 13¼”W x 10½”H x 2”D,,4,$28.50 ,,,,,4,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/9/49112.jpg_1_2nd.gif,49112.jpg_1_2nd.gif,,,Hannas800,49112.jpg_1_2nd.gif
FARM TRUCK WIRE PUMPKIN HANGER,41016,,,,$13.90 ,,,Metal; 21¼”W x 15”H x 2”D,,NA,$17.50 ,,,,,NA,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41016.JPG,41016.JPG,,,Hannas800,41016.JPG
GATHER BLESSED THANKFUL BLUE PUMPKIN 3 ASST.,41162,,,In stock,,,,Resin; 2¼”H x 2½”Dia,,12,$1.90 ,24,$1.80 ,72,$1.60 ,12,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41162.JPG,41162.JPG,,,Hannas800,41162.JPG
GATHER FALL THANKS HOME BLOCK TABLETOP 3 ASST.,41173,,,In stock,,,,Wood; 5¼”W x 5¾”H x 1”D,,6,$2.50 ,12,$2.25 ,24,$2.00 ,6,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41173.JPG,41173.JPG,,,Hannas800,41173.JPG
GATHER PUMPKIN WAGON HANGER,41029,,,In stock,,,,Wood; 12”W x 12”H x 1”D,,6,$8.90 ,12,$8.50 ,24,$8.10 ,6,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41029.JPG,41029.JPG,,,Hannas800,41029.JPG
GATHER WALL PLAQUE,69107,,,In stock,$16.90 ,,,Over 3' Tall! Metal; 12”W x 47”H x ½”D,,4,$22.50 ,,,,,4,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/6/9/69107_2.jpg,69107_2.jpg,,,Hannas800,69107_2.jpg
GREEN WOOD BIG LEAF PUMPKIN,41048,,,,,,,Wood; 10¼”W x 12”H x 4¼”D,,NA,$10.25 ,8,$9.75 ,,,NA,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41048.JPG,41048.JPG,,,Hannas800,41048.JPG
HAPPY FALL GATHER PLAID BLOCK 3 ASST.,41080,,,In stock,,,,Wood/Enamel Metal; 11½”W x 4½”H x 1½”D,,6,$9.25 ,12,$8.75 ,24,$8.25 ,6,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41080.JPG,41080.JPG,,,Hannas800,41080.JPG
HAPPY GATHER WELCOME PUMPKIN TABLETOP WITH LED 3 ASST.,41131,,,In stock,,,,Lights Up! Requires 2 AA Batteries; Not Included. Wood; 8¼”W x 5¾”H x 1”D,,6,$5.00 ,12,$4.75 ,24,$4.50 ,6,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/e2b8ef9986fc9649155533682f67ba62/4/1/41131.JPG,41131.JPG,,,Hannas800,41131.JPG
