STINA GLASS PENDANT LIGHT - LRG - CLEAR,6866-0,,"For easy, casual style our Stina Lighting Collection is the quintessential option. Trails of small bubbles encased in hand blown glass cast a picture-perfect glow in the kitchen, bath or entryway. Hardwired style. 6’ cloth wrapped cord. For a classic look use a 40 watt Vintage Edison Light Bulb, not included. Maximum 40 watts.",,,,,"length: 7.50 in
width: 7.50 in
height: 13.25 in
diameter: 7.50 in
cube: 0.02
weight: 4.20 lb
material: glass",,1,$60.00 ,,,,,1,homart400,homart160,../images/products/ZOOM/desktop/6866-0.jpg,6866-0.jpg,,,homart800,6866-0.jpg
CAMBRIDGE CHANDELIER - TAPER - BLACK,6905-2,,,,,,,"weight: 4.40 lb
size (us): 18x30
material: iron",,1,$58.00 ,4,$53.90 ,,,1,homart400,homart160,../images/products/ZOOM/desktop/6905-2.JPG,6905-2.JPG,,,homart800,6905-2.JPG
SEA URCHIN PORCELAIN RND BOX - SM,7028-3,,This ocean-inspired Ceramic box is ideal for safe keeping of jewelry and other small treasures offering nautical flare.,,,,,"length: 5 in
width: 5 in
height: 2 in
diameter: 5 in
cube: 0.00
weight: 0.28 lb
material: porcelain",,4,$18.00 ,16,$16.80 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7028-3.JPG,7028-3.JPG,,,homart800,7028-3.JPG
"PERU CACHEPOT, CERAMIC - SM - WHITE",7105-6,,The undulating embossed patterns of this ceramic cachepot is reminiscent of South American craft and the creamy white glaze adds just the right amount of sheen to bring the pattern to life.,,,,,"length: 5 in
width: 5 in
height: 4.50 in
weight: 1.20 lb
size (us): 5x5x4.5
material: ceramic",,4,$8.00 ,16,$7.40 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7105-6.JPG,7105-6.JPG,,,homart800,7105-6.JPG
"PERU CACHEPOT, CERAMIC - LRG - WHITE",7106-6,,The undulating embossed patterns of this ceramic cachepot is reminiscent of South American craft and the creamy white glaze adds just the right amount of sheen to bring the pattern to life.,,,,,"length: 7 in
width: 7 in
height: 6.50 in
weight: 2.60 lb
size (us): 7x7x6.5
material: ceramic",,4,$16.00 ,16,$14.80 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7106-6.JPG,7106-6.JPG,,,homart800,7106-6.JPG
"PERU VASE, CERAMIC - WHITE",7107-6,,The undulating embossed patterns of this ceramic vase is reminiscent of South American craft and the creamy white glaze adds just the right amount of sheen to bring the pattern to life.,,,,,"length: 5.50 in
width: 5.50 in
height: 10 in
weight: 3 lb
size (us): 5.5x5.5x10
material: ceramic",,4,$16.00 ,16,$14.80 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7107-6.JPG,7107-6.JPG,,,homart800,7107-6.JPG
"CUSCO CACHEPOT, CERAMIC - SM - DARK BROWN & WHITE",7108-0,,Matte grey clay flaunts a shiny black glazed pattern in this South American inspired ceramic cachepot.,,,,,"length: 2.50 in
width: 2.50 in
height: 3 in
weight: 0.40 lb
size (us): 2.5x2.5x3
material: ceramic",,6,$3.00 ,24,$2.70 ,,,6,homart400,homart160,../images/products/ZOOM/desktop/7108-0.JPG,7108-0.JPG,,,homart800,7108-0.JPG
"CUSCO CACHEPOT, CERAMIC - MED - DARK BROWN & WHITE",7109-0,,Matte grey clay flaunts a shiny black glazed pattern in this South American inspired ceramic cachepot.,,,,,"length: 5 in
width: 5 in
height: 5 in
weight: 1.60 lb
size (us): 5x5x5
material: ceramic",,4,$8.00 ,16,$7.40 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7109-0.JPG,7109-0.JPG,,,homart800,7109-0.JPG
"CUSCO CACHEPOT, CERAMIC - LRG - DARK BROWN & WHITE",7110-0,,Matte grey clay flaunts a shiny black glazed pattern in this South American inspired ceramic cachepot.,,,,,"length: 6 in
width: 6 in
height: 6 in
weight: 2.60 lb
size (us): 6x6x6
material: ceramic",,4,$14.00 ,16,$13.00 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7110-0.JPG,7110-0.JPG,,,homart800,7110-0.JPG
RIBBED CLAY POT & SAUCER - SM - BROWN CLAY,7113-13,,"Warm, earth toned clay is pressed into molds to preserve a ribbed exterior texture and wide top band. Reminiscent of Basque earthenware this simple pot with incredible posture fits a 2.5"" drop in growers pots perfectly and come with it's own saucer.",,,,,"length: 3 in
width: 3 in
height: 2.50 in
weight: 0.40 lb
size (us): 3x3x2.5
material: ceramic",,12,$4.00 ,48,$3.70 ,,,12,homart400,homart160,../images/products/ZOOM/desktop/7113-13.JPG,7113-13.JPG,,,homart800,7113-13.JPG
