#4090 Eye Glass Holder,4090,Accessories,#4090. Use several of these eye glass holders around the house to hold your glasses so that you’ll always know where they are! 8 1/2″ T,,,,,,,,,,,,,,jjwire400,jjwire160,https://jjwire.biz/wp-content/uploads/2014/04/4090-8.jpg,4090-8.jpg,,,jjwire800,4090-8.jpg
Coil Jar Candle & Lid Holder- DK PEWTER,DP1688,Candle Accessories,Dark Pewter Large Jar Candle and Lid Holder,,,,,,,,,,,,,,jjwire400,jjwire160,https://jjwire.biz/wp-content/uploads/2013/07/dp1688.jpg,dp1688.jpg,,,jjwire800,dp1688.jpg
Three Pillar Candle Holder-BRONZE,BR106,Candle Accessories,,,,,,,,,,,,,,,jjwire400,jjwire160,https://jjwire.biz/wp-content/uploads/2013/07/br106.jpg,br106.jpg,,,jjwire800,br106.jpg
Necklace Rack-BRONZE,BR779,Accessories,,,,,,,,,,,,,,,jjwire400,jjwire160,https://jjwire.biz/wp-content/uploads/2013/07/br779.jpg,br779.jpg,,,jjwire800,br779.jpg
Springfield Metal Round Wire Rack 4194,4194,Accessories,Multi-purpose black round wire rack.  11″W x 3 1/2″T.,,,,,,,,,,,,,,jjwire400,jjwire160,https://jjwire.biz/wp-content/uploads/2014/04/41941.jpg,41941.jpg,,,jjwire800,41941.jpg
Medium Victorian Easel – BRONZE,BR1934,Easels,,,,,,,,,,,,,,,jjwire400,jjwire160,https://jjwire.biz/wp-content/uploads/2013/07/br1934.jpg,br1934.jpg,,,jjwire800,br1934.jpg
Triple Pillar Candle Holder – BRONZE,BR658,Candle Accessories,,,,,,,,,,,,,,,jjwire400,jjwire160,https://jjwire.biz/wp-content/uploads/2013/07/br658.jpg,br658.jpg,,,jjwire800,br658.jpg
Five Pillar Candle Holder-BRONZE,BR105,Candle Accessories,,,,,,,,,,,,,,,jjwire400,jjwire160,https://jjwire.biz/wp-content/uploads/2013/07/br105.jpg,br105.jpg,,,jjwire800,br105.jpg
Ornate Square 4 Plate Holder-DK PEWTER,DP1910,Bowl Holders,,,,,,,,,,,,,,,jjwire400,jjwire160,https://jjwire.biz/wp-content/uploads/2013/07/dp1910.jpg,dp1910.jpg,,,jjwire800,dp1910.jpg
Victorian Floor Easel – BRONZE,BR1935,Easels,Bronze Victorian Floor Easel – 43 3/4″ T (OS) – Must order a minimum of two.,,,,,,,,,,,,,,jjwire400,jjwire160,https://jjwire.biz/wp-content/uploads/2013/07/br1935.jpg,br1935.jpg,,,jjwire800,br1935.jpg
Fleur De Lis Horiz. 3 Plate Holder-DK PEWTER,JDP651,Bowl Holders,Fleur De Lis Horizontal Three Plate Holder – Dark Pewter – 44 1/2″ L,,,,,,,,,,,,,,jjwire400,jjwire160,https://jjwire.biz/wp-content/uploads/2013/07/dp6511.jpg,dp6511.jpg,,,jjwire800,dp6511.jpg
Wholesale Fleur De Lis Horiz. 3 Plate Holder-DK PEWTER,DP651,Bowl Holders,Fleur De Lis Horizontal Plate Holder for Three Plates – 44 1/2″ L (OS) – Must order a minimum of three for wholesale purchases.,,,,,,,,,,,,,,jjwire400,jjwire160,https://jjwire.biz/wp-content/uploads/2013/07/dp651.jpg,dp651.jpg,,,jjwire800,dp651.jpg
Jewelry Stand with Shelf – BRONZE,BR4021,Accessories,,,,,,,,,,,,,,,jjwire400,jjwire160,https://jjwire.biz/wp-content/uploads/2013/07/br4021.jpg,br4021.jpg,,,jjwire800,br4021.jpg
Seven Pillar Candle Holder-BRONZE,BR104,Candle Accessories,,,,,,,,,,,,,,,jjwire400,jjwire160,https://jjwire.biz/wp-content/uploads/2013/07/br104.jpg,br104.jpg,,,jjwire800,br104.jpg
Extra Hook for #325N & #325B,325HK,Kitchen Racks and Accessories,,,,,,,,,,,,,,,jjwire400,jjwire160,,,,,jjwire800,
Hanging Pot & Pan Rack,325N,Kitchen Racks and Accessories,,,,,,,,,,,,,,,jjwire400,jjwire160,https://jjwire.biz/wp-content/uploads/2013/07/325N.jpg,325N.jpg,,,jjwire800,325N.jpg
Wall Pot & Pan Rack with Six Hooks,4025,Kitchen Racks and Accessories,"Wall Pot and Pan Rack – Includes 6 hooks. (OS) 38″ W. Picture is shown with two #3111 – Wine Bottle Holder which are sold seperately. Item #3111 also works well with #326, #325N and #325B. Coming soon…a wine glass holder that will fit these items as well!",,,,,,,,,,,,,,jjwire400,jjwire160,https://jjwire.biz/wp-content/uploads/2013/07/4025.jpg,4025.jpg,,,jjwire800,4025.jpg
Quilt Holder – DARK PEWTER,DP7119,Towel Racks,Quilt rack in a beautiful dark pewter finish. – 41″ T (OS),,,,,,,,,,,,,,jjwire400,jjwire160,https://jjwire.biz/wp-content/uploads/2013/07/dp7119.jpg,dp7119.jpg,,,jjwire800,dp7119.jpg
Quilt/Blanket Holder-BRONZE,JBR119,Towel Racks,Blanket or Quilt Holder – 39″ T x 21″ W,,,,,,,,,,,,,,jjwire400,jjwire160,https://jjwire.biz/wp-content/uploads/2013/07/br1191.jpg,br1191.jpg,,,jjwire800,br1191.jpg
Wholesale Quilt/Blanket Holder-BRONZE,BR119,Towel Racks,Wholesale Quilt or Blanket Holder (OS) – 39″T x 21″ W – Must order in increments of two.,,,,,,,,,,,,,,jjwire400,jjwire160,https://jjwire.biz/wp-content/uploads/2013/07/br119.jpg,br119.jpg,,,jjwire800,br119.jpg
