Vintage Star Black King Sham,IHF-134_LSH-BL,Home|Browse All Collections|Vintage Star Black|Vintage Star Black King Sham,"*** 21""x37""
*** Machine wash on gentle cycle with cold water and hang dry.
*** Material: 100% cotton
*** Part of our VINTAGE STAR BLACK Collection
*** Color: black and tan
SKU: IHF-134 LSH-BL",,,,,,,1,,,,,,,olivias400,olivias160,https://cdn11.bigcommerce.com/s-eontux1ym9/images/stencil/1280x1280/products/2333/5391/vstarshampic__95340.1507844856.jpg,vstarshampic__95340.1507844856.jpg,,,olivias800,vstarshampic__95340.1507844856.jpg
Vintage Star Wine Valance,IHF-134_VL-W,Home|Browse All Collections|Vintage Star Wine|Vintage Star Wine Valance,"60""x16"" with a 2"" rod pocket
Machine wash on gentle cycle with cold water and hang dry.
Material: 100% cotton
Part of our VINTAGE STAR WINE Collection
Color: red and tan
 SKU:IHF-134 VL-W",,,,,,,1 unit,,,,,,,olivias400,olivias160,https://cdn11.bigcommerce.com/s-eontux1ym9/images/stencil/1280x1280/products/315/8084/IHF-134VL-W__07761.1508258742.jpg,IHF-134VL-W__07761.1508258742.jpg,,,olivias800,IHF-134VL-W__07761.1508258742.jpg
Emerson Stocking,IHF-381_ST,Home|Browse All Collections|Emerson|Emerson Stocking,"11""x7""
Machine wash on gentle cycle with cold water and hang dry.
Material: 100% cotton
Part of our EMERSON Collection
Color: red, green, and black
 SKU:IHF-381 ST",,,,,,,1 unit,,,,,,,olivias400,olivias160,https://cdn11.bigcommerce.com/s-eontux1ym9/images/stencil/1280x1280/products/931/8696/IHF-381ST__95221.1508258849.jpg,IHF-381ST__95221.1508258849.jpg,,,olivias800,IHF-381ST__95221.1508258849.jpg
Nottingham Blue Short Panel Pair,IHF-516_SPNL,Home|Browse All Collections|Nottingham Blue|Nottingham Blue Short Panel Pair,"72""x63"" in total with a 2"" rod pocket
Machine wash on gentle cycle with cold water and hang dry.
Material: 100% cotton
Part of our NOTTINGHAM BLUE Collection
Color: blue and white
 SKU:IHF-516 SPNL",,,,,,,1 unit,,,,,,,olivias400,olivias160,https://cdn11.bigcommerce.com/s-eontux1ym9/stencil/230b5ec0-666c-0135-5c54-525400dfdca6/img/ProductDefault.gif,ProductDefault.gif,,,olivias800,ProductDefault.gif
Revere Fabric Star Pillow Cover,OH-115_PL-ST,"Home|Bedding|Pillow Covers, Cases, & Shams|Revere Fabric Star Pillow Cover","Black and tan contrast strikingly with a hint of red in our Revere Collection. Plaids and solids are patched together in squares and stars and each star is surrounded with embroidery.
100% cotton and machine washable
Measures 16x16""
Fabric-tie closure on back for ease of cleaning. Filler sold separately.
Hand made - High End Quality 
Machine wash gentle cycle. Air dry. Cool iron if needed.
INSERT SOLD SEPARATELY
  SKU: OH-115 PL-ST",,,,,,,1 unit,,,,,,,olivias400,olivias160,https://cdn11.bigcommerce.com/s-eontux1ym9/images/stencil/1280x1280/products/2171/2477/OH-115_PL-ST_8386554a-ef56-405a-ae79-6973b885e5b6__07617.1504818053.jpg,OH-115_PL-ST_8386554a-ef56-405a-ae79-6973b885e5b6__07617.1504818053.jpg,,,olivias800,OH-115_PL-ST_8386554a-ef56-405a-ae79-6973b885e5b6__07617.1504818053.jpg
Dancer Woven Rectangle Rug,IHF-384_RGS,Home|Rugs|Dancer Woven Rectangle Rug,"24""x42""
Machine wash on gentle cycle with cold water and hang dry.
Material: 100% cotton
Part of our DANCER PLACEMAT Collection
Color: red, green, white, and yellow
 SKU:IHF-384 RGS",,,,,,,1 unit,,,,,,,olivias400,olivias160,https://cdn11.bigcommerce.com/s-eontux1ym9/images/stencil/1280x1280/products/941/8706/IHF-384RGS__19663.1508258851.jpg,IHF-384RGS__19663.1508258851.jpg,,,olivias800,IHF-384RGS__19663.1508258851.jpg
Holiday Pine Pillow,IHF-339_APL,"Home|Bedding|Pillow Covers, Cases, & Shams|Holiday Pine Pillow","Depicts a festive pinecone and the words ""Holiday Wishes""
8""x13""
Machine wash on gentle cycle with cold water and hang dry.
Material: 100% cotton
Part of our HOLIDAY PINE Collection
Color: red, tan and green
 SKU:IHF-339 APL",,,,,,,1 unit,,,,,,,olivias400,olivias160,https://cdn11.bigcommerce.com/s-eontux1ym9/images/stencil/1280x1280/products/473/8242/IHF-339APL__42146.1508258769.jpg,IHF-339APL__42146.1508258769.jpg,,,olivias800,IHF-339APL__42146.1508258769.jpg
Rutherford Fabric Pillow Cover,OH-116_PL-CHK,"Home|Bedding|Pillow Covers, Cases, & Shams|Rutherford Fabric Pillow Cover","Red takes center-stage with our Rutherford Collections along with black and tan in checks, stripes, and plaids.
100% cotton and machine washable
Measures 16x16""
Fabric-tie closure on back for ease of cleaning. Filler sold separately.
Hand made - High End Quality
Machine wash gentle cycle. Air dry. Cool iron if needed.
Insert sold Separately
  SKU: OH-116 PL-CHK",,,,,,,1 unit,,,,,,,olivias400,olivias160,https://cdn11.bigcommerce.com/s-eontux1ym9/images/stencil/1280x1280/products/2179/2485/OH-116_ES__73190.1504818058.jpg,OH-116_ES__73190.1504818058.jpg,,,olivias800,OH-116_ES__73190.1504818058.jpg
"Robins Egg ""I Believe I Can Fly!"" Embroidered Dishtowel",IHF-354_ADT-DF,"Home|Kitchen, Dining, & Tabletop|Dishtowels|Robins Egg ""I Believe I Can Fly!"" Embroidered Dishtowel","Features a dragonfly design and the words ""I believe I can fly!"".
20""x28""
Machine wash on gentle cycle with cold water and hang dry.
Material: 100% cotton
Part of our ROBINS EGG Collection
Color: blue, cream, and brown
 SKU:IHF-354 ADT-DF",,,,,,,1 unit,,,,,,,olivias400,olivias160,https://cdn11.bigcommerce.com/s-eontux1ym9/images/stencil/1280x1280/products/605/8374/IHF-354ADT-DF__57753.1508258793.jpg,IHF-354ADT-DF__57753.1508258793.jpg,,,olivias800,IHF-354ADT-DF__57753.1508258793.jpg
"Sorbet Red ""Always Add Love"" Dishtowel",IHF-421_ADT-AAL,"Home|Kitchen, Dining, & Tabletop|Dishtowels|Sorbet Red ""Always Add Love"" Dishtowel","Depicts a cookie jar and the words ""Always Add Love"".
20""x28""
Machine wash on gentle cycle with cold water and hang dry.
Material: 100% cotton
Part of our SORBET RED Collection
Color: red and white
 SKU:IHF-421 ADT-AAL",,,,,,,1 unit,,,,,,,olivias400,olivias160,https://cdn11.bigcommerce.com/s-eontux1ym9/images/stencil/1280x1280/products/1223/8987/IHF-421ADT-AAL__13653.1508258902.jpg,IHF-421ADT-AAL__13653.1508258902.jpg,,,olivias800,IHF-421ADT-AAL__13653.1508258902.jpg
Snow Much Fun You Melt My Heart Dishtowel,IHF-380_ADT-MH,"Home|Kitchen, Dining, & Tabletop|Dishtowels|Snow Much Fun You Melt My Heart Dishtowel","Depicts the words ""You melt my heart""
20""x28""
Machine wash on gentle cycle with cold water and hang dry.
Material: 100% cotton
Part of our SNOW MUCH FUN Collection
Color: red, black, cream, and green
 SKU:IHF-380 ADT-MH",,,,,,,1 unit,,,,,,,olivias400,olivias160,https://cdn11.bigcommerce.com/s-eontux1ym9/images/stencil/1280x1280/products/906/8671/IHF-380ADT-MH__48130.1508258845.jpg,IHF-380ADT-MH__48130.1508258845.jpg,,,olivias800,IHF-380ADT-MH__48130.1508258845.jpg
