LIGHT BROWN SILVER DOLLAR STEM,G201360,Home|Collections|Fall|LIGHT BROWN SILVER DOLLAR STEM,,Estimated to be Available in Summer 2022,,,,"L: 45""",,1,99,,,,,1,Ragon400,Ragon160,https://cdn11.bigcommerce.com/s-xvps74vl0m/images/stencil/1280x1280/products/6848/15896/G201360_2__25426.1643830789.jpg?c=1,G201360_2__25426.1643830789.jpg?c=1,,,Ragon800,G201360_2__25426.1643830789.jpg?c=1
ORANGE SILVER DOLLAR STEM,G201361,Home|Collections|Fall|ORANGE SILVER DOLLAR STEM,,Estimated to be Available in Summer 2022,,,,"L: 45""",,1,99,,,,,1,Ragon400,Ragon160,https://cdn11.bigcommerce.com/s-xvps74vl0m/images/stencil/1280x1280/products/6849/15900/G201361_1__02478.1643830847.jpg?c=1,G201361_1__02478.1643830847.jpg?c=1,,,Ragon800,G201361_1__02478.1643830847.jpg?c=1
GREEN SILVER DOLLAR STEM,G201363,Home|Collections|Fall|GREEN SILVER DOLLAR STEM,,Estimated to be Available in Summer 2022,,,,"L: 24""",,1,99,,,,,1,Ragon400,Ragon160,https://cdn11.bigcommerce.com/s-xvps74vl0m/images/stencil/1280x1280/products/6850/15902/G201363_3__16536.1643830902.jpg?c=1,G201363_3__16536.1643830902.jpg?c=1,,,Ragon800,G201363_3__16536.1643830902.jpg?c=1
"19"" RED & YELLOW DRIED ROSE SPRAY",G201369,"Home|Collections|Everyday|19"" RED & YELLOW DRIED ROSE SPRAY",BEIGE (#WH7); GREEN/PINK (#PK15); ROSE (#RD3); SUNSET (#OR11),Estimated to ship Spring 2022,,,,"L: 19""",,1,99,,,,,1,Ragon400,Ragon160,https://cdn11.bigcommerce.com/s-xvps74vl0m/images/stencil/1280x1280/products/6830/13543/G201369__11084.1641401886.jpg?c=1,G201369__11084.1641401886.jpg?c=1,,,Ragon800,G201369__11084.1641401886.jpg?c=1
"19"" PINK & GREEN DRIED ROSE & BUD SPRAY",G201370,"Home|Collections|Everyday|19"" PINK & GREEN DRIED ROSE & BUD SPRAY",BEIGE (#WH7); GREEN/PINK (#PK15); SUNSET (#OR11),Estimated to ship Spring 2022,,,,"L: 19""",,1,99,,,,,1,Ragon400,Ragon160,https://cdn11.bigcommerce.com/s-xvps74vl0m/images/stencil/1280x1280/products/6831/13544/G201370__52744.1641401886.jpg?c=1,G201370__52744.1641401886.jpg?c=1,,,Ragon800,G201370__52744.1641401886.jpg?c=1
"24"" WINE DRIED PEONY & BUD SPRAY",G201371,"Home|Collections|Everyday|24"" WINE DRIED PEONY & BUD SPRAY",CREAM (#WH3); WINE (#MV3); ROSE (#RD2); RED (#RD3),Estimated to ship Spring 2022,,,,"L: 24""",,1,99,,,,,1,Ragon400,Ragon160,https://cdn11.bigcommerce.com/s-xvps74vl0m/images/stencil/1280x1280/products/6832/13545/G201371__38221.1641401887.jpg?c=1,G201371__38221.1641401887.jpg?c=1,,,Ragon800,G201371__38221.1641401887.jpg?c=1
"5.5"" GRAPEVINE NEST WITH EGGS",G161059,"Home|Collections|Everyday|5.5"" GRAPEVINE NEST WITH EGGS","5.50""W, PE & MMF",Estimated to ship Spring 2022,,,,"W: 5.50""",,1,99,,,,,1,Ragon400,Ragon160,https://cdn11.bigcommerce.com/s-xvps74vl0m/images/stencil/1280x1280/products/3404/15571/G161059_3__06545.1643228422.jpg?c=1,G161059_3__06545.1643228422.jpg?c=1,,,Ragon800,G161059_3__06545.1643228422.jpg?c=1
"5.5"" GRAPEVINE NEST WITH EGGS",G161059,"Home|Collections|Everyday|5.5"" GRAPEVINE NEST WITH EGGS","5.50""W, PE & MMF",Estimated to ship Spring 2022,,,,"W: 5.50""",,1,99,,,,,1,Ragon400,Ragon160,https://cdn11.bigcommerce.com/s-xvps74vl0m/images/stencil/1280x1280/products/3404/15571/G161059_3__06545.1643228422.jpg?c=1,G161059_3__06545.1643228422.jpg?c=1,,,Ragon800,G161059_3__06545.1643228422.jpg?c=1
"21"" CREAM ROSE BUSH",G201378,"Home|Collections|Everyday|21"" CREAM ROSE BUSH",DK.ORANGE (#D901); ORANGE/GREEN (#D103); ORANGE (#D280); TAN (#D813),Estimated to ship Spring 2022,,,,"L: 21""",,1,99,,,,,1,Ragon400,Ragon160,https://cdn11.bigcommerce.com/s-xvps74vl0m/images/stencil/1280x1280/products/6833/13546/G201378__84520.1641401887.jpg?c=1,G201378__84520.1641401887.jpg?c=1,,,Ragon800,G201378__84520.1641401887.jpg?c=1
"5.5"" GRAPEVINE NEST WITH EGGS",G161059,"Home|Collections|Everyday|5.5"" GRAPEVINE NEST WITH EGGS","5.50""W, PE & MMF",Estimated to ship Spring 2022,,,,"W: 5.50""",,1,99,,,,,1,Ragon400,Ragon160,https://cdn11.bigcommerce.com/s-xvps74vl0m/images/stencil/1280x1280/products/3404/15571/G161059_3__06545.1643228422.jpg?c=1,G161059_3__06545.1643228422.jpg?c=1,,,Ragon800,G161059_3__06545.1643228422.jpg?c=1
