Hockey Championship,PP-1498,,"Hockey Championship - Printed directly on distressed wood panels that have knots and other imperfections in them. We end up printing right over these imperfections which gives each sign the look and feel of a real vintage sign. No two are the same! Often people ask us ""Are these originals?""",,,,,,,,,,,,,,RedHorse400,RedHorse160,https://www.redhorsesigns.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/p/p/pp-1498_hockey_championship.jpg,pp-1498_hockey_championship.jpg,,,RedHorse800,pp-1498_hockey_championship.jpg
Flying in Colorado,PP-1506,,"Image printed directly to a distressed wood panel that has knots and other imperfections in it. We end up printing right over these imperfections, adding character which gives each sign the look and feel of a real vintage sign. No two are the same! Often people ask us ""Are these originals?""",,,,,,,,,,,,,,RedHorse400,RedHorse160,https://www.redhorsesigns.com/media/catalog/product/cache/1/image/600x/17f82f742ffe127f42dca9de82fb58b1/images/catalog/product/placeholder/image.jpg,image.jpg,,,RedHorse800,image.jpg
Triple Downhill,PP-1507,,"Image printed directly to a distressed wood panel that has knots and other imperfections in it. We end up printing right over these imperfections, adding character which gives each sign the look and feel of a real vintage sign. No two are the same! Often people ask us ""Are these originals?""",,,,,,,,,,,,,,RedHorse400,RedHorse160,https://www.redhorsesigns.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/p/p/pp-1507_triple_downhill.jpg,pp-1507_triple_downhill.jpg,,,RedHorse800,pp-1507_triple_downhill.jpg
Air,PP-1508,,"Image printed directly to a distressed wood panel that has knots and other imperfections in it. We end up printing right over these imperfections, adding character which gives each sign the look and feel of a real vintage sign. No two are the same! Often people ask us ""Are these originals?""",,,,,,,,,,,,,,RedHorse400,RedHorse160,https://www.redhorsesigns.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/p/p/pp-1508_air_.jpg,pp-1508_air_.jpg,,,RedHorse800,pp-1508_air_.jpg
3 Divers,PP-1560,,"3 Divers image printed directly to a distressed wood panel that has knots and other imperfections in it. We end up printing right over these imperfections, adding character which gives each sign the look and feel of a real vintage sign. This wall decor sign can be personalized with name drops. No two are the same!",,,,,,,,,,,,,,RedHorse400,RedHorse160,https://www.redhorsesigns.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/p/p/pp-1560.jpg,pp-1560.jpg,,,RedHorse800,pp-1560.jpg
4 Chairs & Yacht,JG-4000,,"Artist Joe Gemignani image printed directly to a distressed wood panel that has knots and other imperfections in it. We end up printing right over these imperfections, adding character which gives each sign the look and feel of a real vintage sign. No two are the same!",,,,,,,,,,,,,,RedHorse400,RedHorse160,https://www.redhorsesigns.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/j/g/jg-4000_4_chairs_yacht.jpg,jg-4000_4_chairs_yacht.jpg,,,RedHorse800,jg-4000_4_chairs_yacht.jpg
Appalachian Hiker,PP-1556,,"Appalachian Hiker image printed directly to a distressed wood panel that has knots and other imperfections in it. We end up printing right over these imperfections, adding character which gives each sign the look and feel of a real vintage sign. This wall decor sign can be personalized with name drops. No two are the same!",,,,,,,,,,,,,,RedHorse400,RedHorse160,https://www.redhorsesigns.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/p/p/pp-1556.jpg,pp-1556.jpg,,,RedHorse800,pp-1556.jpg
Be Happy Framed,SNL-7704,,Suzanne Nicoll's Lyra Collection wonderful inspirational image printed directly on cabinet grade plywood and framed in a vintage frame.,,,,,,,,,,,,,,RedHorse400,RedHorse160,https://www.redhorsesigns.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/s/n/snl-7704-be-happy.jpg,snl-7704-be-happy.jpg,,,RedHorse800,snl-7704-be-happy.jpg
Beach Anchor,ZAR-1002,,Beach Anchor by artist Ben Zaricor printed directly on cabinet grade plywood.,,,,,,,,,,,,,,RedHorse400,RedHorse160,https://www.redhorsesigns.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/z/a/zar-1002-beach-anchor--14x17.jpg,zar-1002-beach-anchor--14x17.jpg,,,RedHorse800,zar-1002-beach-anchor--14x17.jpg
Beach Beauties,ZAR-1008,,Beach Beauties Beach by artist Ben Zaricor printed directly on cabinet grade plywood.,,,,,,,,,,,,,,RedHorse400,RedHorse160,https://www.redhorsesigns.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/z/a/zar-1008-beach-beauties-11x24.jpg,zar-1008-beach-beauties-11x24.jpg,,,RedHorse800,zar-1008-beach-beauties-11x24.jpg
