"Love, Family, Blessed Flower Plate, 3 Asstd.",35790,Home|Decorative Plates,"Our Love, Family, Blessed Flower Plate is available in an assortment of 3 designs which feature a small bundle of flowers and a ribbon banner that reads either Love, Family, or Blessed. Has a lightly weathered, painted surface and will look great displayed in our small, black plate stand. This decorative, wooden plate measures 6"" in diameter.
Note: This is not a set - item is sold in an assortment of 3 different designs. When you order the price break quantity of 6 you will receive 2 of each design.
- Material: Wood
- Size: 6"" Dia. x 0.5"" H
- Color: Red, Green, Taupe, Yellow, White
- Designer: Michelle Kildow",,,,,,,6,2.09,72,2.09,,,6,Hearthside400,Hearthside160,https://www.thehearthsidecollection.com/shop/images/detailed/23/35790_a.jpg,35790_a.jpg,,,Hearthside800,35790_a.jpg
Primitive Rag Candy Cane Trio,CS38842,Home|Designers,"Our Primitive Rag Candy Cane Trio is cream and burgundy ticking stripe fabric wrapped around a foam candy cane shape. They can be displayed bundled with the jute bow or as separate pieces. Use for accenting wreaths, tiered trays, and more. Each candy cane is 9"" long by 2"" across by 0.5"" deep.
- Material: Fabric
- Size: 9"" L x 2"" W x 0.5"" D
- Color: Cream, Burgundy
- Designer: Dawn Stake",,,,,,,6,4.95,240,4.45,,,6,Hearthside400,Hearthside160,https://www.thehearthsidecollection.com/shop/images/detailed/31/CS38842_BG.jpg,CS38842_BG.jpg,,,Hearthside800,CS38842_BG.jpg
"2/Set, Natural Chipwood Hanging Baskets",BB381706BR,Home|Col House Designs,"The Natural Chipwood Hanging Baskets, 2/Set will add character and functionality to the farmhouse every day! These natural chipwood woven baskets have an open envelope shape and lovely natural hues. The small measures 12.25"" high by 10.5"" wide with a 5"" depth. The large is 15.25"" high by 12.5"" W by 6.5"" deep. The baskets have a jute loop at the top for easy hanging on hooks, nails, and more. These baskets make beautiful decorative pieces with florals and bead garlands. They also make aesthetically pleasing but functional pieces. Hang near the front or back door to hold gloves and scarves in the winter, a leash and baggies for the pup, or as a catch all for keys and other sundries.
- Size:
Lg: 15.25"" H x 12.5"" W x 6.5"" D
Sm: 12.25"" H x 10.5"" W x 5"" D",,,,,,,2,17.9,18,16.1,,,2,Hearthside400,Hearthside160,https://www.thehearthsidecollection.com/shop/images/detailed/35/BB381706BR-HA_jzaq-4v.jpg,BB381706BR-HA_jzaq-4v.jpg,,,Hearthside800,BB381706BR-HA_jzaq-4v.jpg
"Whitewashed Fleur De Lis Galvanized Milk Can, Small",15686A,Home|Col House Designs,"The Whitewashed Fleur De Lis Galvanized Milk Can, Small will help milk the beauty of farmhouse displays. This metal milk can has a white finish is distressed over an embossed fleur de lis pattern for a pretty mix of vintage farmhouse and elegant accent.  The can measures6"" wide at the handles and has an 8"" height  with a 4"" depth. This can looks great when displayed on its own or with its larger matching version. It will compliment a variety of greenery and  florals year-round!
Material: Metal
Size: 8"" H x 6"" W x 4"" Dp.
Color: White",,,,,,,2,9,8,8.1,,,2,Hearthside400,Hearthside160,https://www.thehearthsidecollection.com/shop/images/detailed/32/15686A-HB.jpg,15686A-HB.jpg,,,Hearthside800,15686A-HB.jpg
"Black-Eyed Susan, Pip, & Spring Greens Spray",18320,Home|Col House Designs,"The Black-Eyed Susan, Pip, & Spring Greens Spray will add lovely greens and eye-catching yellows to farmhouse displays. This 31"" high spray features green, soft foam-like leaves and fern-like fronds in plastic.  A larger and smaller blossom reminiscent of black-eyed susans or sunflowers emerge from the greenery and a scattering of yellow pips gives the feel of small buds. The blooms are golden yellow with fabric petals and a textured darker center. This spray looks lovely calong side sunflower signs or anywhere that could use a little pop of color!
Material: Fabric, foam, plastic, wire
Size: 31"" H
Colors: Yellow, green, dark brown",,,,,,,12,7.9,144,7.1,,,12,Hearthside400,Hearthside160,https://www.thehearthsidecollection.com/shop/images/detailed/32/18320-HB.jpg,18320-HB.jpg,,,Hearthside800,18320-HB.jpg
"Wooden Bunny & Carrot Ornaments, 6/Set",37732,Home|Col House Designs,"Some-bunny needs to bring a basket to “carrot” all the cuteness of the Wooden Bunny & Carrot Ornaments set. This set of six ornaments features three white bunnies in a low sitting position and three orange carrots with green tops. The ornaments are wooden cutouts with lightly distressed edges and jute hangers at the top. The bunnies measure 2"" high by 2"" wide, while the carrots measure 3.5"" high by 1.25"" wide. These ornaments look lovely hanging from the corners of Easter-themed signs, adorning Springtime greenery and more!
Material: Wood
Size: Bunny: 2"" H x 2"" W
Carrot: 3.5"" H x 1.25"" W
Colors: White, orange, green
Jute hanger",,,,,,,24,2,576,1.8,,,24,Hearthside400,Hearthside160,https://www.thehearthsidecollection.com/shop/images/detailed/33/37732-HA.jpg,37732-HA.jpg,,,Hearthside800,37732-HA.jpg
Peppermint Kisses & Christmas Wishes Wooden Book Stack,37227,Home|Col House Designs,"The Peppermint Kisses & Christmas Wishes Wooden Book Stack will bring sweet holiday wishes to the farmhouse this Winter. Designed to look like three books stacked and wrapped with red and white string at one end, this darling wooden piece reads ‘Peppermint Kisses & Christmas Wishes’ in red on a white background. The books have distressed edges and the top is accented with red and white peppermint stripes. The twisted red and white string has a double bow and is finished with a wooden bead detail and candy cane cutout. This stack will look lovely next paired with icy Winter greenery and other red and white decor as part of a centerpiece. Measures 3.75"" high by 7.5"" wide by 5"" deep.
Material: Wood, string
Size: 3.75"" H x 7.5"" W x 5"" Dp.
Colors: Red, white",,,,,,,3,6.9,18,6.2,,,3,Hearthside400,Hearthside160,https://www.thehearthsidecollection.com/shop/images/detailed/31/37227-HB.jpg,37227-HB.jpg,,,Hearthside800,37227-HB.jpg
"3/Set, Distressed Wooden Natural Color Mushrooms",37850,Home|Col House Designs,"There won't be mush-room for improvement of displays once the Distressed Wooden Natural Color Mushrooms set is added. This set of three solid wood mushrooms comes in three different styles and colors. There is a taller green mushroom that measures 2.5"" in diameter and 5"" high. There's a 2.75"" diameter by 4"" high mushroom in color natural. The final mushroom is tan and measures 2.5"" in diameter and 3.75"" tall. All three mushrooms have a natural wood-tone stem with light distressing over the entire piece. These darling mushrooms will add a touch of natural beauty and whimsy to cottage and farmhouse style decor.
- Material: Wood
- Size:
Tan: 3.75"" H x 2.5"" Dia.
Natural: 4"" H x 2.75"" Dia.
Green: 5"" H x 2.5"" Dia.",,,,,,,4,6.9,48,6.2,,,4,Hearthside400,Hearthside160,https://www.thehearthsidecollection.com/shop/images/detailed/34/37850-HF_vt52-zu.jpg,37850-HF_vt52-zu.jpg,,,Hearthside800,37850-HF_vt52-zu.jpg
"3/Set, Graywashed Willow Planter Baskets, Short",BB6S099,Home|Col House Designs,"Add lovely touches to farmhouse decor with the Graywashed Willow Planter Baskets, Short, 3/Set. This set of three, gray washed willow baskets have a simple but appealing design and come with plastic liners. The small measures 5.25"" in diameter and 2.75"" high. The medium is 3.75"" tall with a 7.25"" diameter. The large is 9.25"" in diameter and 5"" tall. All diameters given are at the base of the baskets and they have a slight taper inward toward the top. These baskets are ready to use with potted plants or potpourri but also look great with faux florals. The liners also make them handy for use with a variety of smaller items such as holding clothes pins and detergent pods in the laundry room!
- Size:
Lg: 5"" H x 9.25"" Dia.
Med: 3.75"" H x 7.25"" Dia.
Sm: 2.75"" H x 5.25"" Dia.",,,,,,,2,7.9,36,7.1,,,2,Hearthside400,Hearthside160,https://www.thehearthsidecollection.com/shop/images/detailed/35/BB6S099-HA.jpg,BB6S099-HA.jpg,,,Hearthside800,BB6S099-HA.jpg
She Is Strong And Beautiful Wooden Butterfly Sitter,37839,Home|Col House Designs,"Share sweet sentiments with mom this Mother's Day with the She Is Strong and Beautiful Wooden Butterfly Sitter. This lovely sitter combines a bold and beautiful statement with a delicate watercolor butterfly in shades of red, pink and purple. It reads 'She is Strong and Beautiful She is my mother' in black script and text. The sitter measures 5"" high by 5"" wide and has a 0.75"" depth. Pair this sitter with lavender or other purple faux flowers and candles for a pretty and alluring display. 
- Material: Wood
- Size: 5"" H x 5"" W x 0.75"" D
- Color: White, Pink, Purple",,,,,,,6,2.4,72,2.2,,,6,Hearthside400,Hearthside160,https://www.thehearthsidecollection.com/shop/images/detailed/34/37839-HA_u7c5-n5.jpg,37839-HA_u7c5-n5.jpg,,,Hearthside800,37839-HA_u7c5-n5.jpg
