SILVER BULLETS—CANVASBACKS ART COLLECTION,F540707007,,"It takes little effort for me to be inspired to paint canvasbacks. They are about the largest and fastest of our inland ducks and I often call them the 'Kings of Ducks.' These 'Silver Bullets' are pitching in against strong headwinds to an area of the Delta Marsh in Manitoba.

Limited edition of 750 signed and numbered art prints made from the original oil painting. Image size, 17"" x 27"". Artist proofs are available. Signature edition art print. Image size, 10"" x 15-1/2"". Published exclusively by Wild Wings.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/framed-ducks-art-print-silver-bullets-canvasbacks-by-david-maass-F540707007d_2000x.jpg?v=1623818952,framed-ducks-art-print-silver-bullets-canvasbacks-by-david-maass-F540707007d_2000x.jpg?v=1623818952,,,wildwings800,framed-ducks-art-print-silver-bullets-canvasbacks-by-david-maass-F540707007d_2000x.jpg?v=1623818952
COMING HOME ART COLLECTION,EPR1952181,,"“Trotting through the paddock on their way to the barn, the horses cast long shadows in the dust.”

Open edition art print on paper from the Great Northern Art® Premium Collection. Image size, 17"" x 23"". Choose from three framing options; regular premium framing, premium plus framing or designer framing.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/EPR1952181d_2000x.jpg?v=1623818889,EPR1952181d_2000x.jpg?v=1623818889,,,wildwings800,EPR1952181d_2000x.jpg?v=1623818889
CURIOSITY UNDER THE OAKS—DEER ART COLLECTION,EGN1126OAK,,"Acorns, a favorite food of whitetails, draw the deer out a little early in the late day sun. Wary of any sound, smell or movement, they risk feeding and enjoying nature's bounty.

Open edition from the Great Northern Art Premium Collection. Image size, 17"" x 23"". Choose from two framing options, regular premium framing and premium plus framing. A cropped version is also available in the Great Northern Art Deluxe Collection (image size, 8-1/4"" x 10"") and the Mini Print Collection (image size, 5"" x 7"").",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/EGN1126OAKd_bc566907-e1b0-4376-a124-40bc2ff3b02f_2000x.jpg?v=1623818733,EGN1126OAKd_bc566907-e1b0-4376-a124-40bc2ff3b02f_2000x.jpg?v=1623818733,,,wildwings800,EGN1126OAKd_bc566907-e1b0-4376-a124-40bc2ff3b02f_2000x.jpg?v=1623818733
APPLE RIVER MALLARDS ART COLLECTION,F701100001,,"“The time is a warm, sunny afternoon along a backwater near the Apple River. The rich, seasonal brown and orange hues seem to permeate the very air as five mallards coast silently to a secluded resting place.”

Encore open edition art print made from the original oil painting. Image size, 8-3/4"" x 14"". Choose from 5 framing options.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/framed-apple-river-mallards-art-print-by-terry-redlin-F701100001d_2000x.jpg?v=1623820173,framed-apple-river-mallards-art-print-by-terry-redlin-F701100001d_2000x.jpg?v=1623820173,,,wildwings800,framed-apple-river-mallards-art-print-by-terry-redlin-F701100001d_2000x.jpg?v=1623820173
"RETURN AMONG THE CATTAILS—WOOD DUCKS MASTER ARTISAN CANVAS (SN) - 30"" X 39"" - BURL FRAME",F624695305,,"Wild Wings' Master Artisan Canvas Collection combines old-world craftsmanship with exquisite materials and cutting-edge production technology to produce remarkable Limited Edition canvas artwork. This highly-collectible Limited Edition of 25 canvas prints is perfect for those who appreciate exclusivity and desire heirloom art. Each piece is hand-embellished by skilled artisans, capturing the details of the artist's original brushwork using fine acrylic paints. Long-life pigment inks outperform conventional press inks, ensuring the vibrancy and longevity of your artwork. Each piece includes a numbered Certificate of Authenticity, individually-engraved brass nameplate and is hand-signed by the artist. Antique Gold wood frame is hand-crafted and museum-quality. Published exclusively by Art Brand Studios. Framed size: 32"" x 40""; Image size: 20"" x 30""",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/fd-return-among-cattailshh-canv-20x30-burl-F624695305_2000x.jpg?v=1638478412,fd-return-among-cattailshh-canv-20x30-burl-F624695305_2000x.jpg?v=1638478412,,,wildwings800,fd-return-among-cattailshh-canv-20x30-burl-F624695305_2000x.jpg?v=1638478412
SUNDAY MORNING ART COLLECTION,F701535389,,"On this serene morning, all of God's creatures are congregating. The humans have arrived in cars and buggies. The deer slowly stir. The cows amble contentedly toward their morning drink. Suddenly, the calf becomes aware of strangers across the stream. In response, the young doe rises, ears alert, and intently watches the intruders approach. After a few moments of mutual inspection, both cows and deer will continue on with their business. High above the steeple, the circling pigeons have been scattered by ringing bells.

Open edition art print made from the original oil painting. Part of the Elite Prints Collection featuring smaller versions of earlier Redlin limited edition print releases. Image size, 14"" x 24"". Choose from 5 framing options.
Also available; open edition oval framed print from the Master Stroke Collection. Framed size, 15"" x 19"".
Mini companion prints also available; available in two framing options. Image sizes, 8"" x 8"". Companion prints are available individually or as a set of four.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/sunday-morning-framed-art-print-by-terry-redlin-F701535389d_2000x.jpg?v=1623820170,sunday-morning-framed-art-print-by-terry-redlin-F701535389d_2000x.jpg?v=1623820170,,,wildwings800,sunday-morning-framed-art-print-by-terry-redlin-F701535389d_2000x.jpg?v=1623820170
HEARTLAND LIGHTS ART COLLECTION,F701302089,,"“The holiday season is filled with warm memories of special family traditions. As the proud Belgians arrive at the clearing, the sleigh filled with family and friends is met with cheery greetings from the neighbors already enjoying the warm bonfire. Bundled up to spend an evening in the crisp winter air, children toast marshmallows on whittled green sticks. Lights from town reflect on the icy water casting a magical glow across the night sky.”

Limited edition of 960 signed and numbered art prints made from the original oil painting. Image size, 22"" x 36"". Choose from 2 framing options. Artist proof edition of 96 signed and numbered prints. Image size, 22"" x 36"". Elite open edition art print. Image size, 14"" x 24"". Choose from 4 framing options.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/heartland-lights-framed-limited-edition-print-terry-redlin-F701302089_2000x.jpg?v=1623820208,heartland-lights-framed-limited-edition-print-terry-redlin-F701302089_2000x.jpg?v=1623820208,,,wildwings800,heartland-lights-framed-limited-edition-print-terry-redlin-F701302089_2000x.jpg?v=1623820208
ARABIAN GRAY—HORSE ART COLLECTION,F195741081,,"“The Arabian is one of the more popular breeds of horse in my area, appearing often in trail and endurance riding as well as in the show ring. They are noted and loved for their spirit and beauty. I decided to portray the breed in the two colors I see most often, bay and gray. For the gray I chose a soft evening setting to show off the highlights in the horse’s mane and tail.”

Signature edition art print made from the original oil painting. Image size, 12"" x 16"". Published exclusively by Wild Wings.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/framed-arabian-gray-horse-art-print-by-chris-cummings-F195741081d_2000x.jpg?v=1623818874,framed-arabian-gray-horse-art-print-by-chris-cummings-F195741081d_2000x.jpg?v=1623818874,,,wildwings800,framed-arabian-gray-horse-art-print-by-chris-cummings-F195741081d_2000x.jpg?v=1623818874
BEE HAPPY GALLERY WRAPPED CANVAS,F474090085CGW,,"Our new and improved Gallery Wrapped Canvases are printed with more vibrant inks on a premium canvas substrate. The canvas is wrapped around thicker, 1-1/2"" stretcher bar and finished with a splined back for an elegant look and feel.

Showcasing our art in a beautiful full-wrap frameless presentation, each premier cotton canvas piece is printed with UV cured inks and hand stretched over a deep 1-1/2"" kiln dried wood stretcher bar. Ready to hang individually or as an ensemble, there's no wonder why this versatile art format is a customer favorite. 13"" x 18""",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/bee-happywc2kreutz-F474090085CGW_951b0f68-19be-426c-bad5-8c7621d669cc_2000x.jpg?v=1623818465,bee-happywc2kreutz-F474090085CGW_951b0f68-19be-426c-bad5-8c7621d669cc_2000x.jpg?v=1623818465,,,wildwings800,bee-happywc2kreutz-F474090085CGW_951b0f68-19be-426c-bad5-8c7621d669cc_2000x.jpg?v=1623818465
...THEN SHE WAS GONE—MOUNTAIN LION ART COLLECTION,1403867573,,Limited edition of 100 signed and numbered art prints and 100 signed and numbered canvas prints by Guy Hobbs. Published exclusively by Wild Wings.,,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/then-she-was-gone-group-1403867573IG_0f1fa2c7-60c0-45d0-9585-6357c019589b_2000x.jpg?v=1640705388,then-she-was-gone-group-1403867573IG_0f1fa2c7-60c0-45d0-9585-6357c019589b_2000x.jpg?v=1640705388,,,wildwings800,then-she-was-gone-group-1403867573IG_0f1fa2c7-60c0-45d0-9585-6357c019589b_2000x.jpg?v=1640705388
CONSPIRACY THEORY—RAVENS ART COLLECTION,1403128548,,Limited edition of 100 signed and numbered canvas art prints by Guy Hobbs. Published exclusively by Wild Wings.,,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/conspiracy-theory-group-1403128548IG_2d6277a5-5c62-4666-94ae-2d1e80980d1c_2000x.jpg?v=1623820127,conspiracy-theory-group-1403128548IG_2d6277a5-5c62-4666-94ae-2d1e80980d1c_2000x.jpg?v=1623820127,,,wildwings800,conspiracy-theory-group-1403128548IG_2d6277a5-5c62-4666-94ae-2d1e80980d1c_2000x.jpg?v=1623820127
PRAIRIE SKYLINE II ART COLLECTION,F701433689,,"“This isolated prairie elevator is an actual location four miles from the artist’s hometown in eastern South Dakota. As a young boy Terry Redlin often visited the area, sketching and honing his creative skills. Forty years later he returned to renew the vision. The result is this dramatic painting that captures both the vastness of the plains country, and the wildlife who survive regardless of man’s intrusion.”

Open edition miniature art print on linen from the Master Stroke Framed Prints Collection. Image size, 7-3/4"" x 13-3/4"". Choose from two framing styles. Also available; vertically cropped open edition art print from the Pinnacle Collection. Image size, 20-1/4"" x 11-1/2"". Choose from 5 framing options.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/framed-prairie-skyline-pheasant-II-pinnacle-print-by-terry-redlin-F701433689d_2000x.jpg?v=1623820192,framed-prairie-skyline-pheasant-II-pinnacle-print-by-terry-redlin-F701433689d_2000x.jpg?v=1623820192,,,wildwings800,framed-prairie-skyline-pheasant-II-pinnacle-print-by-terry-redlin-F701433689d_2000x.jpg?v=1623820192
SNOW WHITE DISCOVERS THE COTTAGE ART COLLECTION,F435715196,,"As a child my imagination was stirred by the great animated films of Walt Disney. Imagine my delight when Disney recently opened their archives to me as I prepared for my first-ever series of images inspired by classic Disney moments.

In the first piece of this series, Snow White's world is alive with color. The Prince's castle where Snow White will eventually discover happiness looms majestically in the distance, while a foaming waterfall and fanciful animals remind us that Snow White is at peace with all of nature. Of course, I also included my iconic colorful flowers which festoon the scene with hopeful reminders of spring.

I hope that Snow White Discovers the Cottage will be a fairy tale come true for Disney and Kinkade collectors everywhere.

Disney Dreams Collection by Thomas Kinkade Studios now available as a personalized framed canvas! We'll add one line of personalization to the sign in the image so you or someone special can feel part of this adored love story! Specify personalization during checkout or contact us for additional personalization requests. Open edition canvas framed. Available with multiple frame choices in multiple sizes. Open Edition Certificate of Authenticity included.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/snow-white-discovers-the-cottage-personalized-framed-canvas-thomas-kinkade-studios-F435715196_27bfc0e3-b873-40c2-8edd-aee894e94c3c_2000x.jpg?v=1623818815,snow-white-discovers-the-cottage-personalized-framed-canvas-thomas-kinkade-studios-F435715196_27bfc0e3-b873-40c2-8edd-aee894e94c3c_2000x.jpg?v=1623818815,,,wildwings800,snow-white-discovers-the-cottage-personalized-framed-canvas-thomas-kinkade-studios-F435715196_27bfc0e3-b873-40c2-8edd-aee894e94c3c_2000x.jpg?v=1623818815
SNOW WHITE DISCOVERS THE COTTAGE ART COLLECTION,F435715196,,"As a child my imagination was stirred by the great animated films of Walt Disney. Imagine my delight when Disney recently opened their archives to me as I prepared for my first-ever series of images inspired by classic Disney moments.

In the first piece of this series, Snow White's world is alive with color. The Prince's castle where Snow White will eventually discover happiness looms majestically in the distance, while a foaming waterfall and fanciful animals remind us that Snow White is at peace with all of nature. Of course, I also included my iconic colorful flowers which festoon the scene with hopeful reminders of spring.

I hope that Snow White Discovers the Cottage will be a fairy tale come true for Disney and Kinkade collectors everywhere.

Disney Dreams Collection by Thomas Kinkade Studios now available as a personalized framed canvas! We'll add one line of personalization to the sign in the image so you or someone special can feel part of this adored love story! Specify personalization during checkout or contact us for additional personalization requests. Open edition canvas framed. Available with multiple frame choices in multiple sizes. Open Edition Certificate of Authenticity included.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/snow-white-discovers-the-cottage-personalized-framed-canvas-thomas-kinkade-studios-F435715196_27bfc0e3-b873-40c2-8edd-aee894e94c3c_2000x.jpg?v=1623818815,snow-white-discovers-the-cottage-personalized-framed-canvas-thomas-kinkade-studios-F435715196_27bfc0e3-b873-40c2-8edd-aee894e94c3c_2000x.jpg?v=1623818815,,,wildwings800,snow-white-discovers-the-cottage-personalized-framed-canvas-thomas-kinkade-studios-F435715196_27bfc0e3-b873-40c2-8edd-aee894e94c3c_2000x.jpg?v=1623818815
FAMILY TRADITIONS ART COLLECTION,F701240589,,"As the family returns home after a brisk sleigh ride, they stop for a moment to watch the hockey game. They will soon move on toward the town's glowing light. The children will retreat up to the brightly lit house on the hill for hot chocolate and homemade cookies.

2009 Christmas edition; limited edition of 2009 unsigned, numbered art prints made from the original oil painting. Image size, 18-1/2"" x 32"". Full color, printed remarque in lower left margin. Artist proof edition of 200 signed and numbered prints. Image size, 18-1/2"" x 32""",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/family-traditions-by-terry-redlin-F701240589d_2000x.jpg?v=1623820170,family-traditions-by-terry-redlin-F701240589d_2000x.jpg?v=1623820170,,,wildwings800,family-traditions-by-terry-redlin-F701240589d_2000x.jpg?v=1623820170
