Noah's Vessel - DISCONTINUED,SKU# LG600,Beyond Borders|On Sale!,"72"" x 17"" Our large ark features a joyful Noah and a wonderful collection of animal friends. Created by Claude Pierre. Please note: This oversized item has a flat $50-55 shipping cost for all continental US locations. Canada customers: Please call Beyond Borders direct for a shipping quote for this item.",$86.80/ea,https://2d740cd3909bc086d8d3-47e34381d78c353e506ca24b705cb711.ssl.cf2.rackcdn.com/image/7947a2b0dc1e236ea1df6591c82ab375d1ab5341.jpg
Flock Frame with Mirror - DISCONTINUED,SKU# MIR426,Beyond Borders|On Sale!,"23"" x 23"" These birds are circling around a wonderful reflection. This frame is available with and without the mirror glass. Created by Jean Bernard St. Charles.",$32.20/ea,https://2d740cd3909bc086d8d3-47e34381d78c353e506ca24b705cb711.ssl.cf2.rackcdn.com/image/f034ddb45c294ed2b53dbf1f8aa78c2234a993a3.jpg
Sea Life Frame - with Glass - DISCONTINUED,SKU# MIR452,Beyond Borders|On Sale!,"23"" x 23"" This magnificant frame is artfully detailed and hand crafted ... includes mirror. Created by Fritz Calixte.",$32.20/ea,https://2d740cd3909bc086d8d3-47e34381d78c353e506ca24b705cb711.ssl.cf2.rackcdn.com/image/98280fde1281e0b963438d9c7421dfc091ecee0b.jpg
Fish Stix - DISCONTINUED,SKU# REC720,Beyond Borders|On Sale!,"6"" x 28"" Six little swimmers are aligned and ready for sub-surface fun. Check out the 3D detailing. Created by Mirtha Balan.",$16.10/ea,https://2d740cd3909bc086d8d3-47e34381d78c353e506ca24b705cb711.ssl.cf2.rackcdn.com/image/cd4ddc49b1f83114b61c13c61a364305f674bdc2.jpg
Birds of a Feather 3D - DISCONTINUED,SKU# REC740,Beyond Borders|On Sale!,"6"" x 28"" Our Haitian metal artists never cease to amaze ... this vertical wall sculpture is just simply beautiful. Created by Diefaite Laguerre.",$17.50/ea,https://2d740cd3909bc086d8d3-47e34381d78c353e506ca24b705cb711.ssl.cf2.rackcdn.com/image/dcd4b82facbf38d35941fe62abceebf1942c1db3.jpg
Tall Noah's Ark - DISCONTINUED,SKU# REC791,Beyond Borders|On Sale!,"7"" x 34"" Our newest ark piece has Noah on top of the world ... what a view! Crafted by Jean Paul Charles.",$24.50/ea,https://2d740cd3909bc086d8d3-47e34381d78c353e506ca24b705cb711.ssl.cf2.rackcdn.com/image/99d5fefecac5fa45eed7ab6ae5d260b9837f8b3e.jpg
Going to Church - DISCONTINUED,SKU# REC821,Beyond Borders|On Sale!,"33"" x 14"" This is a special reflection of Haitian life … family and their journey. We love this design from Jean David Remy.",$39.20/ea,https://2d740cd3909bc086d8d3-47e34381d78c353e506ca24b705cb711.ssl.cf2.rackcdn.com/image/246571cc89265430ab9cdc6d111ac7d405015b2f.jpeg
Refresh Floral Bouquet - DISCONTINUED,SKU# RND732,Beyond Borders|On Sale!,"23"" x 23"" A new unique look in Haitian metal art, our 23 inch mod floral bouquet is updated and fresh. Created by Caleb Belonny.",$25.90/ea,https://2d740cd3909bc086d8d3-47e34381d78c353e506ca24b705cb711.ssl.cf2.rackcdn.com/image/e6b5653d56f8449b573d10f895fa7b15708451a9.jpg
Floral Focus - DISCONTINUED,SKU# RND781,Beyond Borders|On Sale!,"23"" x 23"" This is a wonderful new design that features a 3D hummingbird in the center with a ring of flowers. Crafted by Bernard Excellent.",$28.00/ea,https://2d740cd3909bc086d8d3-47e34381d78c353e506ca24b705cb711.ssl.cf2.rackcdn.com/image/b3e9f6a7b5772708411f9903c6fdff8860d1c8ff.jpg
Rainy Day - DISCONTINUED,SKU# RND793,Beyond Borders|On Sale!,"23"" x 23"" Just look at the wonderful rainfall details in the top of this piece. When we saw it in Haiti, we knew we had to have for you! Designed by Diefaite Laguerre.",$25.90/ea,https://2d740cd3909bc086d8d3-47e34381d78c353e506ca24b705cb711.ssl.cf2.rackcdn.com/image/c6393e20200c587ef531e127ecd7ec8c68c582b8.jpeg
