32205,Stretch bracelet.,http://www.carsonhomeaccents.com/images/32205_l.jpg,Plum Mirage Beaded Strands Bracelet,32205,Stretch bracelet.,http://www.carsonhomeaccents.com/images/32205_l.jpg
21191,"Glass plate with metal spreader. Gift boxed as a set.

Dimensions: Serving Plate: 7.75 ""L x 7.75 ""H Spreader: 5 """,http://www.carsonhomeaccents.com/images/21191_l.jpg,"Got Wine? ""The World of Wine"" Serving Plate and Spreader
© Lauren Gibbons",21191,"Glass plate with metal spreader. Gift boxed as a set.

Dimensions: Serving Plate: 7.75 ""L x 7.75 ""H Spreader: 5 """,http://www.carsonhomeaccents.com/images/21191_l.jpg
21212,"Doorknob wine stopper has a vintage look and cork bottom. Made from resin.

Height: 3.25""
Width: 2.5""",http://www.carsonhomeaccents.com/images/21212_l.jpg,Silver Vintage Look Doorknob Wine Stopper,21212,"Doorknob wine stopper has a vintage look and cork bottom. Made from resin.

Height: 3.25""
Width: 2.5""",http://www.carsonhomeaccents.com/images/21212_l.jpg
64451,"Table block is made from wood composite.

Length: 10""
Height: 3""
Depth: 2""",http://www.carsonhomeaccents.com/images/64451_l.jpg,"Heartfelt Expressions ""Journey"" Table Block",64451,"Table block is made from wood composite.

Length: 10""
Height: 3""
Depth: 2""",http://www.carsonhomeaccents.com/images/64451_l.jpg
18443,"Music Box is velvet lined, includes a hand crank music mechanism and plays a popular song! All sentiment cards can be replaced with a personal photograph. Maximize your sales by purchasing one of the Music Box Displays item 17480 or 17479. Plays ""My Favorite Things"".

Height: 4""
Width: 6""
Depth: 2.5""",http://www.carsonhomeaccents.com/images/18443_l.jpg,"""Family Matters"" Music Box
© Julie Dobson Miner/Artworks! Licensing",18443,"Music Box is velvet lined, includes a hand crank music mechanism and plays a popular song! All sentiment cards can be replaced with a personal photograph. Maximize your sales by purchasing one of the Music Box Displays item 17480 or 17479. Plays ""My Favorite Things"".

Height: 4""
Width: 6""
Depth: 2.5""",http://www.carsonhomeaccents.com/images/18443_l.jpg
48339,"Our revolutionary Dura Soft™ fabric is remarkably soft yet extremely durable and enhances the rich, vibrant colors of each design. Set your store apart by selling FlagTrends™, where all of the messages are readable from both sides! One touch is all you need to ""Feel the Difference.""

Height: 48""
Width: 20""",http://www.carsonhomeaccents.com/images/48339_l.jpg,Happy Winter Large Dura Soft™ Flag,48339,"Our revolutionary Dura Soft™ fabric is remarkably soft yet extremely durable and enhances the rich, vibrant colors of each design. Set your store apart by selling FlagTrends™, where all of the messages are readable from both sides! One touch is all you need to ""Feel the Difference.""

Height: 48""
Width: 20""",http://www.carsonhomeaccents.com/images/48339_l.jpg
16040,"Home State Blocks are comprised of wood and metal.

Height: 6""
Width: 6""
Depth: 1.375""",http://www.carsonhomeaccents.com/images/16040_l.jpg,"Home State Blocks ""Texas""",16040,"Home State Blocks are comprised of wood and metal.

Height: 6""
Width: 6""
Depth: 1.375""",http://www.carsonhomeaccents.com/images/16040_l.jpg
48294,"Our revolutionary Dura Soft™ fabric is remarkably soft yet extremely durable and enhances the rich, vibrant colors of each design. Set your store apart by selling FlagTrends™, where all of the messages are readable from both sides! One touch is all you need to ""Feel the Difference.""

Height: 48""
Width: 20""",http://www.carsonhomeaccents.com/images/48294_l.jpg,Rustic Garden Holiday Large Dura Soft™ Flag,48294,"Our revolutionary Dura Soft™ fabric is remarkably soft yet extremely durable and enhances the rich, vibrant colors of each design. Set your store apart by selling FlagTrends™, where all of the messages are readable from both sides! One touch is all you need to ""Feel the Difference.""

Height: 48""
Width: 20""",http://www.carsonhomeaccents.com/images/48294_l.jpg
SKU: 46533,"This flag is inspired by the top-selling Southern Couture T-Shirt line!
Our revolutionary Dura Soft™ fabric is remarkably soft yet extremely durable and enhances the rich, vibrant colors of each design. Set your store apart by selling FlagTrends™, where all of the messages are readable from both sides! One touch is all you need to ""Feel the Difference.""

46533
48533",http://www.carsonhomeaccents.com/images/46533_l.jpg,"    Garden 12.5 x 18
   ",Beach Is Calling Dura Soft™ Flag,SKU: 48533,"This flag is inspired by the top-selling Southern Couture T-Shirt line!
Our revolutionary Dura Soft™ fabric is remarkably soft yet extremely durable and enhances the rich, vibrant colors of each design. Set your store apart by selling FlagTrends™, where all of the messages are readable from both sides! One touch is all you need to ""Feel the Difference.""

46533
48533",http://www.carsonhomeaccents.com/images/46533_l.jpg,"    Large 28 x 40
   "
SKU: 46533,"This flag is inspired by the top-selling Southern Couture T-Shirt line!
Our revolutionary Dura Soft™ fabric is remarkably soft yet extremely durable and enhances the rich, vibrant colors of each design. Set your store apart by selling FlagTrends™, where all of the messages are readable from both sides! One touch is all you need to ""Feel the Difference.""

46533
48533",http://www.carsonhomeaccents.com/images/46533_l.jpg,"    Garden 12.5 x 18
   ",Beach Is Calling Dura Soft™ Flag,SKU: 48533,"This flag is inspired by the top-selling Southern Couture T-Shirt line!
Our revolutionary Dura Soft™ fabric is remarkably soft yet extremely durable and enhances the rich, vibrant colors of each design. Set your store apart by selling FlagTrends™, where all of the messages are readable from both sides! One touch is all you need to ""Feel the Difference.""

46533
48533",http://www.carsonhomeaccents.com/images/46533_l.jpg,"    Large 28 x 40
   "
10012,"Our Pawprints clip photo frame is made of wood with a metal clip for a picture. Sawtooth hanger and easel in the back.

W: 9.5""
H: 9.5""
D: 1""",http://www.carsonhomeaccents.com/images/10012_l.jpg,"""Best Cat Ever"" Clip Photo Frame",10012,"Our Pawprints clip photo frame is made of wood with a metal clip for a picture. Sawtooth hanger and easel in the back.

W: 9.5""
H: 9.5""
D: 1""",http://www.carsonhomeaccents.com/images/10012_l.jpg
