MDF CROSS HANGING-FAITH-18-1/8, TFEY0151,Home > Inspirational > TFEY0151," 12X3/4X18-1/8""",4,$12.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/T/F/TFEY0151_1.jpg');
"MDF CROSS HANGING-LOVE-18-1/8""", TFEY0149,Home > Inspirational > TFEY0149," 11X3/4X18-1/8""",4,$12.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/T/F/TFEY0149_1.jpg');
BURLAP/MDF PLAQUE-WELCOME, TFEY0045,Home > Inspirational > TFEY0045," 12X1-1/4X20-1/4""",4,$12.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/T/F/TFEY0045_1.jpg');
CANVAS/WD PLAQUE-LIVE, TFEY0030,Home > Inspirational > TFEY0030," 12-1/4X1X30""",4,$11.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/T/F/TFEY0030_1.jpg');
MDF/MTL CROSS HANGING, TFEH1051,Home > Inspirational > TFEH1051," 11X3/4X15-7/8""",4,$10.50,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/T/F/TFEH1051_1.jpg');
globose candle holder, I7622,Home > Inspirational > I7622," 4-1/2X4-1/2X3-1/2""",4,$5.25,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/I/7/I7622_1.jpg');
Angel sculpture, I7602,Home > Inspirational > I7602," 4-1/2X3-1/2X8-1/2""",4,$4.50,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/I/7/I7602_1.jpg');
Angel with children sculpture, I7601,Home > Inspirational > I7601," 5-1/2X4-1/4X12-1/2""",4,$9.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/I/7/I7601_1.jpg');
"WD WALL PLAQUE/FAITH.../21-3/8""H", DFEY0095,Home > Inspirational > DFEY0095," 16X7/8X21-3/8""",4,$16.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/d/f/dfey0095.jpg');
"WD TABLE TOP PLAQUE/LOVE.../15-5/8""H", DFEY0080,Home > Inspirational > DFEY0080," 11-3/4X3-3/8X15-5/8""",4,$14.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/d/f/dfey0080.jpg');
"WD PLAQUE/PRAY BIG.../21-3/4""H", DFEY0070,Home > Inspirational > DFEY0070," 19-1/2X1X21-3/4""",4,$21.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/d/f/dfey0070.jpg');
"WD WALL PLAQUE/CROSS/19""H", DFEY0065,Home > Inspirational > DFEY0065," 13-1/4X5/8X19""",4,$16.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/d/f/dfey0065.jpg');
"WD WALL PLAQUE/CROSS/MY HOUSE.../24-7/8""H", DFEY0064,Home > Inspirational > DFEY0064," 17-1/2X1X24-7/8""",4,$25.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/d/f/dfey0064.jpg');
"WD WALL PLAQUE/LOVE.../24-3/4""H", DFEY0063,Home > Inspirational > DFEY0063," 17-1/2X1X24-3/4""",4,$25.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/d/f/dfey0063.jpg');
"WD TABLE TOP PLAQUE/FAITH/11-1/2""L", DFEY0059,Home > Inspirational > DFEY0059," 11-1/2X1-7/8X8-3/4""",4,$8.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/d/f/dfey0059.jpg');
Angel w/girl, D8253,Home > Inspirational > D8253," 5X3-1/2X10-1/2""",4,$8.50,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/D/8/D8253_1.jpg');
TABLE TOP FAITH, CSET0581-A,Home > Inspirational > CSET0581-A," 20X2-1/8X10-1/2""",4,$19.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/C/S/CSET0581-A_1.jpg');
"MDF TLETOP-FAITH...11-1/4""", CSET0574,Home > Inspirational > CSET0574," 11-1/4X1-3/4X5-3/4""",4,$6.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/C/S/CSET0574_1.jpg');
"WD CROSS PLAQUE/12-1/4""H", CFEY0034,Home > Inspirational > CFEY0034," 8-1/2X2-3/8X12-1/4""",4,$9.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/c/f/cfey0034.jpg');
"WD CROSS PLAQUE/12-1/4""H", CFEY0029,Home > Inspirational > CFEY0029," 9-1/4X2-3/8X12-1/4""",4,$9.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/c/f/cfey0029.jpg');
"MDF WALL PLAQUE/20""L", CFEM0197,Home > Inspirational > CFEM0197," 20X1X7-1/2""",4,$11.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/c/f/cfem0197.jpg');
"MDF WALL PLAQUE/15-3/4""L", CFEM0174,Home > Inspirational > CFEM0174," 15-3/4X1-1/8X9-3/8""",4,$8.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/c/f/cfem0174.jpg');
"HANGING PLAQUE/HOPE/12.5""L", CFEC0085-A,Home > Inspirational > CFEC0085-A," 12-1/2X3/4X12-1/2""",4,$11.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/c/f/cfec0085-a.jpg');
"CANVAS PLAQUE/18-7/8""L", BSEY0019,Home > Inspirational > BSEY0019," 18-7/8X1-1/4X11-3/4""",4,$16.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/B/S/BSEY0019_1.jpg');
"WD/MTL PLAQUE/16-1/2""H", BSEY0013,Home > Inspirational > BSEY0013," 10-1/2X1X16-1/2""",4,$18.50,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/B/S/BSEY0013_1.jpg');
"WD/MTL PLAQUE/16-1/2""H", BSEY0012,Home > Inspirational > BSEY0012," 10-1/2X1X16-1/2""",4,$18.50,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/B/S/BSEY0012_1.jpg');
"WD/MTL CARD HOLDER/9""L", BSEY0010,Home > Inspirational > BSEY0010," 9X2-1/2X6-1/8""",4,$4.50,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/B/S/BSEY0010_1.jpg');
"MTL SIGN/FAITH/10""H", BFEY1011-A,Home > Inspirational > BFEY1011-A," 9X1-1/2X8-1/2""",4,$5.50,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/B/F/BFEY1011-A_1.jpg');
"MDF/BURLAP PLAQUE-FAITH. 16""H", BFEY1002,Home > Inspirational > BFEY1002," 16X1-1/2X16""",4,$16.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/B/F/BFEY1002_1.jpg');
"WD PLAQUE/LOVE/15-3/4""SQ", BFEY0001-D,Home > Inspirational > BFEY0001-D," 9X1-1/2X8-1/2""",4,$6.50,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/B/F/BFEY0001-D_1.jpg');
MDF WALL PALQUE-LOVE, BFEY0001-C,Home > Inspirational > BFEY0001-C," 10X1X10""",4,$9.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/B/F/BFEY0001-C_1.jpg');
CROSS NECKLESS/KEY CHAIN, ASEY0058,Home > Inspirational > ASEY0058," 2-1/4X1/4X3-1/8""",4,$1.50,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/A/S/ASEY0058_1.jpg');
"CNVAS/MDF TABLTOP-TO GOD..11""", ASEY0045,Home > Inspirational > ASEY0045," 7-7/8X2-1/4X11""",4,$6.50,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/A/S/ASEY0045_1.jpg');
WD/CANVAS PLAQUE/OUR GOD IS..., ASEY0039,Home > Inspirational > ASEY0039," 12-7/8X1-1/2X18-7/8""",4,$10.50,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/A/S/ASEY0039_1.jpg');
MDF/CANVAS PLAQUE-GOD BLESS, ASEY0037,Home > Inspirational > ASEY0037," 12-7/8X1-1/2X18-7/8""",4,$10.50,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/A/S/ASEY0037_1.jpg');
"WD/MTL SIGN/LIVE A../23-5/8""L", ASEY0008,Home > Inspirational > ASEY0008," 23-5/8X3/4X8""",4,$11.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/A/S/ASEY0008_1.jpg');
"WD/MTL SIGN/LIVE A../23-5/8""L", ASEY0007,Home > Inspirational > ASEY0007," 23-5/8X3/4X7""",4,$11.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/A/S/ASEY0007_1.jpg');
MDF/MTL CROSS PLAQUE, ASEH1042,Home > Inspirational > ASEH1042," 10-5/8X1/2X14-3/8""",4,$10.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/A/S/ASEH1042_1.jpg');
MDF/MTL SIGN/BELIEVE, ASEH1022,Home > Inspirational > ASEH1022," 28-3/4X1-1/4X9-1/2""",4,$10.50,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/A/S/ASEH1022_1.jpg');
PRESS MTL/MDF SIGN-LOVE IS..., ASEB1001,Home > Inspirational > ASEB1001," 14X3/8X5-1/8""",4,$3.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/A/S/ASEB1001_1.jpg');
"WD CROSS PLAQUE/4-3/4""H", AFEY0016,Home > Inspirational > AFEY0016," 3-1/8X3/4X4-3/4""",4,$1.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/A/F/AFEY0016_1.jpg');
"WD CROSS PLAQUE/4-1/2""H", AFEY0015,Home > Inspirational > AFEY0015," 3-1/4X3/4X4-1/2""",4,$1.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/A/F/AFEY0015_1.jpg');
"CANVAS/WD PLAQUE/LOVE/14-1/4""S", AFEW0012,Home > Inspirational > AFEW0012," 14-1/4X1X14-1/4""",4,$8.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/A/F/AFEW0012_1.jpg');
CANVAS/WD PLAQUE/FRIEND/14-1/4, AFEW0011,Home > Inspirational > AFEW0011," 14-1/4X1X14-1/4""",4,$8.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/A/F/AFEW0011_1.jpg');
"WD CROSS PLAQUE/4-1/2""H", AFEH2050,Home > Inspirational > AFEH2050," 3-1/4X3/4X5""",4,$1.50,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/A/F/AFEH2050_1.jpg');
MTL/WD TABLTOP-FAITH/24-, AFEH1030,Home > Inspirational > AFEH1030," 24-3/4X1-1/2X10""",4,$17.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/A/F/AFEH1030_1.jpg');
"MTL SIGN/FAITH/13-7/8""L", AFEH1016,Home > Inspirational > AFEH1016," 13-7/8X1/2X8-1/2""",4,$8.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/A/F/AFEH1016_1.jpg');
MDF TBLTOP-FAITH, AFEH0014,Home > Inspirational > AFEH0014," 12-5/8X1-3/4X7-3/4""",4,$9.95,imageswitcher('http://desma-group.com/media/catalog/product/cache/1/image/5bf089173af4291db56d41869c175ca4/A/F/AFEH0014_1.jpg');
