"Embossed Plate - Stain - 9-1/2""",10070S,"Home/Home Accents/Treenware/Embossed Plate - Stain - 9-1/2""
1 of 1",$,"Resin plate 9-1/2"" in diameter has a dark brown stained wood look complete with a natural wood grain and scalloped edges. Has the look and feel of authentic treenware at a more economical price.",https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/10070.jpg?t=1463511211
"Dripped Pillar - Burnt Ivory - 2-1/2""",84377,"Home/Candles/Battery Operated Candles/Pillars/Dripped Pillar - Burnt Ivory - 2-1/2""
1 of 1",$,"A shorter version of our battery-operated dripped pillar. Measures 2-1/5"" x 2-1/4"" and has the look of a candle that's been burning for a while, with drips of wax coming down the sides and the top with the uneven look of a melting candle. This candle has a grungy wax coating and a flame shaped tip to give the look and feel of a real candle. Requires 2 AAA batteries (not included).",https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/84377_Pathed.jpg?t=1462969586
"Dripped Pillar - Burnt Ivory - 4""",84383,"Home/Candles/Battery Operated Candles/Pillars/Dripped Pillar - Burnt Ivory - 4""
1 of 1",$,"Our battery-operated pillar measures 4"" x 3"" and has the look of a candle that's been burning for a while, with drips of wax coming down the sides and the top with the uneven look of a melting candle. This candle has a grungy wax coating and a flame shaped tip to give the look and feel of a real candle. Requires 2 AAA batteries (not included).",https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/84383_Pathed.jpg?t=1462986758
"Dripped Pillar - Burnt Ivory - 3""",84380,"Home/Candles/Battery Operated Candles/Pillars/Dripped Pillar - Burnt Ivory - 3""
1 of 1",$,"Our battery-operated pillar measures 3"" x 2-1/5"" and has the look of a candle that's been burning for a while, with drips of wax coming down the sides and the top with the uneven look of a melting candle. This candle has a grungy wax coating and a flame shaped tip to give the look and feel of a real candle. Requires 2 AAA batteries (not included).",https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/84380_Pathed.jpg?t=1462986757
"Dripped Pillar - Burnt Mustard - 2-1/2""",84378,"Home/Candles/Battery Operated Candles/Pillars/Dripped Pillar - Burnt Mustard - 2-1/2""
1 of 1",$,"A shorter version of our battery-operated dripped pillar. Measures 2-1/5"" x 2-1/4"" and has the look of a candle that's been burning for a while, with drips of wax coming down the sides and the top with the uneven look of a melting candle. This candle has a grungy wax coating and a flame shaped tip to give the look and feel of a real candle. Requires 2 AAA batteries (not included).",https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/84378_Pathed.jpg?t=1462902482
"Dripped Pillar - Burnt Mustard - 4""",84384,"Home/Candles/Battery Operated Candles/Pillars/Dripped Pillar - Burnt Mustard - 4""
1 of 1",$,"Our battery-operated pillar measures 4"" x 3"" and has the look of a candle that's been burning for a while, with drips of wax coming down the sides and the top with the uneven look of a melting candle. This candle has a grungy wax coating and a flame shaped tip to give the look and feel of a real candle. Requires 2 AAA batteries (not included).",https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/84384_Pathed.jpg?t=1462895934
"Dripped Pillar - Burnt Mustard - 3""",84381,"Home/Candles/Battery Operated Candles/Pillars/Dripped Pillar - Burnt Mustard - 3""
1 of 1",$,"Our battery-operated pillar measures 3"" x 2-1/5"" and has the look of a candle that's been burning for a while, with drips of wax coming down the sides and the top with the uneven look of a melting candle. This candle has a grungy wax coating and a flame shaped tip to give the look and feel of a real candle. Requires 2 AAA batteries (not included).",https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/84381_Pathed.jpg?t=1462986757
Cabin In The Snow Ornament,33312,"Home/Seasonal/Ornaments & Tree Tags/Cabin in the Snow Ornament
1 of 1",$,"Two assorted round ornaments each measuring 3-1/4"" in diameter. Ornaments are decorated with designs of cabins in a snowy scene.

Designed by Donna White",https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/33312-cabin-in-the-now-asst1.jpg?t=1462465765
Christmas Barn Box Sign,33262,"Home/Seasonal/Winter/Christmas Barn Box Sign
1 of 1",$,"Two assorted box signs measuring 6"". Box signs feature a red and white barn with designs and sayings of wintertime.

Designed by Pat Isaacs",https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/33262-christmas-barn-box-sign-asst-2.jpg?t=1462465770
Christmas Carol Sign,33346,"Home/Home Accents/Signs & Blocks/Christmas Carol Sign
1 of 1",$,"Wood box sign measuring 10"" H x 8"" W features a vintage image of a girl caroling with glitter on her hat and the words ""Christmas Carols,"" reminiscent of Christmas magazine covers of the past. Box sign is free-standing or can be hung.",https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/33346_2.jpg?t=1462465779
Come Gather At Our Table Box Sign,33000,"Home/Home Accents/Wood Decor/Come Gather at Our Table Box Sign
1 of 1",$,"Self standing wood sign measuring 7"" x 7"" x 1"" is black with taupe letters and says ""Come Gather at Our Table."" A warm and inviting addition to any decor.",https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/33000-gather-at-our-table-sign.jpg?t=1464017312
Fall Gathering Pumpkin Plates - 3 Asst.,33230,"Home/Home Accents/Wood Decor/Decorative Plates/Fall Gathering Pumpkin Plates - 3 asst.
1 of 1",$,"Fall Gathering Pumpkin Plates are three assorted round plates measuring 9-1/2"" in diameter. Plates are adorned with buttons and feature designs of whimsical pumpkins and acorns. Plates read,",https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/33230-fall-gathering-plates-asst3.jpg?t=1462465766
Felt Sheep With Star,CS36067,"Home/Seasonal/Ornaments & Tree Tags/Felt Sheep with Star
1 of 1",$,No desc.,https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/CS36067_blk-star-felt-sheep-orn.jpg?t=1462465780
Fright This Way Sign,33310,"Home/Home Accents/Signs & Blocks/Fright This Way Sign
1 of 1",$,"Fright this Way Sign measures approximately 8"" W. Sign comes complete with wire for easy hanging.

Designed by Barbara Lloyd",https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/33310-framed-fright-this-way.jpg?t=1462465765
Happy Halloween Box Sign,33236,"Home/Home Accents/Signs & Blocks/Happy Halloween Box Sign
1 of 1",$,"Happy Halloween Box Sign measures approximately 5"" H and 11-1/2"" W. Sign features designs of spiderwebs, candy corn, and stars, with the words ""Happy Halloween.""

Designed by Michelle Kildow",https://thehearthsidecollection.com/shop/images/thumbnails/300/300/product/4/33236-halloween.jpg?t=1462465765
