DEBBIE ANN,TA0001,"QUICK OVERVIEW:
Toe Anklets. Shape of turquoise bead may vary.

Call 818-599-2477 to Order!",Debbie Ann is available for purchase in increments of 1,$28.00,"['Choose an Option...', 'Shoe Size:     5 1/2  to  7 (Small)', 'Shoe Size:     7 1/2  to 9 (Medium)', 'Shoe Size:     9 1/2  to 12 (Large)']",http://www.thejunglebee.com/media/catalog/product/cache/1/image/398x265/040ec09b1e35df139433887a97daa66f/t/a/398x265xta0001debbieann_1.jpg.pagespeed.ic.f0tOeyMQWp.webp
WORLD PEACE,TA0120,"QUICK OVERVIEW:
Toe Anklets - 2015 Line",World Peace is available for purchase in increments of 1,$25.00,"['Choose an Option...', 'Shoe Size:     5 1/2  to  7 (Small)', 'Shoe Size:     7 1/2  to 9 (Medium)', 'Shoe Size:     9 1/2  to 12 (Large)']",http://www.thejunglebee.com/media/catalog/product/cache/1/image/398x265/040ec09b1e35df139433887a97daa66f/w/o/398x265xworld-peace.jpg.pagespeed.ic.rMNVb627YD.webp
SARAH JENN,TA0005,"QUICK OVERVIEW:
Toe Anklets

Call 818-599-2477 to Order!",Sarah Jenn is available for purchase in increments of 1,$30.00,"['Choose an Option...', 'Shoe Size:     5 1/2  to  7 (Small)', 'Shoe Size:     7 1/2  to 9 (Medium)', 'Shoe Size:     9 1/2  to 12 (Large)']",http://www.thejunglebee.com/media/catalog/product/cache/1/image/398x265/040ec09b1e35df139433887a97daa66f/t/a/398x265xta0005sarahjenn_1.jpg.pagespeed.ic.GbAI6krNW-.webp
WATER LILLY,TA0119,"QUICK OVERVIEW:
Toe Anklets - 2015 Line",Water Lilly is available for purchase in increments of 1,$25.00,"['Choose an Option...', 'Shoe Size:     5 1/2  to  7 (Small)', 'Shoe Size:     7 1/2  to 9 (Medium)', 'Shoe Size:     9 1/2  to 12 (Large)']",http://www.thejunglebee.com/media/catalog/product/cache/1/image/398x265/040ec09b1e35df139433887a97daa66f/w/a/398x265xwater-lilly.jpg.pagespeed.ic.DycVLroQBe.webp
RED HEAD,TA0004,"QUICK OVERVIEW:
Toe Anklets

Call 818-599-2477 to Order!",Red Head is available for purchase in increments of 1,$24.00,"['Choose an Option...', 'Shoe Size:     5 1/2  to  7 (Small)', 'Shoe Size:     7 1/2  to 9 (Medium)', 'Shoe Size:     9 1/2  to 12 (Large)']",http://www.thejunglebee.com/media/catalog/product/cache/1/image/398x265/040ec09b1e35df139433887a97daa66f/t/a/398x265xta0004redhead_1.jpg.pagespeed.ic.twWBSpf-s_.webp
TAHITI BLUE,TA0118,"QUICK OVERVIEW:
Toe Anklets - 2015 Line",Tahiti Blue is available for purchase in increments of 1,$24.00,"['Choose an Option...', 'Shoe Size:     5 1/2  to  7 (Small)', 'Shoe Size:     7 1/2  to 9 (Medium)', 'Shoe Size:     9 1/2  to 12 (Large)']",http://www.thejunglebee.com/media/catalog/product/cache/1/image/398x265/040ec09b1e35df139433887a97daa66f/t/a/398x265xtahiti-blue.jpg.pagespeed.ic.cOj3UaIrpR.webp
JUICY RED,TA0002,"QUICK OVERVIEW:
Toe Anklets

Call 818-599-2477 to Order!",Juicy Red is available for purchase in increments of 1,$24.00,"['Choose an Option...', 'Shoe Size:     5 1/2  to  7 (Small)', 'Shoe Size:     7 1/2  to 9 (Medium)', 'Shoe Size:     9 1/2  to 12 (Large)']",http://www.thejunglebee.com/media/catalog/product/cache/1/image/398x265/040ec09b1e35df139433887a97daa66f/t/a/398x265xta0002juicyred_1.jpg.pagespeed.ic.t27zkt2ee7.webp
SUMMER BREEZE,TA0117,"QUICK OVERVIEW:
Toe Anklets - 2015 Line",Summer Breeze is available for purchase in increments of 1,$26.00,"['Choose an Option...', 'Shoe Size:     5 1/2  to  7 (Small)', 'Shoe Size:     7 1/2  to 9 (Medium)', 'Shoe Size:     9 1/2  to 12 (Large)']",http://www.thejunglebee.com/media/catalog/product/cache/1/image/398x265/040ec09b1e35df139433887a97daa66f/s/u/398x265xsummer-breeze.jpg.pagespeed.ic.np0goX4T_0.webp
SILVERKNIGHT,TA0016,"QUICK OVERVIEW:
Toe Anklets

Call 818-599-2477 to Order!",SilverKnight is available for purchase in increments of 1,$24.00,"['Choose an Option...', 'Shoe Size:     5 1/2  to  7 (Small)', 'Shoe Size:     7 1/2  to 9 (Medium)', 'Shoe Size:     9 1/2  to 12 (Large)']",http://www.thejunglebee.com/media/catalog/product/cache/1/image/398x265/040ec09b1e35df139433887a97daa66f/t/a/398x265xta0016silverknight_1.jpg.pagespeed.ic.B3hHiNCg8h.webp
SONOMA,TA0116,"QUICK OVERVIEW:
Toe Anklets - 2015 Line",Sonoma is available for purchase in increments of 1,$26.00,"['Choose an Option...', 'Shoe Size:     5 1/2  to  7 (Small)', 'Shoe Size:     7 1/2  to 9 (Medium)', 'Shoe Size:     9 1/2  to 12 (Large)']",http://www.thejunglebee.com/media/catalog/product/cache/1/image/398x265/040ec09b1e35df139433887a97daa66f/s/o/398x265xsonoma.jpg.pagespeed.ic.LjSsnNl9sh.webp
