"GRAPEVINE AND BURLAP FLOWER, 16 X 16",4381,2,$5.50 ,6,$4.68 ,24,$3.85 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4381_54a326b376699.jpg,4381_54a326b376699.jpg
"RICE BERRY PICK W/STARS, 12IN, HW, BLUE, YELLOW, GREEN",2002BL-YE-GR,6,$2.50 ,12,$2.13 ,144,$1.75 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/2002BL_YE_GR_5851bc5055bc0.jpg,2002BL_YE_GR_5851bc5055bc0.jpg
"MIXED BERRY GARLAND W/STAR & LEAVES, HW, 53IN , ORANGE/RED/BLACK/BROWN",2478A-OR-RE-BK-BR,2,$15.50 ,6,$9.00 ,,,http://floralkmi.com/components/com_virtuemart/shop_image/product/2478A_OR_RE_BK_B_5820ce71d9551.jpg,2478A_OR_RE_BK_B_5820ce71d9551.jpg
"BUTTON GARLAND WITH COORDINATING MIXED BERRIES, 53 IN., BLACK, BURGUNDY, GREEN",4439G BK-BU-GR,2,$15.50 ,6,$9.00 ,,,http://floralkmi.com/components/com_virtuemart/shop_image/product/4439G_BK_BU_GR_5820d8f59aec8.jpg,4439G_BK_BU_GR_5820d8f59aec8.jpg
"BUTTON GARLAND WITH COORDINATING MIXED BERRIES, 53 IN., GREEN, TAN, MIX",4439G GR-TA-MX,2,$15.50 ,6,$9.00 ,,,http://floralkmi.com/components/com_virtuemart/shop_image/product/4439G_GR_TA_MX_5820d72957c98.jpg,4439G_GR_TA_MX_5820d72957c98.jpg
"BUTTON GARLAND WITH COORDINATING MIXED BERRIES, 53 IN., ORANGE, BURGUNDY, BROWN",4439G OR-BU-BR,2,$15.50 ,6,$9.00 ,,,http://floralkmi.com/components/com_virtuemart/shop_image/product/4439G_OR_BU_BR_5820d9bb960fa.jpg,4439G_OR_BU_BR_5820d9bb960fa.jpg
"BUTTON WREATH WITH COORDINATING MIXED BERRIES, SET OF 2, 10 IN. DIA. RIM, 4 IN. DIA. RIM, BLACK, BURGUNDY, GREEN",4439W BK-BU-GR,1,$28.50 ,2,$24.23 ,6,$19.95 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4439W_BK_BU_GR_5820dc4c93e26.jpg,4439W_BK_BU_GR_5820dc4c93e26.jpg
"BUTTON WREATH WITH COORDINATING MIXED BERRIES, SET OF 2, 10 IN. DIA. RIM, 4 IN. DIA. RIM, GREEN, TAN, MIX",4439W GR-TA-MX,1,$28.50 ,2,$24.23 ,6,$19.95 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4439W_GR_TA_MX_5820dc723d8b9.jpg,4439W_GR_TA_MX_5820dc723d8b9.jpg
"BUTTON WREATH WITH COORDINATING MIXED BERRIES, SET OF 2, 10 IN. DIA. RIM, 4 IN. DIA. RIM, ORANGE, BURGUNDY, BROWN",4439W OR-BU-BR,1,$28.50 ,2,$24.23 ,6,$19.95 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4439W_OR_BU_BR_5820de5be4fc0.jpg,4439W_OR_BU_BR_5820de5be4fc0.jpg
"MIXED FLOWER SPRAY, 26 IN, HW, ORANGE, YELLOW, MIX",4440S OR-YE-MX,2,$5.00 ,6,$4.25 ,60,$3.50 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4440S_OR_YE_MX_5823691d3868e.jpg,4440S_OR_YE_MX_5823691d3868e.jpg
"FORSYTHIA DROP, 29IN., YELLOW",4441D YE,2,$14.50 ,4,$12.33 ,24,$10.15 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4441D_YE_5820cf2fc1e02.jpg,4441D_YE_5820cf2fc1e02.jpg
"FORSYTHIA SPRAY, 27 IN., YELLOW",4441S YE,2,$3.50 ,6,$2.98 ,60,$2.45 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4441S_YE_5820fd5bbcc4d.jpg,4441S_YE_5820fd5bbcc4d.jpg
"FORSYTHIA AND FLOWER DROP, 29 IN., RED, YELLOW",4442D RE-YE,2,$14.50 ,4,$12.33 ,24,$10.15 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4442D_RE_YE_5820d5c83bdd9.jpg,4442D_RE_YE_5820d5c83bdd9.jpg
"FORSYTHIA AND FLOWER SPRAY, 27 IN., RED, YELLOW",4442S RE-YE,2,$3.50 ,6,$2.98 ,60,$2.45 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4442S_RE_YE_5820fd7caf6ea.jpg,4442S_RE_YE_5820fd7caf6ea.jpg
"BURLAP NEWSPRINT FLOWER SPRAY, 24 IN., BLUE",4444S BL,6,$2.25 ,12,$1.92 ,72,$1.58 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4444S_BL_582100c25e9a9.jpg,4444S_BL_582100c25e9a9.jpg
"BURLAP NEWSPRINT FLOWER SPRAY, 24 IN., ORANGE",4444S OR,6,$2.25 ,12,$1.92 ,72,$1.58 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4444S_OR_582102df746cb.jpg,4444S_OR_582102df746cb.jpg
"BURLAP NEWSPRINT FLOWER SPRAY, 24 IN., YELLOW",4444S YE,6,$2.25 ,12,$1.92 ,72,$1.58 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4444S_YE_582103027ef85.jpg,4444S_YE_582103027ef85.jpg
"AMERICANA MIXED BERRY WREATH SET, SET OF 2, 10 IN. DIA. RIM, 4 IN. DIA. RIM, BURGUNDY, NAVY BLUE, CREAM",4445W BU-NBL-CR,1,$28.50 ,2,$24.23 ,6,$19.95 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4445W_BU_NBL_CR_5820df0980f72.jpg,4445W_BU_NBL_CR_5820df0980f72.jpg
"BURLAP FLOWER SPRAY, 24 IN., BROWN",4446S BR,2,$5.00 ,6,$4.25 ,60,$3.50 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4446S_BR_5820fc095ef92.jpg,4446S_BR_5820fc095ef92.jpg
"GRAPEVINE STAR WITH RICE BERRIES AND TIN STAR, 8.75 IN. X 6.5 IN., BURGUNDY, CREAM",4447BU-CR,3,$4.00 ,6,$3.40 ,36,$2.80 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4447BU_CR_58220af264c2f.jpg,4447BU_CR_58220af264c2f.jpg
"GRAPEVINE STAR WITH RICE BERRIES AND TIN STAR, 8.75 IN. X 6.5 IN., CREAM",4447CR,3,$4.00 ,6,$3.40 ,36,$2.80 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4447CR_58220b1182286.jpg,4447CR_58220b1182286.jpg
"GRAPEVINE STAR WITH RICE BERRIES AND TIN STAR, 8.75 IN. X 6.5 IN., RED",4447RE,3,$4.00 ,6,$3.40 ,36,$2.80 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4447RE_5822275d3cb7b.jpg,4447RE_5822275d3cb7b.jpg
"GRAPEVINE STAR WITH RICE BERRIES AND TIN STAR, 8.75 IN. X 6.5 IN., SUNSET ORANGE",4447SU-OR,3,$4.00 ,6,$3.40 ,36,$2.80 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4447SU_OR_5822277ee04f2.jpg,4447SU_OR_5822277ee04f2.jpg
"RANUNCULUS BOUQUET, 18 IN., PINK, PURPLE, MAGENTA",4448B PI-PU-MG,2,$6.50 ,6,$5.53 ,24,$4.55 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4448B_PI_PU_MG_5821f9af467aa.jpg,4448B_PI_PU_MG_5821f9af467aa.jpg
"RANUNCULUS DROP, 26 IN., PINK, PURPLE, MAGENTA",4448D PI-PU-MG,2,$14.50 ,4,$12.33 ,12,$10.15 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4448D_PI_PU_MG_58220673c3a73.jpg,4448D_PI_PU_MG_58220673c3a73.jpg
"4.5 IN. DAHLIA CANDLE RING, 4.5 IN. RIM, RED, ORANGE, YELLOW",4449CL RE-OR-YE,2,$5.00 ,6,$4.25 ,60,$3.50 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4449CL_RE_OR_YE_5823715576385.jpg,4449CL_RE_OR_YE_5823715576385.jpg
"6.5 IN. DAHLIA CANDLE RING, 6.5 IN. RIM, RED, ORANGE, YELLOW",4449CX RE-OR-YE,2,$6.00 ,6,$5.10 ,60,$4.20 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4449CX_RE_OR_YE_5823717e0b3a4.jpg,4449CX_RE_OR_YE_5823717e0b3a4.jpg
"DAHLIA PICK, 11 IN., RED, ORANGE, YELLOW",4449P RE-OR-YE,12,$1.25 ,24,$1.07 ,240,$0.88 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4449P_RE_OR_YE_582371cd54da7.jpg,4449P_RE_OR_YE_582371cd54da7.jpg
"DAHLIA SPRAY, 25 IN., RED, ORANGE, YELLOW",4449S RE-OR-YE,2,$4.00 ,6,$3.40 ,60,$2.80 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4449S_RE_OR_YE_582371f352426.jpg,4449S_RE_OR_YE_582371f352426.jpg
"4.5 IN. EGG, FLOWER AND BERRY CANDLE RING, 4.5 IN. RIM, PURPLE, YELLOW, GREEN",4450CL PU-YE-GR,6,$5.00 ,12,$4.25 ,48,$3.50 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4450CL_PU_YE_GR_5823728b60116.jpg,4450CL_PU_YE_GR_5823728b60116.jpg
"6.5 IN. EGG, FLOWER AND BERRY CANDLE RING, 6.5 IN. RIM, PURPLE, YELLOW, GREEN",4450CX PU-YE-GR,6,$6.00 ,12,$5.10 ,48,$4.20 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4450CX_PU_YE_GR_582372aee688f.jpg,4450CX_PU_YE_GR_582372aee688f.jpg
"EGG, FLOWER AND BERRY SPRAY, 24 IN., PURPLE, YELLOW, GREEN",4450S PU-YE-GR,2,$3.50 ,6,$2.98 ,60,$2.45 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/4450S_PU_YE_GR_582372f7e8075.jpg,4450S_PU_YE_GR_582372f7e8075.jpg
"FALL SPRAY W/SUNFLOWER, WHEAT, BERRIES AND FALL LEAVES, 31 IN, HW",FA017S,6,$6.00 ,12,$5.10 ,48,$4.20 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/FA017S_5823a3b3ee4f4.jpg,FA017S_5823a3b3ee4f4.jpg
"MINI PUMPKIN WREATH W/RICE BERRIES AND TWINE, 10 IN RIM, HW",FA020W,1,$15.00 ,1,$15.00 ,6,$12.75 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/FA020W_5823a3db84444.jpg,FA020W_5823a3db84444.jpg
"LONG NEEDLE PINE GARLAND W/BURLAP BOWS, PLAID BOWS, BERRIES, PINE CONES AND BELLS, 62 IN, HW",X023G,2,$18.50 ,6,$15.73 ,24,$12.95 ,http://floralkmi.com/components/com_virtuemart/shop_image/product/X023G_5824ddac51e98.jpg,X023G_5824ddac51e98.jpg
,4449CL RE-OR-YE,,,,,,,,
,4450CL PU-YE-GR,,,,,,,,
,4449CX RE-OR-YE,,,,,,,,
,4366CX BOR-OL-TA,,,,,,,,
,4450CX PU-YE-GR,,,,,,,,
,4445W BU-NBL-CR,,,,,,,,
,4446S BR,,,,,,,,
,4444S BL,,,,,,,,
,4444S OR,,,,,,,,
,4444S YE,,,,,,,,
,4439G BK-BU-GR,,,,,,,,
,4439G GR-TA-MX,,,,,,,,
,4439G OR-BU-BR,,,,,,,,
,4439W BK-BU-GR,,,,,,,,
,4439W GR-TA-MX,,,,,,,,
,4439W OR-BU-BR,,,,,,,,
,4449P RE-OR-YE,,,,,,,,
,4449S RE-OR-YE,,,,,,,,
,4450S PU-YE-GR,,,,,,,,
,FA017S,,,,,,,,
,4442D RE-YE,,,,,,,,
,4442S RE-YE,,,,,,,,
,2809LTYE,,,,,,,,
,2809SG,,,,,,,,
,4441D YE,,,,,,,,
,4441S YE,,,,,,,,
,4381,,,,,,,,
,4447BU-CR,,,,,,,,
,4447CR,,,,,,,,
,4447RE,,,,,,,,
,4447SU-OR,,,,,,,,
,X023G,,,,,,,,
,FA020W,,,,,,,,
,2478A OR-RE-BK-BR,,,,,,,,
,2470PL-SBL-BR-MX,,,,,,,,
,4440S OR-YE-MX,,,,,,,,
,4448B PI-PU-MG,,,,,,,,
,4448D PI-PU-MG,,,,,,,,
,2002BL-YE-GR,,,,,,,,
,X021G,,,,,,,,
