HAND FORGED NAIL,32-1798,No cat,24,$1.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/32-1798_600x450.jpg,32-1798_600x450.jpg
HEART HOOK,32-1993,No cat,12,$1.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/32-1993.jpg,32-1993.jpg
STAR CANDLE HOLDER,32-2115,No cat,12,$1.50 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/32-2115.jpg,32-2115.jpg
LIGHT HOOK,32-2150,No cat,12,$2.75 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/32-2150.jpg,32-2150.jpg
BISHOPS LAMP,32-2248,No cat,2,$40.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/32-2248.jpg,32-2248.jpg
SMALL SPIRAL HOOK,32-2258,No cat,12,$0.75 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/32-2258.jpg,32-2258.jpg
QUAKER HOOK,32-2259,No cat,24,$0.75 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/32-2259.jpg,32-2259.jpg
KEY HOOK,32-2260,No cat,12,$0.75 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/32-2260.jpg,32-2260.jpg
SMALL SPADE HANDLE,32-2261,No cat,12,$1.50 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/32-2261.jpg,32-2261.jpg
MEDIUM SPADE HANDLE,32-2262,No cat,12,$1.75 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/32-2262.jpg,32-2262.jpg
LARGE SPADE HANDLE,32-2263,No cat,12,$1.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/32-2263.jpg,32-2263.jpg
"RAMS HEAD 16"" TOWEL BAR",32-2272,No cat,4,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/32-2272.jpg,32-2272.jpg
LARGE COAT HOOK,32-2282,No cat,12,$3.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/32-2282.jpg,32-2282.jpg
TWISTED RAM HOOK,32-2284,No cat,12,$4.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/32-2284.jpg,32-2284.jpg
INDUSTRIAL KEY HOOK,32-2285,No cat,24,$1.75 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/32-2285.jpg,32-2285.jpg
LARGE SPIRAL HOOK,32-2286,No cat,12,$0.75 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/32-2286.jpg,32-2286.jpg
TWISTED HEART HOOK,32-2288,No cat,12,$4.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/32-2288.jpg,32-2288.jpg
SMALL VICTORIAN HOOK,32-2289,No cat,12,$1.50 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/32-2289.jpg,32-2289.jpg
ROUND STAR SCONCE,32-2303,No cat,2,$8.50 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/32-2303.jpg,32-2303.jpg
17TH CENTURY CANDLE LIGHT,32-2318,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/32-2318.jpg,32-2318.jpg
THREE ARM HANGING CANDLE HOLDER,32-2323,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/32-2323.jpg,32-2323.jpg
"10"" CANDLE RING",32-2326,No cat,2,$3.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/32-2326.jpg,32-2326.jpg
STAR HOOK,32-2337,No cat,12,$2.50 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/32-2337.jpg,32-2337.jpg
VICTORIAN HOOK AVAIL JAN 2018,32-2350,No cat,12,$2.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/32-2350.jpg,32-2350.jpg
"MEDIUM EXPANDABLE STAR CURTAIN ROD 38""-64""",38SCR,No cat,4,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/CRSL.jpg,CRSL.jpg
BLACK TICKING LONG RUNNER AVAILABLE OCTOBER 2017,40281LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/40281LR_600x419.jpg,40281LR_600x419.jpg
BLACK TICKING SHORT RUNNER AVAILABLE AUGUST 2017,40281SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/40281SR_600x419.jpg,40281SR_600x419.jpg
"CREME/GREY CHECK LONG RUNNER 14""X56"" AVAIL SEPT 2017",40318CLR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/40318C.jpg,40318C.jpg
"TAN & BLACK CHECK LONG RUNNER 16"" X 52"" AVAILABLE AUGUST 2017",40318LRB,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/40318SSB.jpg,40318SSB.jpg
"TAN & CRANBERRY CHECK LONG RUNNER 16"" X 52""",40318LRC,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/40318SSC.jpg,40318SSC.jpg
"TAN & BLACK CHECK SHORT RUNNER 16"" X 36""",40318SRB,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/40318SSB.jpg,40318SSB.jpg
"TAN & CRANBERRY CHECK SHORT RUNNER 16"" X 36"" AVAILABLE OCTOBER 2017",40318SRC,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/40318SSC.jpg,40318SSC.jpg
"FARMER'S ROW LONG RUNNER GREY/BLACK 14""X56"" AVAIL SEPT 2017",40319GBLR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/40319GB.jpg,40319GB.jpg
"FARMER'S ROW LONG RUNNER GREY/CREME 14""X56"" AVAIL SEPT 2017",40319GCLR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/40319GC.jpg,40319GC.jpg
"COTTAGE CHECK GREY/CREAM LONG RUNNER 14""X56"" AVAIL AUG 2017",40321GLR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/40321G.jpg,40321G.jpg
"COTTAGE CHECK GRAY/NAVY LONG RUNNER 14""X56"" AVAIL AUG 2017",40321NLR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/40321N.jpg,40321N.jpg
