PD_Home_&_Garden_8055.xls,[u'Currently In Stock']
Christian_Art_Gifts_8080.xls,[u'']
Rose_of_Sharon_Home_Fragrances_7987.xls,"[u'', u'Please choose label type, Vintage White of Primitive Kraft.']"
Sallyeander_Soaps_7880.xls,[u'']
Sea_Stones_Products_8028.xls,"[u'', u'Stone Wine Glasses sold separately.']"
Skull_Duggery_8093.xls,[u'']
KMI_International_8099.xls,"[u'', u'SOLDOUT', u'SOLD OUT']"
Coast_Lamp_Mfg._7936.xls,"[u'', u'Table Lamp', u'Table lamp ', u'Accent Bench', u'Home D\xe9cor Accessory', u'Fireplace Accessory', u'WOODEN TRAYS', u'Accent Furniture ', u'Accent Table', u'Bath Accessory ', u'Tray Lamp', u'Wall D\xe9cor ', u'Coat Rack ', u'Floor Lamp ', u'Wall D\xe9cor']"
Crosswalks_8102.xls,"[u'', u'Add $0.5 for Name Drops']"
Pine_Valley_Pictures_6344.xls,"[u'Artist: Andreas Lie', u'Artist: Annie LaPoint', u'Artist: Anthony Smith', u'Artist: April Chavez', u'Artist: Atkins, Donna ', u'Artist: Ball, Susan', u'Artist: Billy Jacobs', u'Artist: BLUEBIRD BARN', u'Artist: Boyer, Susie', u'Artist: Britton, Pam', u'Artist: Cindy Jacobs', u'Artist: Cloverfield & Co', u'Artist: Cowdrey, Richard', u'Artist: Crawford, Tonya ', u'Artist: Deb Strain', u'Artist: Debi Coules', u'Artist: Dee Dee', u'Artist: Deiter, Lori', u'Artist: DeWitt, Debbie', u'Artist: Diane Weaver', u'Artist: Eads, Gail', u'Artist: Gail Eads', u'Artist: Georgia Janisse', u'Artist: Hansel, Jim', u'Artist: Hilliker, Lisa', u'Artist: Imperfect Dust', u'Artist: Jacobs, Billy', u'Artist: Jacobs, Cindy', u'Artist: Cushman, Cassandra', u'Artist: Jacobs, Cindy ', u'Artist: Janisse, Georgia', u'Artist: Jaxn Blvd', u'Artist: Jaxn Blvd.', u'Artist: Jennings, Kathy', u'Artist: Jim Hansel', u'Artist: John Jones', u""Artist: John Jone's Photography"", u'Artist: John Rossini', u'Artist: Justin Spivey', u'Artist: Karen Tribett', u'Artist: Kendra Runnels (Baird)', u'Artist: Kennedy, Lisa', u'Artist: Kim Norlien Fine Art', u'Artist: Norlien, Kim', u'Artist: Knoff, Carrie', u'Artist: LaPoint, Annie ', u'Artist: Lauren Rader', u'Artist: Levy, Moises', u'Artist: Linda Arandas', u'Artist: Linda Spivey', u'Artist: Lisa Kennedy', u'Artist: Lisa Larson', u'Artist: Lisa Morales', u'Artist: Lori Deiter', u'Artist: Mamabird Prints', u'Artist: Marla Rae', u'Artist: Martin Podt', u'Artist: Mary Ann June', u'Artist: Mary Goddard', u'Artist: Michele Norman', u'Artist: Michelle, Misty', u'Artist: Misty Michelle', u'Artist: Mohr, Bonnie', u'Artist: Mollie B', u'Artist: Podt, Martin', u'Artist: Chase, Dotty ', u'Artist: Quillen, Donnie', u'Artist: Rader, Lauren', u'Artist: Rae, Marla', u'Artist: Robin Lee Vieira', u'Artist: Rossini, John', u'Artist: Sara Baker', u'Artist: Seven Trees Design', u'Artist: Smith, Anthony', u'Artist: Spivey, Justin', u'Artist: Spivey, Linda ', u'Artist: Strain, Deb', u'Artist: Susan Ball', u'Artist: Susie Boyer', u'Artist: Tribett, Karen', u'Artist: Turley, Glenda', u'Artist: Vieira, Robin-Lee', u'Artist: Wargo, Ed', u'Artist: Weaver, Diane', u'Artist: White Ladder', u'']"
J&J_Wire_772.xls,[u'']
Primitives_at_Crow_Hollow_8007.xls,[u'']
CLM_Enterprise_Rugs_7920.xls,[u'IN STOCK & Shipping']
The_Hearthside_Collection_8081.xls,[u'']
Beach_Frames_8006.xls,[u'']
Raghu_-_Home_Collections_273.xls,"[u'Out of stock', u'In stock & shipping (checked Nov 28)']"
Bedrock_Fir_Needle_Products_8104.xls,[u'']
Vickie_Jeans_Creations_7840.xls,"[u'', u'Please note our chambers do not come with a glass globe any longer']"
Country_Home_Creations_7931.xls,"[u'', u'Price is for 12', u'Price is for 6']"
McCall's_Candles_8031.xls,"[u'', u'Minimum is just 3 per scent. But you must have 12 candles total in this size for shipping. So order 2, 3 or 4 scents but total ordered of one size must be 12.', u'Reeds Sell In Cases Of 6/May Mix Fragrances In Case']"
KMI_International_7898.xls,"[u'In Stock & Shipping', u'SOLDOUT', u'BACK IN STOCK ', u'ADD', u'']"
Flags_Galore_Decor_8072.xls,[u'']
Things_Western_8078.xls,[u'']
Kraft_Klub_8020.xls,"[u'Currently In Stock', u'']"
Heartwood_Hollow_Signs_7905.xls,"[u'', u'16\u201d Lake Signs', u'3\u2019 Wide Plank Lake Signs', u'Butterscotch', u'Chocolate', u'Antique White', u'Black', u'Cappuccino', u'Christina Miller', u'Dorine Mullet', u'Rosemary Schmucker', u'Lyndon Gehman', u'Henry Rowen', u'Lori Deiter', u'Lauren Rader', u'Heartland Art Collection', u'Leona Lapp', u'Cream', u'Annie LaPoint', u'Susie Boyer', u'Cindy Jacobs', u'Marla Rae', u'Susan Ball', u'Bonnie Mohr', u'John Jones', u'Mollie B.', u'Robin-Lee Vieira', u'Tonya Crawford', u'Doyle Yoder', u'David Arment', u'Billy Jacobs', u'Pam Britton', u'Elliot Mullet', u'Michael Matti', u'Robert Goldwitz', u'Wayne Bradbury', u'Artist:Heartland Art Collection', u'Artist:Leona Lapp', u'Artist:Elliot Mullet', u'Artist:David Arment', u'Artist:Lyndon Gehman', u'Artist:Wayne Bradbury', u'Artist:Dan Ballard', u'Artist:Michael Matti', u'Artist:Imperfect Dust', u'Artist:Cindy Jacobs', u'Artist:Deb Strain', u'Artist:George Janisse', u'Artist:Jaxn Blvd.', u'Artist:Karen Tribett', u'Artist:Lori Deiter', u'Artist:Mary Ann June', u'Artist:Marla Rae', u'Artist:Misty Michelle', u'Artist:Susan Ball', u'Artist:Noonday Design', u'Artist:Anthony Smith', u'Artist:Billy Jacobs', u'Artist:Diane Weaver', u'Artist:Glynda Turley', u'Artist:Jim Hansel', u'Artist:Mollie B.', u'Artist:Martin Podt', u'Artist:Robin-Lee Vieira', u'Artist:Jen Killeen', u'Artist:The Sorelle Studios', u'Artist:Hartworks', u'Artist:Annie Lapoint', u'Artist:Bonnie Mohr', u'Artist:John Rassini', u'Artist:Kim Norlien', u'Artist:Antique White', u'Artist:Red Delicious', u'Artist:Weathered Gray', u'Red Delicious', u'Rustic Black', u'Hayden Lambson', u'John Cogan', u'Rosemary Millette', u'Dan Ballard', u'Jim Hansel', u'Dallen Lambson', u'Artist:Elliot Mullett']"
Whiskey_Mountain_7958.xls,"[u'In Stock', u'Sold out', u'']"
VIP_International_Home_&_Garden_8047.xls,"[u'', u'In stock', u'Out of stock']"
Zaer_Ltd._International_8110.xls,[u'']
A_Cheerful_Giver_Closeouts_8087.xls,[u'']
Channel_Craft_7883.xls,[u'']
The_French_Bee_8032.xls,[u'']
Noble_Objects_Literary_Candles_8107.xls,[u'']
DNS_Designs_7952.xls,[u'']
Adams_&_Co_Closeouts_7957.xls,"[u'Buy One sale product and we will add a second of the same one. The second one will not show on the order but we will confirm your order by email that you are getting 2 for price of 1', u'In stock & shipping']"
Ann_Clark_Cookie_Cutters_7911.xls,[u'']
Rowe_Pottery_7985.xls,"[u'', u'RECEIVE 2 OF EACH COLOR LISTED']"
Kraft_Klub_Closeouts_8042.xls,"[u'""25% OFF for minimum order, 50% OFF for case   Sale price already displayed.""', u'', u'""25% OFF for minimum order, 40% OFF for case   Sale price already displayed.""']"
Honey_&_Me_7849.xls,[u'']
Floral_Treasure_778.xls,[u'']
