'@ @ [1/4] | Clear Quartz Woven Necklace',80000A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,'',,1,$99.99,4,$95.00,,,1,K&K400,K&K160,,,,,,
'[1/6] | 8 Inch Flat Faceted Black Agate Bracelet',80009A-BK,JWL030,20171123,In stock & shipping checked (Nov 22nd),$19.99,,,'',,1,$39.99,6,$38.00,,,1,K&K400,K&K160,,,,,,
'[1/6] | 8 Inch Flat Faceted Botswana Agate',80009A-BL,JWL030,20171123,In stock & shipping checked (Nov 22nd),$19.99,,,'',,1,$39.99,6,$38.00,,,1,K&K400,K&K160,,,,,,
'[1/6] | 8 Inch Flat Faceted Carnelian Bracelet',80009A-OR,JWL030,20171123,In stock & shipping checked (Nov 22nd),$19.99,,,'',,1,$39.99,6,$38.00,,,1,K&K400,K&K160,,,,,,
'[1/4] | 17 Inch Flat Faceted Black Agate Necklace',80016A-BK,JWL030,20171123,In stock & shipping checked (Nov 22nd),$39.99,,,'',,1,$79.99,4,$76.00,,,1,K&K400,K&K160,,,,,,
'[1/6] | 17 Inch Back Agate Necklace',80016A-GY,JWL030,20171123,In stock & shipping checked (Nov 22nd),$24.99,,,'',,1,$49.99,6,$47.50,,,1,K&K400,K&K160,,,,,,
'[1/4] | 17 Inch Dyed Quartz Necklace',80016A-MULTI,JWL030,20171123,In stock & shipping checked (Nov 22nd),$34.99,,,'',,1,$69.99,4,$66.50,,,1,K&K400,K&K160,,,,,,
'[2/12] | Cream Pearl Necklace and Earring Set',80021A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'18""L w/3"" extender EARRINGS: 2""L'",,2,$17.50,12,$16.65,,,2,K&K400,K&K160,,,,,,
'[2/12] | Rust and Cream Bead Stretch Bracelet',80023A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$4.99,,,'',,2,$9.99,12,$9.50,,,2,K&K400,K&K160,,,,,,
'[1/12] | Amber Bead Necklace and Earring Set',80030A-AM,JWL030,20171123,In stock & shipping checked (Nov 22nd),$14.99,,,'',,1,$29.99,12,$28.50,,,1,K&K400,K&K160,,,,,,
'[2/12] | Crystal Bead Necklace and Earring Set',80031B-CL,JWL030,20171123,In stock & shipping checked (Nov 22nd),$11.25,,,'',,2,$22.50,12,$21.40,,,2,K&K400,K&K160,,,,,,
'[2/12] | Gold Bead with Bow Bracelet',80032A-AM,JWL030,20171123,In stock & shipping checked (Nov 22nd),$6.25,,,'',,2,$12.50,12,$11.90,,,2,K&K400,K&K160,,,,,,
'[2/12] | Clear Bead with Bow Bracelet',80032A-CL,JWL030,20171123,In stock & shipping checked (Nov 22nd),$6.25,,,'',,2,$12.50,12,$11.90,,,2,K&K400,K&K160,,,,,,
'[2/12] | Silver Disc Necklace and Earring Set',80034A-SI,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'41""L w/2"" extender EARRINGS 1.25""L'",,2,$12.50,12,$11.90,,,2,K&K400,K&K160,,,,,,
'@ @ [2/12] | Black Bead and Stone Rings Bracelet',80051A-BK,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,'',,2,$9.99,12,$9.50,,,2,K&K400,K&K160,,,,,,
'[2/12] | Silver Bead and Stone Rings Bracelet',80051A-SI,JWL030,20171123,In stock & shipping checked (Nov 22nd),$4.99,,,"'2""Dia.'",,2,$9.99,12,$9.50,,,2,K&K400,K&K160,,,,,,
'@ @ [2/12] | Silver Bead and Stone Necklace and Earring Set',80051B-SI,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'16""L w/3.5"" extender'",,2,$14.99,12,$14.25,,,2,K&K400,K&K160,,,,,,
'[2/12] | Gold Stretch Ring with Gold and Glass Gems',80058A-GD,JWL030,20171123,In stock & shipping checked (Nov 22nd),$5.49,,,'',,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'[2/12] | Gold Dangle Black Earrings with Glass Stones',80060A-GD,JWL030,20171123,In stock & shipping checked (Nov 22nd),$6.25,,,'',,2,$12.50,12,$11.90,,,2,K&K400,K&K160,,,,,,
'[2/12] | Silver Dangle Earrings with Glass Stones',80060A-SI,JWL030,20171123,In stock & shipping checked (Nov 22nd),$6.25,,,'',,2,$12.50,12,$11.90,,,2,K&K400,K&K160,,,,,,
'[1/6] | Champagne Flower Bead Necklace and Earring Set',80063A-CHAMP,JWL030,20171123,In stock & shipping checked (Nov 22nd),$29.99,,,"'17""L w/3 extender PENDANT: 3""L x 7""W EARRINGS: 2""L'",,1,$59.99,6,$57.00,,,1,K&K400,K&K160,,,,,,
'[1/6] | Clear Beaded Necklace and Earring Set',80065A-CL,JWL030,20171123,In stock & shipping checked (Nov 22nd),$22.49,,,'',,1,$44.99,6,$42.75,,,1,K&K400,K&K160,,,,,,
'@ @ [1/12] | Black and Gray Glass Flower Necklace and Earring Set',80066A-BKGY,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'17.5""L PENDANT: 3""L x 7""W EARRINGS: 1.25""L'",,1,$29.99,12,$28.50,,,1,K&K400,K&K160,,,,,,
'@ @ [1/12] | Black Crystal Square Bead Necklace and Earring Set',80067A-BR,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,'',,1,$29.99,12,$28.50,,,1,K&K400,K&K160,,,,,,
'[1/12] | Clear Square Bead Necklace and Earring Set',80067A-CL,JWL030,20171123,In stock & shipping checked (Nov 22nd),$14.99,,,'',,1,$29.99,12,$28.50,,,1,K&K400,K&K160,,,,,,
'[SO][2/12] | Silver and Clear Square Stone Earrings',80069A-SICL,JWL030,20180323,Out of stock - order to ship after 03-23-2018,,,,"'1.5""L x 1.5""W'",,2,$6.50,12,$6.20,,,2,K&K400,K&K160,,,,,,
'[1/12] | Silver Cameo Style Bead and Charm Necklace and Earring Set',80088A-SI,JWL030,20171123,In stock & shipping checked (Nov 22nd),$13.75,,,'',,1,$27.50,12,$26.15,,,1,K&K400,K&K160,,,,,,
'[2/12] | Square with Cross Pendant',80096A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$4.99,,,"'2.5""L x 2.5""W'",,2,$9.99,12,$9.50,,,2,K&K400,K&K160,,,,,,
'[2/12] | Lavender Crystal Cross Pendant',80097A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$5.49,,,"'3""L x 2""W'",,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'[2/12] | Gold Copper and Silver Crystal Heart Ring',80098A-GD,JWL030,20171123,In stock & shipping checked (Nov 22nd),$3.75,,,'',,2,$7.50,12,$7.15,,,2,K&K400,K&K160,,,,,,
'@ @ [2/12] | Gunmetal Bead Charm Locket Necklace and Earring Set',80107A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,'',,2,$29.99,12,$28.50,,,2,K&K400,K&K160,,,,,,
'[2/12] | Multi Metal Flower Ring',80113A-MULTI,JWL030,20171123,In stock & shipping checked (Nov 22nd),$3.75,,,"'2""Dia.'",,2,$7.50,12,$7.15,,,2,K&K400,K&K160,,,,,,
