Boston Diamond 2X3 Beige/Ivory,4515BI,,"A soft geometric pattern with lots of visual appeal. Our indoor & outdoor rugs are easy to maintain so they always look new. Perfect for a porch, deck or high traffic indoor space.",IN STOCK & Shipping,,,,2' x 3',4,15,,,,,,4,CLM400,CLM160,,,,,CLM800,
Boston Diamond 2X3 Grey/Ivory,4515GI,,"A soft geometric pattern with lots of visual appeal. Our indoor & outdoor rugs are easy to maintain so they always look new. Perfect for a porch, deck or high traffic indoor space.",IN STOCK & Shipping,,,,2' x 3',4,15,,,,,,4,CLM400,CLM160,,,,,CLM800,
Boston Diamond 30X50 Beige/Ivory,4516BI,,"A soft geometric pattern with lots of visual appeal. Our indoor & outdoor rugs are easy to maintain so they always look new. Perfect for a porch, deck or high traffic indoor space.",IN STOCK & Shipping,,,,"30"" x 50""",3,27,,,,,,3,CLM400,CLM160,,,,,CLM800,
Boston Diamond 30X50 Grey/Ivory,4516GI,,"A soft geometric pattern with lots of visual appeal. Our indoor & outdoor rugs are easy to maintain so they always look new. Perfect for a porch, deck or high traffic indoor space.",IN STOCK & Shipping,,,,"30"" x 50""",3,27,,,,,,3,CLM400,CLM160,,,,,CLM800,
Boston Diamond 4X6 Beige/Ivory,4518BI,,"A soft geometric pattern with lots of visual appeal. Our indoor & outdoor rugs are easy to maintain so they always look new. Perfect for a porch, deck or high traffic indoor space.",IN STOCK & Shipping,,,,4' x 6',2,58,,,,,,2,CLM400,CLM160,,,,,CLM800,
Boston Diamond 4X6 Grey/Ivory,4518GI,,"A soft geometric pattern with lots of visual appeal. Our indoor & outdoor rugs are easy to maintain so they always look new. Perfect for a porch, deck or high traffic indoor space.",IN STOCK & Shipping,,,,4' x 6',2,58,,,,,,2,CLM400,CLM160,,,,,CLM800,
Brewster Rug 4X6 Red/White,4513RD,,Equal stripes of color and white result in a fresh clean look. Our indoor & outdoor rugs are soft to the feet but tough on the elements.,IN STOCK & Shipping,,,,4' x 6',2,58,,,,,,2,CLM400,CLM160,,,,,CLM800,
Jersey Dune Rug 2x3 Ginger,4015GI,,,IN STOCK & Shipping,,,,,,11.5,,,,,,,CLM400,CLM160,,,,,CLM800,
Juliette Yellow Yellow,5400YL,,Canvas Tote Bag,IN STOCK & Shipping,,,,,2,20,,,,,,2,CLM400,CLM160,,,,,CLM800,
Madeleine Napkin Cream,9012CR,,Tabletop,Out of stock,,,,,4,3,,,,,,4,CLM400,CLM160,,,,,CLM800,
Madeleine Placemat Cream,9011CR,,Tabletop,IN STOCK & Shipping,,,,,4,3,,,,,,4,CLM400,CLM160,,,,,CLM800,
Madeleine Tablecloth 60X90 Cream,9022CR,,Tabletop,IN STOCK & Shipping,,,,"60"" x 90""",2,23,,,,,,2,CLM400,CLM160,,,,,CLM800,
Madeleine Tablecloth 70Round Cream,9021CR,,Tabletop,IN STOCK & Shipping,,,,"70"" round",2,21,,,,,,2,CLM400,CLM160,,,,,CLM800,
Madeleine Tablelcoth  60X60 Cream,9020CR,,Tabletop,Out of stock,,,,"60"" x 60""",2,18,,,,,,2,CLM400,CLM160,,,,,CLM800,
Paris Rug 30X50 Moss Green,4326MG,,"Found in the Marais district marketplace. A chic, vintage look of velvet and boucle yarns. Ours alone. Cotton Velvet and Boucle Yarn",IN STOCK & Shipping,,,,"30"" x 50""",3,29,,,,,,3,CLM400,CLM160,,,,,CLM800,
Picket Fence 2x3 Heathered Multi,4435HM,,Bright stripes but well mannered. Cotton.,IN STOCK & Shipping,,,,2'X 3',4,13,,,,,,4,CLM400,CLM160,,,,,CLM800,
Velvet Rug 30x50 Fern,4056FE,,Solid colors with tonal variations – together create rich earth hues – very soft. A favorite. Cotton.,IN STOCK & Shipping,,,,"30""x 50""",3,24,,,,,,3,CLM400,CLM160,,,,,CLM800,
Amailia Blue Blue,5400BL,(All) Rugs|,Canvas Tote Bag,IN STOCK & Shipping,,,,,2,20,,,,,,2,CLM400,CLM160,5400BL.jpg,5400BL.jpg,,,CLM800,5400BL.jpg
Amailia Taupe Taupe,5400TP,(All) Rugs|,Canvas Tote Bag,IN STOCK & Shipping,,,,,2,20,,,,,,2,CLM400,CLM160,5400TP.jpg,5400TP.jpg,,,CLM800,5400TP.jpg
Amalia Napkin Blue,9008BL,(All) Table Napkins|,Tabletop,IN STOCK & Shipping,,,,"20"" x 20""",4,3,,,,,,4,CLM400,CLM160,9008BL.jpg,9008BL.jpg,,,CLM800,9008BL.jpg
Amalia Napkin Red,9008RD,(All) Table Napkins|,Tabletop,IN STOCK & Shipping,,,,"20"" x 20""",4,3,,,,,,4,CLM400,CLM160,9008RD.jpg,9008RD.jpg,,,CLM800,9008RD.jpg
Amalia Napkin Taupe,9008TP,(All) Table Napkins|,Tabletop,IN STOCK & Shipping,,,,"20"" x 20""",4,3,,,,,,4,CLM400,CLM160,9008TP.jpg,9008TP.jpg,,,CLM800,9008TP.jpg
Amalia Placemat Blue,9007BL,(All) Placemats|,Tabletop,IN STOCK & Shipping,,,,,4,3,,,,,,4,CLM400,CLM160,9007BL.jpg,9007BL.jpg,,,CLM800,9007BL.jpg
Amalia Placemat Red,9007RD,(All) Placemats|,Tabletop,IN STOCK & Shipping,,,,,4,3,,,,,,4,CLM400,CLM160,9007RD.jpg,9007RD.jpg,,,CLM800,9007RD.jpg
Amalia Placemat Taupe,9007TP,(All) Placemats|,Tabletop,IN STOCK & Shipping,,,,,4,3,,,,,,4,CLM400,CLM160,9007TP.jpg,9007TP.jpg,,,CLM800,9007TP.jpg
Amalia Tablecloth  60X60 Blue,9039BL,(All) Tablecloths|,Tabletop,IN STOCK & Shipping,,,,"60"" x 60""",2,18,,,,,,2,CLM400,CLM160,9039BL.jpg,9039BL.jpg,,,CLM800,9039BL.jpg
Amalia Tablecloth  60X60 Red,9039RD,(All) Tablecloths|,Tabletop,IN STOCK & Shipping,,,,"60"" x 60""",2,18,,,,,,2,CLM400,CLM160,9039RD.jpg,9039RD.jpg,,,CLM800,9039RD.jpg
Amalia Tablecloth  60X90 Blue,9041BL,(All) Tablecloths|,Tabletop,IN STOCK & Shipping,,,,"60"" x 90""",2,23,,,,,,2,CLM400,CLM160,9041BL.jpg,9041BL.jpg,,,CLM800,9041BL.jpg
Amalia Tablecloth  60X90 Red,9041RD,(All) Tablecloths|,Tabletop,IN STOCK & Shipping,,,,"60"" x 90""",2,23,,,,,,2,CLM400,CLM160,9041RD.jpg,9041RD.jpg,,,CLM800,9041RD.jpg
Amalia Tablecloth  70 Round Blue,9040BL,(All) Tablecloths|,Tabletop,IN STOCK & Shipping,,,,"70"" round",2,21,,,,,,2,CLM400,CLM160,9040BL.jpg,9040BL.jpg,,,CLM800,9040BL.jpg
Amalia Tablecloth  70 Round Red,9040RD,(All) Tablecloths|,Tabletop,IN STOCK & Shipping,,,,"70"" round",2,21,,,,,,2,CLM400,CLM160,9040RD.jpg,9040RD.jpg,,,CLM800,9040RD.jpg
Amalia Tablecloth 60X60 Taupe,9039TP,(All) Tablecloths|,Tabletop,IN STOCK & Shipping,,,,"60"" x 60""",2,18,,,,,,2,CLM400,CLM160,9039TP.jpg,9039TP.jpg,,,CLM800,9039TP.jpg
Amalia Tablecloth 60X90 Taupe,9041TP,(All) Tablecloths|,Tabletop,IN STOCK & Shipping,,,,"60"" x 90""",2,23,,,,,,2,CLM400,CLM160,9041TP.jpg,9041TP.jpg,,,CLM800,9041TP.jpg
Amalia Tablecloth 70 Round  Taupe,9040TP,(All) Tablecloths|,Tabletop,IN STOCK & Shipping,,,,"70"" round",2,21,,,,,,2,CLM400,CLM160,9040TP.jpg,9040TP.jpg,,,CLM800,9040TP.jpg
Barcelona Rug 2X3 Blue/Brown,4520BL,(All) Rugs|Barcelona Rugs|2 x 3 (All)|,,IN STOCK & Shipping,,,,2' x 3',4,14,,,,,,4,CLM400,CLM160,4520BL.jpg,4520BL.jpg,,,CLM800,4520BL.jpg
Barcelona Rug 2X3 Persimmon,4520PE,(All) Rugs|Barcelona Rugs|2 x 3 (All)|,,IN STOCK & Shipping,,,,2' x 3',4,14,,,,,,4,CLM400,CLM160,4520PE.jpg,4520PE.jpg,,,CLM800,4520PE.jpg
Bombay Rug 28X84 Multi,4062MU,(All) Rugs|Bombay Rugs|28 x 84 (All)|,"A classic. Thin stripes, mixed printed and solid fabric strips are tightly woven in a fine ribbed lighter weight cotton",IN STOCK & Shipping,,,,"28"" x 84""",2,22.5,,,,,,2,CLM400,CLM160,4060MU.jpg,4060MU.jpg,,,CLM800,4060MU.jpg
Bombay Rug 28X84 Pastel,4062PA,(All) Rugs|Bombay Rugs|28 x 84 (All)|,"A classic. Thin stripes, mixed printed and solid fabric strips are tightly woven in a fine ribbed lighter weight cotton",IN STOCK & Shipping,,,,"28"" x 84""",2,22.5,,,,,,2,CLM400,CLM160,4060PA.jpg,4060PA.jpg,,,CLM800,4060PA.jpg
