10 Tube Tinner's Mold,K15-17,(All) Irvin's Products|Kitchen - Tabletop||||||||,"A unique look back in time is our 10 Tube Tinner's Mold that has been reproduced to resemble an original piece from Irvin's collection. Each tube can be used to hold greens, florals or whatever the decorator in you dreams possible. Smokey black finish. This is reproduced from an antique original. Decorative only, not an actual working mold.",In Stock,,,1,9.25-Inches high and 17-Inches wide and 3-Inches deep,1,14.25,,0.00,,0.00,1,K15-17.jpg,
10-Inch Revere Lantern,K15-04,(All) Irvin's Products|Candle Holders||||||||,"A wonderful reproduction of one of Irvin's original designs, our 10 Revere Lantern is for battery operated tapers or candles only. It is not electrified. Smokey black finish. Holds a 4-Inch battery timered taper, not included. Add a few sprigs of flowers and a burlap bow for a beautiful statement.",In Stock,,,1,10.25-Inches high and 4-Inches diameter,1,7.25,,0.00,,0.00,1,K15-04.jpg,
11-Inch Shredder in Galvanized Tin,K18-86GL,(All) Irvin's Products|Kitchen - Tabletop|(Newest) Products|||||||,The 11-Inch Shredder in Galvanized Tin is part of our current collection of decorative shredder/graters. Many of our customers use the various sizes to display on hutch tops or the tops of the kitchen cupboards. Imported. Galvanized Tin. Solid metal construction. Decorative use only.,Out of stock - order to ship after 06/15/18,,,1,10.5-Inches high and 5.25-Inches wide and 4-Inches deep,1,8.50,,0.00,,0.00,1,K18-86GL.jpg,
12-Inch Flared Shade with Chisel in Smokey Black,K16-01,(All) Irvin's Products|Lamp Shades||||||||,"Created due to customer demand, our flared shade will add country flair to your home. Each shade has a washer fitter to be used with a harp on your existing lamp. Spider fitting. Harp and finial not included. Chisel punched tin pattern adorns shade.",In Stock,,,1,Measurements: Top - 4.25-Inches ; Bottom - 12.5-Inches ; Side - 8.5-Inches,1,16.00,,0.00,,0.00,1,K16-01.jpg,
12-Inch Flared Shade with Chisel in Textured Black,925-1CBK,(All) Irvin's Products|Lamp Shades||||||||,"Created due to customer demand, our flared shade will add country flair to your home. Each shade has a washer fitter to be used with a harp on your existing lamp. Spider fitting. Harp and finial not included. Textured black painted finish.",In Stock,,,1,"Measurements: Top- 4.25-Inches , Bottom- 12.5-Inches , Side- 8.25-Inches",1,16.00,,0.00,,0.00,1,925-1CBK.jpg,
12-Inch Revere Lantern in Blackened Tin,22WCBT,(All) Irvin's Products|Accent Lighting||||||||,"Our original Revere Lantern has been updated with our most popular punch pattern. The punching casts a warm cozy glow on your wall. A terrific accent piece for your living area. Candelabra socket, 1 x 25 watts maximum wattage; Wired with 7' cord and line switch; Plugs into wall outlet. UL listed for dry locations. Made in the USA.",In Stock,,,1,12-Inches high and 5-Inches diameter,1,32.50,,0.00,,0.00,1,22WCBT.jpg,
12-Inch Shredder in Galvanized Tin,K18-88GL,(All) Irvin's Products|Kitchen - Tabletop|(Newest) Products|||||||,The 12-Inch Shredder in Galvanized Tin is part of our current collection of decorative shredder/graters. Many of our customers use the various sizes to display on hutch tops or the tops of the kitchen cupboards. Imported Galvanized Tin. Solid metal construction. .,Out of stock - order to ship after 06/15/18,,,1,11.5-Inches high and 5.5-Inches wide and 4-Inches deep,1,10.00,,0.00,,0.00,1,K18-88GL.jpg,
12-Inch Strap Sphere Pendant in Black,9212BL,(All) Irvin's Products|Pendants|(Newest) Products|||||||,"The 12-Inch Strap Sphere Pendant in Black is a fascinating light that will add a unique dimension to your room's decor. The Orb is crafted from solid steel bands that are powder coated in black then white washed. Includes canopy kit, 7-feet of cord and 3-feet of chain for hardwire installation; Standard socket, 1 x 150 watts maximum wattage. UL Listed for dry locations. Black powder coated finish with white wash. Made in the USA.",In Stock,,,1,14.5-Inches high and 12.5-Inches diameter,1,60.00,,0.00,,0.00,1,9212BL.jpg,
12.5-Inch Ivory Linen Shade,A16-01,(All) Irvin's Products|Lamp Shades||||||||,Our Linen Fabric Shades are a simple easy choice for your home's lamps. Each one is made with high quality materials and is the perfect addition to your mason jar lamp. The Linen Shades also pair wonderfully with antique lamp bases from years gone by. Linen fabric with hardback liner. Spider fitting. .,In Stock,,,1,"Top: 4.25-Inches , Bottom: 12.25-Inches , Side 8.5-Inches",1,16.00,,0.00,,0.00,1,A16-01.jpg,
13-Inch Flared Shade with Chisel in Smokey Black,K16-02,(All) Irvin's Products|Lamp Shades||||||||,"Created due to customer demand, our flared shade will add country flair to your home. Each shade has a washer fitter to be used with a harp on your existing lamp. Spider fitting. Harp and finial not included. Chisel punched tin pattern adorns shade.",In Stock,,,1,Measurements: Top - 4.75-Inches ; Bottom - 14-Inches ; Side - 9-Inches,1,17.00,,0.00,,0.00,1,K16-02.jpg,
