Angel N/E Set,p-n-i034,Necklace Earring Sets|||||||||,,,,,1,,1,5,,0,,0,1,p-n-i034-WEB.jpg
Animal Print Silver Stretch Bracelet..,p-b-i020,Bracelets|||||||||,Silver Stretch Bracelet w/ Animal Print & Crystals,,,,1,,1,4,,0,,0,1,p-b-i20-WEB.jpg
Arrow Patina Cuff,p-b-i047p,Bracelets|||||||||,,,,,1,,1,6,,0,,0,1,p-b-i047p-WEB.jpg
Ball Silver N/E Set,p-n-i037,Necklace Earring Sets|||||||||,,,,,1,,1,8,,0,,0,1,p-n-i037-WEB.jpg
Ball w/ Four Strands Hematite N/E Set,p-n-i015b,Necklace Earring Sets|||||||||,Hematite Four Strand Ball Necklace/Earring Set. Lead and nickel free. Adjustable lobster clasp/chain closure.,,,,1,,1,6,,0,,0,1,p-n-i15b-WEB.jpg
Bead Strand Black On Gold N/E Set,p-n-bk163bk,Necklace Earring Sets|||||||||,,,,,1,,1,4,,0,,0,1,p-n-bk163bk-WEB.jpg
Bead Strand Blue On Gold N/E Set,p-n-bk163bl,Necklace Earring Sets|||||||||,,,,,1,,1,4,,0,,0,1,p-n-bk163bl-WEB.jpg
Bead Strand Green On Gold N/E Set,p-n-bk163gn,Necklace Earring Sets|||||||||,,,,,1,,1,4,,0,,0,1,p-n-bk163gn-WEB.jpg
Beaded Tassel On Gold N/E Set,p-n-bk157,Necklace Earring Sets|||||||||,Beaded Tassel On Gold Necklace/Earring Set<br />Lead And Nickel Free.<br />Adjustable Lobster Clasp/Chain Closure.,,,,1,,1,11,,0,,0,1,p-n-bk157-WEB.jpg
Beads/Stones Stretch Ring,p-r-m41,Rings|||||||||,Beaded Stretch Ring - Stones.<br />Sold in assorted colors.,,,,1,,24,1.75,,0,,0,24,p-r-m41-b.jpg
Braided Chain w/ Large Pendant N/E Set,p-n-a014b,Necklace Earring Sets|||||||||,,,,,1,,1,10,,0,,0,1,p-n-a014b-WEB.jpg
Buckle Bangle Bracelet - Hematite on Silver,p-b-a04,Bracelets|||||||||,,,,,1,,1,6,,0,,0,1,p-b-a04-web.jpg
Cat Eye Turquoise N/E Set,p-n-i030,Necklace Earring Sets|||||||||,,,,,1,,1,8,,0,,0,1,p-n-i030-web.jpg
Catey Stone Grey On Gold N/E Set,p-n-bk170g,Necklace Earring Sets|||||||||,Cateye Stone Grey On Gold Necklace/Earring Set<br />Lead And Nickel Free.<br />Adjustable Lobster Clasp/Chain Closure.,,,,1,,1,5.5,,0,,0,1,p-n-bk170g-WEB.jpg
Cateye Crystals Multi On Gold N/E Set,p-n-bk162m,Necklace Earring Sets|||||||||,,,,,1,,1,8,,0,,0,1,p-n-bk162m-WEB.jpg
Cateye Stone Black On Gold N/E Set,p-n-bk170bk,Necklace Earring Sets|||||||||,Cateye Stone Black On Gold Necklace/Earring Set<br />Lead And Nickel Free.<br />Adjustable Lobster Clasp/Chain Closure.,,,,1,,1,5.5,,0,,0,1,p-n-bk170bk-WEB.jpg
Cherry Blossom Patina N/E Set,p-n-i028p,Necklace Earring Sets|||||||||,,,,,1,,1,6,,0,,0,1,p-n-i028p-web.jpg
Cherry Blossom Silver N/E Set,p-n-i028,Necklace Earring Sets|||||||||,,,,,1,,1,6,,0,,0,1,p-n-i028-web.jpg
Cherry Earrings,rh-e-y19,Earrings|||||||||,,,,,1,,6,3.5,,0,,0,6,rh-e-y19-web.jpg
Circle Cut-Out w/ Dots Silver N/E Set,p-n-i026,Necklace Earring Sets|||||||||,,,,,1,,1,6,,0,,0,1,p-n-i026-web.jpg
Circle w/ 3 Beads Patina Earrings,p-e-i004p,Earrings|||||||||,Circle With Beads Patina Earrings,,,,1,,3,2.5,,0,,0,3,p-e-i004p-web.jpg
Circle w/ Inlay Patina Bracelet,p-b-i006p,Bracelets|||||||||,Circle w/ Inlay Patina Bracelet,,,,1,,1,3.5,,0,,0,1,p-b-i06p(1)--web.jpg
Cloth Many Bead Coconut Bracelet,c-b43,Bracelets|||||||||,Sold in assorted colors.,,,,1,,24,0.95,,0,,0,24,c-b43-web.jpg
Cross On Leather Cord N/E Set,p-n-i029,Necklace Earring Sets|||||||||,,,,,1,,1,6,,0,,0,1,p-n-i029-web.jpg
Cylinder w/ Inlay N/E Set,p-n-i035,Necklace Earring Sets|||||||||,,,,,1,,1,7,,0,,0,1,p-n-i035-WEB.jpg
