ids,original,wout space,desired upload filename,160,400,800,SHST
251,Audreys Your Hearts Delight,Audreys_Your_Hearts_Delight,Audreys_Your_Hearts_Delight_251.xls,Audreys160,Audreys400a,Audreys800,Audreys_Your_Hearts_Delight_Products_SHST.xls
252,Adams and Company,Adams_and_Company,Adams_and_Company_252.xls,Adams160,Adams400,Adams800,Adams_&_Company_Products_SHST.xls
258,Capitol Imports,Capitol_Imports,Capitol_Imports_258.xls,Cap 160,Cap 400,Cap 800,Capitol_Earth_Rugs_Products_SHST.xls
259,Amish Star,ZAER_International,Amish_Star_259.xls,Amish160,Amish400,,
265,Wholesale Home decor (Harvest Scents),Wholesale_Home_decor_(Harvest_Scents),Wholesale_Home_decor_(Harvest_Scents)_265.xls,Harv160,Harv400,Harv800,
273,Raghu - Home Collections,Raghu_Home_Collections,Raghu_-_Home_Collections_273.xls,Raghu160,Raghu400,Raghu800,Raghu_Home_Collection_Products_SHST.xls
282,Westmoreland,Westmoreland,Westmoreland_282.xls,Westmoreland160,Westmoreland400,,
772,J&J Wire,J&J_Wire,J&J_Wire_772.xls,jjwire160,jjwire400,jjwire800,J&J_Wire_SHST.xls
778,Floral Treasure,Floral_Treasure,Floral_Treasure_778.xls,FT160,FT400,FT800,Floral_Treasure_SHST.xls
1044,Bethany Lowe,Bethany_Lowe,Bethany_Lowe_1044.xls,Bethany160,Bethany400,Bethany800,Bethany_Lowe_SHST.xls
1339,The Packaging Source,The_Packaging_Source,The_Packaging_Source_1339.xls,Packaging160,Packaging400,Packaging800,
1340,A Primitive Glow,A_Primitive_Glow,A_Primitive_Glow_1340.xls,Aprimitiveglow160,Aprimitiveglow400,Aprimitiveglow800,
6344,Pine Valley Pictures,Pine_Valley_Pictures,Pine_Valley_Pictures_6344.xls,Pine160,Pine400,Pine800,Pine_Valley_Pictures_SHST.xls
7840,Vickie Jeans Creations,Vickie_Jeans_Creations,Vickie_Jeans_Creations_7840.xls,VickieJeans160,VickieJeans400,VickieJeans800,Vickie_Jeans_Creations_SHST.xls
7849,Honey & Me,Honey_Me,Honey_&_Me_7849.xls,Honeyme160,Honeyme400,Honeyme800,Honey_&_Me_SHST.xls
7851,Artistic Reflections,Artistic_Reflections,Artistic_Reflections_7851.xls,NorthAmerican160,NorthAmerican400,NorthAmerican800,Artistic_Reflections_SHST.xls
7862,Designs Combined,Designs_Combined,Designs_Combined_7862.xls,DCI160,DCI400,DCI800,Designs_Combined_SHST.xls
7864,JJ Potts Garden,JJ_Potts_Garden,JJ_Potts_Garden_7864.xls,JJPotts160,JJPotts400,,
7871,Shea's Wildflower Company,Shea's_Wildflower_Company,Shea's_Wildflower_Company_7871.xls,Sheas160,Sheas400,Sheas800,
7874,Hip Signs for Cool Folks,Hip_Signs_for_Cool_Folks,Hip_Signs_for_Cool_Folks_7874.xls,Hipsigns160,Hipsigns400,,
7880,Sallyeander Soaps,Sallyeander_Soaps,Sallyeander_Soaps_7880.xls,Sally160,Sally400,,Sallyeander_Soaps_SHST.xls
7883,Channel Craft,Channel_Craft,Channel_Craft_7883.xls,Channel160,Channel400,Channel800,
7886,Debry Jewelry,Debry_Jewelry,Debry_Jewelry_7886.xls,Debry160,Debry400,Debry800,
7893,A Cheerful Giver,A_Cheerful_Giver,A_Cheerful_Giver_7893.xls,ACG160,ACG400,ACG800,A_Cheerful_Giver_SHST.xls
7894,Homespice Décor,Homespice_Decor,Homespice_Décor_7894.xls,Homespice160,Homespice400,Homespice800,
7898,KMI International,KMI_International,KMI_International_7898.xls,KMI160,KMI400,KMI800,KMI_ SHST.xls
7900,Wing Tai Trading,Wing_Tai_Trading,Wing_Tai_Trading_7900.xls,WingTai160,WingTai400,WingTai800,
7905,Heartwood Hollow Signs,Heartwood_Hollow_Signs,Heartwood_Hollow_Signs_7905.xls,Heartwood160,Heartwood400,Heartwood800,
7908,JanMichael's Crafts,JanMichaels_Crafts,JanMichael's_Crafts_7908.xls,JanMichael160,JanMichael400,JanMichael800,JanMichael's_Art_&_Home_Products_SHST.xls
7909,North Country Wind Bells,North_Country_Wind_Bells,North_Country_Wind_Bells_7909.xls,Northcountry160,Northcountry400,,
7910,Lillie May Naturals Soap,Lillie_May_Naturals_Soap,Lillie_May_Naturals_Soap_7910.xls,Lillie160,Lillie400,Lillie800,
7911,Ann Clark Cookie Cutters,Ann_Clark_Cookie_Cutters,Ann_Clark_Cookie_Cutters_7911.xls,AnnClark160,AnnClark400,AnnClark800,Ann_Clark_Cookie_Cutters_SHST.xls
7912,Benson Country Packaging,Benson_Country_Packaging,Benson_Country_Packaging_7912.xls,Benson160,Benson400,,
7914,Lyons Baskets,Lyons_Baskets,Lyons_Baskets_7914.xls,Lyons160,Lyons400,,
7916,Warm Glow Candles,Warm_Glow_Candles,Warm_Glow_Candles_7916.xls,WarmGlow160,WarmGlow400,WarmGlow800,Warm_Glow_Candles_SHST.xls
7920,CLM Enterprise Rugs,CLM_Enterprise_Rugs,CLM_Enterprise_Rugs_7920.xls,CLMRugs160,CLMRugs400,,
7921,The Country House Collection,The_Country_House_Collection,The_Country_House_Collection_7921.xls,TheCountryHouse160,TheCountryHouse400,TheCountryHouse800,The_Country_House_Collection_SHST.xls
