name,sku,upc,price,availableQuantity,imageUrl1,imageurl2,imageUrl3,imageurl4,imageurl5,imageurl6,imageurl7,imageUrl8,imageurl9,imageurl10
MARY AND HENRY'S SNOWMAN,10024,636173549741,42.75,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2823/images/26322/10024__33954.1677864235.1280.1280.jpg?c=1,,,,,,,,,
MEDIUM TOP HAT SNOWMAN,10026,636173549765,18.5,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2824/images/26323/10026_2__57161.1677864236.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2824/images/26324/10026__83955.1677864236.1280.1280.jpg?c=1,,,,,,,,
LARGE TOP HAT SNOWMAN,10027,636173549772,31.95,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2825/images/26325/10027__43814.1677864236.1280.1280.jpg?c=1,,,,,,,,,
9 FT LARGE SILVER RED AND GREEN BEAD GARLAND,10111,636173549840,13.5,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/5681/images/13089/10111__48439.1633100990.1280.1280.jpg?c=1,,,,,,,,,
WHITE STAR BARN,10172,636173549888,43.5,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2830/images/26332/10172__52070.1677864237.1280.1280.jpg?c=1,,,,,,,,,
RED STAR BARN,10173,636173549895,43.5,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2831/images/26333/10173__22471.1677864238.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2831/images/26334/10173_2__67737.1677864238.1280.1280.jpg?c=1,,,,,,,,
JUMBO RED BEAD GARLAND,10308,636173550136,17.5,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2832/images/26335/RagonHouse08202019-235__71812.1677864238.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2832/images/26336/10308__81033.1677864238.1280.1280.jpg?c=1,,,,,,,,
"6' JUMBO RED,GREEN,SILVER GARLAND",10309,636173550143,17.5,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2833/images/26337/10309___45972.1677864239.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2833/images/26338/10309____46400.1677864239.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2833/images/26339/10309__31133.1677864239.1280.1280.jpg?c=1,,,,,,,
SQUIRREL TREE TOPPER,11287,636173551027,7.95,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2836/images/26344/11287_1__53737.1677864240.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2836/images/26345/11287__93738.1677864240.1280.1280.jpg?c=1,,,,,,,,
SET/ 12 MORAVIAN STAR ORNAMENTS,11477,636173551461,8.95,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2837/images/26346/11477__42646.1677864240.1280.1280.jpg?c=1,,,,,,,,,
SET/ 4 MORAVIAN STAR ORNAMENTS,11478,636173551478,12.95,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2838/images/26347/11478_g9ko-72__63888.1677864240.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2838/images/26348/11478__15541.1677864240.1280.1280.jpg?c=1,,,,,,,,
MICA SNOWFLAKES,11751,636173552024,6.95,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2839/images/26488/11751__61444.1694009096.1280.1280.jpg?c=1,,,,,,,,,
VINTAGE ICICLES,11752,636173552031,7.5,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2840/images/27807/11752_1__12213.1682969989.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2840/images/26490/11752__19354.1682969984.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2840/images/27644/11752__56884.1680632266.1280.1280.jpg?c=1,,,,,,,
"5"" DEEP RED VELVET BELSNICKLE",11793,636173552161,7.5,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/5728/images/25348/SS211793_2__27699.1677258117.1280.1280.jpg?c=1,,,,,,,,,
"8"" DEEP RED VELVET BELSNICKLE",11794,636173552178,15.5,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2841/images/26492/11794__17676.1682965351.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2841/images/26493/11794-_11795-_11796__85267.1678296651.1280.1280.jpg?c=1,,,,,,,,
"12"" DEEP RED VELVET BELSNICKLE",11795,636173552185,21.5,1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2842/images/26495/11795__76180.1680621167.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2842/images/26496/11794-_11795-_11796_tdo4-6h__17329.1678296652.1280.1280.jpg?c=1,,,,,,,,
"16"" DEEP RED VELVET BELSNICKLE",11796,636173552192,29.95,6,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2843/images/26355/11796__98868.1677864242.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2843/images/26356/11794-_11795-_11796_mgwv-4p__26205.1677864242.1280.1280.jpg?c=1,,,,,,,,
"5"" SOFT BLUE VELVET BELSNICKLE",11809,636173552284,7.5,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2844/images/27808/11809_2__29659.1682970054.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2844/images/26908/11809__10747.1679514587.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2844/images/27809/11809_11810_11811_2__20953.1682970054.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2844/images/26907/11809_11810_11811__95058.1682970047.1280.1280.jpg?c=1,,,,,,
"8"" SOFT BLUE VELVET BELSNICKLE",11810,636173552291,15.5,2,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2845/images/27810/11810_1__48834.1682970156.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2845/images/27812/11809__39268.1682970157.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2845/images/27811/11809_11810_11811_2__22923.1682970156.1280.1280.jpg?c=1,,,,,,,
"12"" SOFT BLUE VELVET BELSNICKLE",11811,636173552307,21.5,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2846/images/27813/11811_1__60422.1682970217.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2846/images/26910/11811__82835.1679514635.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2846/images/27814/11809_11810_11811_2__84556.1682970217.1280.1280.jpg?c=1,,,,,,,
"16"" SOFT BLUE VELVET BELSNICKLE",11812,636173552314,29.95,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2847/images/26497/SS211812_1__79610.1689694297.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2847/images/26498/11812__64121.1689694297.1280.1280.jpg?c=1,,,,,,,,
"5"" IVORY VELVET BELSNICKLE",11813,636173552321,7.5,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2848/images/26260/11813__29536.1677862046.1280.1280.jpg?c=1,,,,,,,,,
"8"" IVORY VELVET BELSNICKLE",11814,636173552338,15.5,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2849/images/26360/WS172248_WS172246_WS172084__hf1b-ii__36963.1677864243.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2849/images/26361/11814__42975.1677864243.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2849/images/26362/11816_11815_11814__47498.1677864243.1280.1280.jpg?c=1,,,,,,,
"12"" IVORY VELVET BELSNICKLE",11815,636173552345,21.5,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2850/images/26500/11815__98954.1680623990.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2850/images/26501/WS172248_WS172246_WS172084_11816_11815_11814__39678.1678296653.1280.1280.jpg?c=1,,,,,,,,
"16"" IVORY VELVET BELSNICKLE",11816,636173552352,29.95,6,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2851/images/26365/11816__11751.1677864244.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2851/images/26366/WS172248_WS172246_WS172084_11816_11815_11814_hbzt-63__89341.1677864244.1280.1280.jpg?c=1,,,,,,,,
POST CARD CHAIN,12507,636173554028,3.95,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2989/images/6242/12507__20285.1626460194.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2989/images/6243/12507__99369.1626460194.1280.1280.jpg?c=1,,,,,,,,
"10"" SNOWMAN WITH  BULB & TREE",13444,636173555063,18.5,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2970/images/6209/13444_1__39567.1626460187.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2970/images/6210/13444__89121.1626460187.1280.1280.jpg?c=1,,,,,,,,
PICKLE ORNAMENT,13456,636173555179,3.95,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2969/images/6206/13456_boxed_front__82210.1626460186.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2969/images/6207/13456__29824.1626460186.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2969/images/6208/13456_boxed_back__23862.1626460186.1280.1280.jpg?c=1,,,,,,,
PINE TREE FARM  TRUCK ORNAMENT,13492,636173555445,9.5,31,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2979/images/6235/13492__25853.1626460192.1280.1280.jpg?c=1,,,,,,,,,
CHRISTMAS WREATH ORNAMENT,13496,636173555483,6.25,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2990/images/6244/13496__92567.1626460194.1280.1280.jpg?c=1,,,,,,,,,
"8"" MULTI COLOR BEAD BOTTLEBRUSH TREE",13497,636173555490,8.75,3,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2978/images/6234/13497__36609.1653405607.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2978/images/6231/13498_13497__65565.1653405607.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2978/images/6232/13499_dnuj-xc__71521.1653405607.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2978/images/6233/13497_family__62789.1653405607.1280.1280.jpg?c=1,,,,,,
"10"" MULTI COLOR BEAD BOTTLEBRUSH TREE",13498,636173555506,11.75,4,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2976/images/27815/13498_2__17786.1682970280.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2976/images/27645/13498__10764.1682970275.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2976/images/6225/13499__41702.1682970285.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2976/images/6224/13498_FAMILY__05623.1682970285.1280.1280.jpg?c=1,,,,,,
"12""  MULTI COLOR BEAD BOTTLEBRUSH TREE",13499,636173555513,16.5,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2977/images/6227/13499_13498_13497___19272.1626460191.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2977/images/6228/13497_13498_13499__64581.1626460191.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2977/images/6229/13498_FAMILY_aoiq-33__27677.1626460191.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2977/images/6230/13499__18789.1626460191.1280.1280.jpg?c=1,,,,,,
"12"" SNOWY GREEN BOTTLEBRUSH TREE",13501,636173555537,8.75,0,,,,,,,,,,
6 FT ONE LARGE RED BEAD GARLAND,13547,636173555858,20.95,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2988/images/25837/ZH213547_1__77971.1677258281.1280.1280.jpg?c=1,,,,,,,,,
